%Gaussian process regression with a Gaussian likelihood
%model: gpr, kernel: sum
Optimization success: True in 69 iterations, b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH'
%.kernel.kernels[0].variance: 1.6752281683700518
%.kernel.kernels[0].lengthscales: [4.25344921e-01 4.42708131e-01 7.09515554e-01 1.54751442e+00 3.10324338e-01 6.87688874e-01 1.48109591e+00 7.29510530e-01 3.60727544e-01 5.83248344e-01 7.78513555e-01 7.26204136e+02]
%.kernel.kernels[1].variance: 0.06939917017675531
%.likelihood.variance: 0.8941925877482464
%loglikelihood: -6729.976710782661
%RMSE:1.647
%Pearson_correlation_coefficient:0.691,P-value:0.000
%Spearman_correlation_coefficient:0.695,P-value:0.000
%%%%%%PREDICTIONS%%%%%
name,f_pred_mean,f_pred_var,y_true,vina_gauss2,BertzCT,MolLogP,PEOE_VSA7,BalabanJ,SMR_VSA7,as_flex_all,vina_hydrogen,MaxAbsEStateIndex,HallKierAlpha,MaxAbsPartialCharge,vina_repulsion
2c02,-2.0145,0.4462,-2.4135,-0.3694,-0.1291,-0.2696,-1.214,-0.5488,-0.8678,-0.691,-0.1322,-0.2803,0.1612,1.3418,-0.6472
2ceq,-0.0444,0.1957,0.8265,-0.6656,-1.0165,-0.6958,-1.214,-0.0451,-0.6939,0.2207,1.4602,-1.704,1.0429,-0.7061,0.6275
2cer,0.8853,1.5383,2.7665,0.1345,-0.3332,-0.1458,-0.4144,-0.4179,0.4094,0.5425,1.6209,-1.5346,0.4551,-0.7061,0.4341
2cet,0.8683,1.5261,1.5665,0.0354,-0.3332,-0.1458,-0.4144,-0.4179,0.4094,0.5425,1.6366,-1.5346,0.4551,-0.7061,0.4699
2cgr,-0.0035,1.5892,0.8265,-0.0725,0.1376,0.0284,0.3276,-0.2914,1.904,0.4352,-0.181,-0.285,-1.3384,0.9563,-0.518
2ctc,-1.6107,0.3972,-2.5635,-0.9657,-1.165,-0.3401,-0.971,0.3889,-0.1436,-1.0128,0.506,-0.6744,0.7415,0.9631,-0.1038
2d0k,-0.2090,1.3324,-1.4335,-0.0202,0.2332,-0.973,0.3983,-0.639,0.3621,-0.1547,-0.112,0.2762,-1.67,0.9943,-0.7001
2d1o,1.2644,0.6592,1.2465,0.6458,0.7374,-0.1627,0.942,0.8187,-0.1586,0.0866,1.1225,0.5848,-0.2382,-1.1043,0.3034
2d3u,-0.3894,0.5767,0.4665,-0.1676,0.0129,0.7135,0.6268,-0.4959,0.9382,-0.3156,-0.4605,0.4097,-0.615,0.9254,-0.7043
2d3z,-0.2965,0.7685,0.1865,-0.214,-0.1089,0.7959,0.6477,-0.5403,0.9461,-0.5033,-0.2171,0.609,-0.2834,0.9254,-0.4264
2drc,-0.7460,1.2170,3.4365,-0.0375,0.2714,-0.8765,0.3983,-0.5488,0.0385,-0.5033,0.5597,0.3451,-1.67,0.9943,-0.2978
2er9,1.4084,1.6738,0.9465,2.3991,3.2866,0.2677,1.5549,-0.3966,0.9923,1.4542,1.1535,1.6556,-2.9963,-0.1644,0.6684
2f01,1.3899,0.2187,6.5465,-0.4089,-0.8944,-0.3025,-0.379,-0.2302,-1.2618,-0.2352,0.5644,-0.1887,1.0731,0.9943,-0.2264
2f80,2.8994,0.0728,1.7265,1.3327,1.0178,0.5951,0.8987,-0.5478,0.6119,0.7034,0.6257,1.0983,-0.2758,-0.1704,0.5366
2fai,-0.0333,1.5249,-0.2135,-0.3496,-0.4066,0.8013,0.3918,-0.1941,0.0309,-1.5223,-0.9627,-1.2975,0.7641,0.5344,-0.9473
2fdp,1.9860,1.6848,1.1365,1.3288,1.3567,1.3127,1.7113,-0.21,1.897,0.8375,1.5664,1.0884,-1.2857,-1.1497,0.1906
2flb,-0.6331,1.0031,-0.7135,-0.1624,-0.042,0.1067,-0.4223,-0.7294,0.423,0.1403,-0.4457,-1.6518,-0.9616,0.4878,1.5605
2fzc,-0.8898,1.6781,-3.7535,-0.7618,-0.8361,-0.3441,-1.214,2.0259,-1.2618,-0.6642,0.753,-0.3598,0.5079,-0.3181,0.386
2g5u,-0.2576,1.2744,2.0365,-0.6419,-1.0185,1.5203,0.3276,-0.1361,0.1216,-1.7636,-1.276,-1.8512,1.156,0.5002,-1.186
2g8r,-1.1821,1.5716,-2.4635,-0.6984,-0.1343,-1.6154,-1.214,-0.268,-0.2287,-0.0743,-0.5974,0.2014,0.2441,0.9909,-0.1295
2g94,1.5403,1.6655,3.0665,1.8212,1.5943,0.3032,0.9773,1.5238,-0.717,2.1782,1.5872,1.1624,-0.6526,-0.3563,0.7694
2gss,-0.7721,1.2579,-1.5135,-1.0226,-0.8261,0.563,-0.1645,0.3896,-0.0179,-1.0128,-1.1124,0.1049,0.6134,0.9536,-1.041
2hdq,-2.1978,0.8914,-5.0535,-1.602,-1.436,-0.1023,-0.7162,0.0644,-0.5642,-1.0933,-0.7689,-0.9621,1.1334,0.9263,-0.5659
2i0d,4.3171,0.4437,5.6465,1.695,1.5969,0.9904,1.4474,-0.5331,1.5412,0.9983,0.0638,1.1754,-1.4514,0.4124,0.1696
2j77,-0.6726,0.2471,-1.5635,-1.0918,-1.2037,-1.367,-1.214,0.6124,-1.2618,-0.1279,1.4158,-1.8448,1.6081,-0.75,0.1824
2j78,-0.6865,0.5751,-0.0335,-0.7641,-1.197,-1.1162,-1.214,0.5212,-1.2618,0.1671,1.9372,-1.8282,1.0882,-0.54,0.76
2qwb,-1.7326,0.7469,-3.7135,-0.4501,-0.7588,-1.7408,-1.214,0.9317,-1.2618,-0.3424,0.9882,0.0019,0.7792,0.931,0.1009
2qwd,-2.0267,0.4274,-1.6035,-0.4574,-0.7254,-1.724,-1.214,0.9206,-0.8926,0.0062,1.1447,0.0007,0.4928,0.9003,0.7447
2qwe,-0.6491,0.4876,1.0265,-0.0538,-0.5432,-2.2103,-0.9497,1.0376,-0.8926,0.5157,1.8355,0.1117,-0.0272,0.9003,0.9957
2rkm,-0.9905,1.4412,-2.5535,-0.1517,-0.5096,-1.4751,0.1777,3.135,-1.2618,0.2207,0.8551,0.398,0.8696,0.9695,0.4312
2std,2.7680,0.6396,3.3965,-0.2077,-0.5807,1.3228,0.1344,-0.0827,-0.1755,-1.1469,-1.053,0.5373,1.4273,-1.1977,-0.9197
2usn,-0.2526,1.2548,0.0565,-0.3581,-0.0366,1.0412,-0.7281,-0.6122,0.9746,-0.4229,0.016,0.3636,-0.4341,-0.1551,-0.0732
3gss,-1.0539,1.5218,-0.6335,0.5531,0.4548,-1.1979,-0.4079,0.9307,-0.3962,2.2587,0.9881,0.7567,-0.5547,0.973,1.0758
3pce,-2.0746,0.2108,-4.4535,-1.1085,-1.2254,-0.2339,-0.4432,0.3661,-0.3325,-0.691,-0.5903,-0.7661,0.6209,0.9903,0.6978
3pch,-1.1959,0.3301,-1.0535,-1.0456,-1.3356,-0.0107,-0.1793,0.307,-0.3643,-0.8787,0.0091,-0.8106,0.8395,0.9359,0.6882
3pcj,-1.1264,0.3021,0.7665,-1.0074,-1.257,-0.6146,-0.9501,0.3628,-0.1936,-0.8787,0.3117,-0.5753,0.4175,0.9359,0.5341
3std,0.9363,1.5152,4.6565,0.6668,0.2485,1.4455,-0.1858,-0.6288,1.9081,-0.4765,-1.276,-1.1321,-1.037,-0.8375,-0.846
4er2,1.9541,0.9614,2.8465,1.2211,1.6844,-0.0959,0.929,5.2552,-1.2618,0.6229,0.9513,1.3744,-0.6979,0.9932,-0.1109
4fiv,2.1361,0.8977,0.0665,2.4414,2.9702,0.9633,1.2844,-0.4809,1.7301,1.8833,1.7316,1.4763,-2.627,-0.746,1.7139
4tln,-1.4998,1.5086,-2.7335,-1.482,-1.2462,-0.3991,-0.9566,2.4856,-1.2618,-1.2273,0.1984,-0.2046,1.2992,-1.2166,0.2792
5abp,-2.5805,0.5171,0.1865,-0.9019,-1.2721,-1.1292,-1.214,0.4478,-1.2618,-0.7983,0.7964,-1.9119,1.578,-0.712,-0.1488
5er1,-0.0629,1.6900,-0.4335,0.4089,1.0283,-0.1295,-0.4562,1.6225,-0.1436,-0.3156,0.1354,1.2966,-0.1176,0.0933,-0.264
6fiv,0.9524,0.7030,1.6265,0.2216,0.4965,0.5294,0.107,-0.009,0.9746,-0.3692,0.3966,0.8717,-0.7958,-0.1552,-0.0407
6rnt,-1.9882,0.4420,-4.0835,-0.771,-0.3818,-0.4407,-1.214,-0.4392,-0.8678,-0.1547,0.637,-0.4181,0.1688,1.236,0.3817
6std,2.4137,1.0866,2.1865,-0.0586,-0.5701,0.9623,-0.144,-0.1185,-0.1927,-0.5838,-1.0393,0.4788,1.6835,-1.2065,-0.8233
8abp,-2.4209,0.4834,1.5465,-0.9083,-1.2721,-1.1292,-1.214,0.4478,-1.2618,-0.6642,0.8671,-1.9119,1.578,-0.712,-0.1191
1f8b,-2.3923,0.2915,-1.0535,-0.4251,-0.7984,-1.4928,-0.9497,0.8026,-0.8926,0.2475,0.6608,-0.0561,0.4928,0.9004,0.5256
1f8c,-1.9361,0.4088,0.9465,-0.462,-0.7254,-1.724,-1.214,0.9206,-0.8926,0.1671,1.1558,0.0007,0.4928,0.9003,0.5822
1f8d,-2.3306,0.3793,-3.0535,-0.3731,-0.7254,-1.724,-0.9497,0.8483,-0.8926,0.1403,0.7341,-0.0294,0.4928,0.9004,0.4283
1hnn,-0.2337,0.9350,-0.2135,-0.8217,-0.8064,-0.4592,-0.4432,-0.0048,-0.3474,-0.6106,-0.9673,-0.1708,1.0731,-1.2291,-0.3142
1igj,0.2572,1.6845,3.5465,-0.0707,1.0154,0.62,2.8215,-0.7831,-0.8985,-1.0933,-1.246,0.2128,0.9827,-0.0102,-1.044
1lbk,-1.8018,0.6494,-3.2735,-0.654,-0.8019,-1.8597,-1.214,2.585,-1.2618,0.5157,1.0026,0.0945,0.3949,0.973,0.5054
1lor,-1.8154,0.3355,4.6065,0.257,-0.4763,-0.8,-1.214,-0.0741,-0.4216,0.6497,1.9093,-0.0023,0.2667,1.2311,1.2542
1n1m,-0.7020,1.5241,-0.7535,-1.0625,-1.0315,-0.1751,-0.6573,0.6043,-1.2618,-0.7715,0.1659,0.2758,1.3293,-1.2182,-0.2949
1o5b,-0.4303,0.2858,-0.6835,-1.0228,-0.9682,0.1622,0.5643,-0.168,-0.2423,-0.7447,-1.276,-1.8267,1.2916,-1.7137,-0.5601
1oyt,0.9952,1.2879,0.7865,0.6006,0.409,-0.3852,0.0846,-0.7528,0.9526,0.5693,-1.0965,0.9162,-0.5471,-1.2039,-0.4806
1ps3,0.9102,1.0350,-4.1735,-0.5265,-1.0186,-1.4529,-1.214,-0.054,-1.2618,0.4084,1.6773,-0.0586,0.8395,-0.7059,0.7897
1q8u,-0.5486,1.2185,-0.4935,-0.0782,-0.0562,0.1373,-0.1086,-0.2283,-0.1354,-0.8787,-1.276,0.841,0.6285,-1.2319,-0.7845
1qi0,-2.4855,0.6254,-4.1035,-0.9622,-0.6237,-1.7996,-1.214,0.0167,-1.2618,-0.4229,0.4714,-1.529,1.4273,-0.712,0.6427
1r5y,-0.7949,1.4378,0.0065,-1.0255,-0.9467,-0.1098,-0.4223,-0.0749,-0.3716,-0.0475,1.0991,-0.1965,0.2215,-0.656,-0.0641
1sln,-0.1400,1.6214,0.1865,0.4659,0.7301,-0.9819,0.691,0.2526,0.8007,0.5157,0.3784,1.0599,-1.1952,0.926,0.4925
1uto,-2.6540,0.2575,-4.1835,-1.436,-1.1944,0.0084,-0.971,0.3714,-0.1436,-1.1737,-0.8766,-1.989,1.1409,-1.1073,-1.0442
1w3k,-0.7841,0.6075,-2.1535,-0.237,-0.6567,-1.8615,-1.214,-0.0156,-1.2618,0.4889,2.0287,-1.5753,1.4574,-0.712,0.6737
1w3l,-0.9385,1.5690,-0.1735,0.6733,0.0411,-2.5318,-1.214,-0.3483,-1.2618,2.6341,2.4626,-1.3745,1.3067,-0.712,8.7667
1w4o,-1.2532,0.6267,-1.2335,-0.7145,-0.4945,-0.7093,-1.214,-0.0386,-0.2287,-0.557,0.6618,-0.0445,0.4175,1.2352,0.2175
1xd0,-0.7205,1.4718,0.6665,2.043,1.7599,-3.7373,-0.9148,-0.7398,-1.2618,1.2397,2.1895,-1.0758,1.0354,-0.6857,1.2534
1yc1,0.2729,1.3733,-0.2835,0.519,-0.0686,0.4208,0.342,-0.6269,0.0344,0.4352,-0.6879,-0.1503,-1.0144,0.9174,-0.1497
1z95,1.5065,1.4151,0.6665,0.7615,-0.0727,0.7505,0.9326,-0.0739,0.5899,-0.262,-0.6256,0.6203,-0.4793,-0.4539,-0.5223
1zea,-0.9601,1.7337,-1.2335,1.0454,3.1498,-3.1182,0.3918,-0.176,0.2355,1.5347,0.0405,1.45,-4.0589,0.9932,0.9179
2cbj,0.5047,0.3981,1.8165,-0.2476,-0.3886,-0.3936,-0.461,-0.2048,-0.3175,-0.2352,0.6598,0.0553,-0.2683,0.1036,0.0744
2fvd,0.5154,1.0530,2.0665,0.5896,0.1453,0.2985,-0.1295,-0.5329,0.0203,0.5693,-0.5026,1.072,-0.3964,0.4026,-0.4076
2g70,0.6812,1.0359,1.3165,-0.7128,-0.8608,-0.2676,-0.971,0.0031,-0.0313,-0.3156,-0.7178,-0.5594,0.6586,-0.7489,-0.7033
2hb1,-1.6443,0.8871,-2.6535,-1.0227,-1.2539,-0.444,-0.5183,0.0178,-0.8022,-0.5033,-0.3225,-0.7664,0.945,0.9536,-0.2164
2iwx,0.5366,0.8074,0.2265,0.0422,-0.2722,1.0741,-0.1007,0.1014,-0.1898,-0.557,-0.8227,0.42,0.2441,0.5228,-0.5358
2j62,2.6948,0.8590,4.8865,0.6544,0.0844,0.0945,-0.4144,-0.3152,0.4094,0.1671,0.7486,0.5138,0.0859,-0.7061,0.088
2jdm,0.3789,0.2805,-1.0535,-1.2678,-1.1983,-0.6111,-0.9148,0.4658,-1.2618,-0.5838,1.5711,-1.8861,1.6081,-0.777,-0.2387
2jdu,0.2949,0.4586,0.2665,-1.2774,-1.1983,-0.6111,-0.9148,0.4658,-1.2618,-0.5033,1.9375,-1.8861,1.6081,-0.777,-0.0267
2jdy,0.3896,0.3621,-2.0835,-1.248,-1.1823,-0.9277,-1.214,0.4884,-1.2618,-0.2888,1.8445,-1.8688,1.578,-0.712,0.2273
2obf,1.2403,1.1650,2.3965,0.2297,-0.1669,0.2087,0.6124,-0.4448,0.565,0.4352,-0.5045,0.4153,0.5531,-0.7489,0.5278
2ole,0.3764,0.8604,0.7965,0.0406,0.2131,0.7003,0.6557,-0.3532,0.9535,-0.4229,-0.6294,1.156,-0.404,-1.1386,0.2896
2p4y,1.1173,1.6552,2.5465,1.468,0.9707,1.6761,1.4748,-0.731,0.9468,-0.2352,-0.8862,0.4979,-1.5419,1.2386,-0.7188
2pcp,0.8115,1.2585,2.2465,-0.3479,-0.4121,0.7613,0.1777,-0.1163,-0.1436,-0.5033,-1.0803,-1.316,1.1409,-1.2044,-0.5694
2qbp,0.6057,0.9188,1.9465,0.6878,0.716,0.5029,1.0522,-0.7446,0.9041,0.4084,-0.2402,0.6764,-0.4492,0.9536,-0.1612
2qbr,0.7519,0.8733,-0.1235,-0.0661,-0.0871,0.5663,0.4955,-0.5474,0.9041,-0.1279,-0.3638,-0.3177,-0.3813,0.9536,-0.0911
2qmj,-1.8677,0.5935,-2.2435,0.8412,0.9594,-3.0916,-0.407,-0.557,-0.8985,0.5157,1.4632,-1.2032,0.9902,-0.712,0.5738
2r23,-0.3982,0.9552,-2.7335,-0.0807,0.0842,-2.6618,-1.214,0.3298,-0.8685,-0.0206,1.1332,0.4046,0.4024,0.9309,1.0626
2v00,0.0212,1.0842,-2.7935,-0.7572,-0.7117,0.2137,-0.4144,-0.1992,0.5469,-0.2888,0.0622,-0.2094,0.1763,-0.9764,-0.6156
2v7a,1.2086,0.6669,1.8465,0.6496,0.7936,0.2412,0.0846,-0.9859,1.1376,-0.1279,-0.6052,0.7685,-1.0219,-1.0032,-0.5502
2vl4,-0.5766,0.2375,-0.4435,-1.0627,-1.2037,-1.3038,-1.214,0.6124,-1.2618,-0.5033,1.5241,-1.8398,1.6081,-0.6883,-0.0012
2vo5,0.8851,1.2768,-1.5635,-0.2316,-0.4411,-0.7779,-1.214,-0.2549,-0.1436,-0.0475,1.2263,-1.3956,1.0203,-0.6859,-0.1614
2vot,1.3676,1.1877,0.6865,0.0716,-0.3771,-0.1991,-0.6862,-0.4544,0.2355,0.8106,1.3416,-1.5409,0.3044,-0.7061,0.9067
2vvn,0.6578,0.5998,0.8465,-0.4191,-0.9329,-0.5969,-0.9148,-0.2653,-1.2618,-0.3424,0.1084,-1.6796,1.5026,-0.712,-0.0247
2vw5,0.6328,1.6346,2.0665,0.437,0.8692,1.3107,2.0269,0.7445,0.2054,0.0866,-0.2481,0.7752,-0.3813,0.5334,-0.2606
2w66,-0.8135,0.9942,-2.4035,-0.5043,-0.8901,-1.5196,-1.214,0.936,-1.2618,-0.1279,0.8212,-0.0576,1.2087,-0.75,0.3321
2wbg,-0.2759,0.7564,-2.0035,-0.0413,-0.3692,-0.1927,-0.9357,-0.1338,-1.2618,1.0788,0.9824,-1.557,1.0882,0.0422,0.592
2wca,0.2567,0.6723,-0.8535,-0.3913,-0.1893,-0.1532,-0.1827,-0.1413,-0.3175,-0.691,0.2389,0.3225,-0.2683,0.1036,-0.1428
2weg,0.0778,0.7591,0.0465,-1.2527,-1.1937,0.009,-0.6862,0.3968,-0.3245,-1.1469,-0.5937,0.3941,1.0505,-2.3802,-0.8297
2wtv,0.6699,1.1606,2.2865,0.6744,0.4153,1.26,0.6124,-0.8372,2.036,0.1403,-0.9929,1.2519,-1.3836,0.9359,-0.2733
2x00,1.2825,1.6846,4.8765,0.7981,1.231,1.868,3.1764,-0.4297,-0.1867,-0.3961,-1.276,0.496,0.4627,-0.0144,-0.7199
2x0y,1.3980,0.8943,-1.8535,-0.3793,-0.5691,-0.8186,-1.214,0.0167,-0.4135,-0.4765,-0.3136,0.1452,0.3044,-0.7115,-0.5106
2x8z,0.0906,0.4615,1.5065,-0.9569,-1.0426,-0.3545,-0.6573,0.5157,-1.2618,-0.5838,0.0115,0.1508,1.2238,0.9694,0.0257
2xb8,-0.2614,0.6175,1.1365,0.2719,-0.5519,-0.7438,-0.1649,-0.0003,-0.3325,0.462,1.2461,0.4159,0.2818,0.9595,0.5204
2xbv,1.2857,0.7690,1.9765,0.9874,0.6493,0.4789,0.1055,-0.6984,1.2974,1.8028,-0.8871,1.504,-1.0294,-1.2104,0.1557
2xdl,0.4800,1.0759,-3.3535,-0.5032,-0.8434,0.4434,0.1762,0.5762,-0.5213,-0.691,-0.9416,0.2723,0.4702,0.494,-0.8256
2xhm,1.2803,1.5924,0.3465,1.2173,0.8421,0.6073,0.585,0.2692,0.5969,1.3469,0.936,0.9596,-1.1425,0.5344,1.2457
2xnb,1.6978,1.0014,0.3765,0.4139,0.1711,0.2759,0.4048,-0.7878,0.3556,-0.3424,-1.0272,0.0536,-0.2834,-1.0752,-0.4436
2xys,0.0296,1.6328,0.9665,0.2139,0.1873,0.0072,-0.2063,-0.7977,0.0309,-0.4497,-0.9864,-0.9253,0.734,-0.9298,-0.6158
2y5h,0.5507,0.7001,-0.6635,0.3274,0.4661,0.4351,-0.6862,-0.8251,-0.3756,0.5693,-1.1716,0.9704,0.4476,-0.1701,-0.4565
2yfe,0.1965,1.4204,0.1765,-0.2332,-0.1023,0.8055,0.9694,0.134,0.9303,-1.281,-0.9834,0.0023,-0.3135,0.9342,-1.1313
2yge,-0.0684,0.6203,-1.3935,0.729,0.9818,0.6053,0.442,0.7164,0.5647,0.1403,-0.3744,0.9284,-0.9089,0.363,-0.1334
2yki,1.4030,1.2665,3.0065,1.3028,0.9696,1.4041,0.5496,-1.0257,1.9203,0.8106,-0.1239,0.7697,-1.8433,-1.2288,-0.021
2ymd,0.0832,1.0938,-3.2935,-0.8843,-0.8496,0.066,-0.1793,-0.0856,-0.3284,-0.6642,0.1362,-1.8602,0.6435,0.5342,-0.3996
2zjw,-0.9864,1.0645,1.2465,-0.1003,-0.456,0.2677,-0.6862,-0.4595,-0.2327,-0.6642,-1.1221,-0.0015,-0.8184,0.4928,-0.063
2zwz,-1.2439,0.8331,1.3365,-1.0414,-1.0531,-1.4785,-0.9148,0.8306,-1.2618,-0.3961,1.3583,-1.7309,1.6081,-0.7815,0.1584
2zx6,2.2846,0.8131,4.1465,-0.0726,-0.054,-0.6779,-0.4079,-0.4836,-0.1395,0.328,1.3209,0.4803,0.3044,-0.7815,0.6378
2zxd,-0.5031,0.9051,-1.2335,-1.0595,-1.0717,-0.8544,-1.214,0.8196,-1.2618,-0.7447,0.4411,-1.6895,1.6383,-0.7813,-0.0441
3acw,0.0805,1.3660,-1.6935,-0.0735,-0.2264,0.4332,-0.4851,-0.5937,0.6119,-1.281,-0.9834,-1.4252,0.523,-0.8716,-0.9441
3ag9,-0.2669,1.7412,1.5965,1.2528,3.4568,-2.7186,1.8477,-0.3569,-0.8678,0.6497,0.7118,1.1663,-3.1018,-0.7842,0.2947
3ao4,-1.7984,0.6634,-4.3835,-0.676,-0.7955,0.294,-0.4223,-0.5708,-0.5064,-0.3692,-0.6295,-1.8052,0.1236,-0.058,-0.3758
3b3s,-1.0294,0.2533,-3.9035,-1.415,-1.3079,-0.6319,-0.9566,2.372,-1.2618,-1.281,0.2137,-0.6101,1.3293,0.9259,-0.1891
3b3w,-1.1233,0.1932,-2.2635,-1.3489,-1.3079,-0.6319,-0.9566,2.372,-1.2618,-0.9592,0.1843,-0.6101,1.3293,0.9259,-0.0587
3b68,1.7560,1.0330,1.9465,1.1245,-0.0298,0.8925,0.6687,-0.1798,0.5503,0.5961,-0.6175,0.521,-1.0068,0.339,-0.0865
3bfu,0.2004,0.4581,-0.1835,-0.9449,-1.1736,-1.1429,-1.214,0.2579,-0.7602,-0.0206,1.3003,-0.4621,0.847,0.9258,0.2426
3bkk,0.8444,1.5326,-0.3735,1.4041,0.7046,0.161,0.3564,-0.3942,2.0929,1.7224,1.0032,0.6859,-1.263,0.9694,0.9618
3bpc,-0.4538,1.5070,-1.6535,-0.3912,-0.0064,-1.6724,-0.3721,0.0324,-0.4993,0.3548,1.1546,0.1021,0.1763,0.9276,0.8764
3cft,-1.4799,1.7000,-2.2635,-0.923,-0.7888,0.2718,-0.6862,0.1154,-0.1286,-1.5491,-1.276,-0.4479,0.5606,3.1064,-0.9521
3cj2,-0.9383,1.5082,-1.6035,-1.0085,-0.6427,0.8336,0.3709,-0.0033,-0.3815,-1.4687,-0.8153,0.5051,0.9827,-0.6629,-0.9472
3coy,0.0752,0.8755,-0.4335,0.9989,0.274,-1.0419,-1.214,-0.5571,-0.8678,0.9447,0.8561,0.4739,-0.0724,-0.779,-0.0827
3cyx,1.6188,0.1840,1.5465,2.0913,2.1809,0.3794,1.547,-0.6237,1.1676,1.2129,0.2308,1.3979,-1.5193,-0.8046,-0.1268
3d4z,-0.2888,0.1989,-1.5635,-0.7276,-1.0165,-0.6958,-1.214,-0.0451,-0.6939,0.1134,1.4337,-1.704,1.0429,-0.7061,0.6571
3dd0,1.3387,0.4272,2.5465,-0.8838,-0.7636,0.2769,-0.1231,-0.306,-0.6952,-0.7715,-0.7475,-0.2921,0.8696,0.3805,-0.6482
3dxg,-2.0560,0.3145,-4.0535,-0.701,-0.4945,-0.7093,-1.214,-0.0977,-0.2287,-0.4497,-0.6549,-0.0502,0.4175,1.2311,-0.27
3e93,1.8019,1.2160,2.3965,1.4084,1.1678,1.1982,1.6615,-1.0115,1.1526,0.6497,-0.4935,0.7873,-1.0144,-0.8841,-0.488
3ebp,0.6976,1.0706,-0.5435,-0.2851,0.2233,0.4448,-0.6862,-0.4968,0.5218,0.1134,-1.276,0.5248,-0.1553,0.528,-0.7943
3ehy,0.1221,0.8291,-0.6035,-0.5712,-0.8202,-0.4103,0.1408,0.4267,-0.5064,-0.4229,-0.3038,0.0279,0.5531,0.9752,-0.1648
3ejr,1.4978,1.2520,2.1165,0.294,-0.0118,-0.1154,-0.4562,-0.3231,-0.1586,1.2933,1.9129,0.76,0.8018,-0.7856,0.9518
3f17,0.6176,1.1162,2.1765,-0.1167,-0.4712,0.4563,-0.2002,-0.1625,0.5914,-0.2083,-0.724,0.0799,-0.0347,-1.7252,-0.0036
3f3a,-1.8184,0.5894,-2.2635,-0.6129,-0.7671,-0.423,-0.7071,-0.0556,-0.1395,0.1939,0.2297,-0.4508,0.3949,0.9258,0.3237
3f3c,-0.0680,1.3164,-0.4335,-0.684,-1.0911,-0.5284,-0.4432,0.4744,-0.1506,-0.1815,0.46,0.3965,0.6888,0.9258,-0.2068
3f3e,-0.7975,0.3366,1.2465,-1.2816,-1.3079,-0.6319,-0.9566,2.372,-1.2618,-0.8519,0.5122,-0.6101,1.3293,0.9259,-0.5087
3f80,-0.9448,1.4939,-2.2335,-0.8314,-1.1949,-0.8165,-0.9357,2.2846,-0.9457,0.033,-0.5634,-0.614,0.8771,0.9259,0.3298
3fcq,-1.4467,0.6342,-3.6835,-0.979,-1.0623,-0.0493,-0.4079,0.4149,-0.3474,-0.5033,0.062,-0.4469,0.3722,0.9343,-0.2856
3fv1,1.5712,0.6130,2.8465,0.0911,-0.5826,-2.1899,-1.214,0.0922,-1.2618,1.0788,2.5171,0.0125,0.8093,0.9596,0.5459
3g0w,0.2566,1.2300,3.0665,0.2476,-0.4744,0.758,0.1344,-0.4409,-0.3793,-0.4229,-0.8233,0.6629,0.2667,-0.1024,-0.7859
3g2n,0.0802,1.0652,-2.3635,-0.0561,-0.6673,-0.6863,-0.6862,-0.1552,-0.1436,-0.0743,0.7195,0.2608,0.6209,-0.712,-0.1857
3g2z,-1.3495,1.1133,-4.0935,-1.2624,-1.07,-0.0602,-0.202,-0.3232,-0.8946,-0.8519,-0.2604,-0.2677,0.4627,-1.4395,-0.4231
3gbb,0.6822,1.0337,0.4465,-0.3366,-0.7978,-1.3095,-0.6573,-0.058,-1.2618,0.5157,1.1803,-0.1308,0.8696,0.9596,0.5536
3gcs,2.5754,0.8149,0.7965,0.8741,0.1163,1.5731,0.8972,-0.6934,1.1398,0.4889,-0.1413,0.4218,-1.0973,-0.0183,-0.402
3ge7,0.3100,1.1444,2.2465,0.2272,0.4317,-0.528,-0.3934,-0.5997,-0.3998,1.4006,0.7278,0.3839,-0.208,-1.09,0.3107
3gnw,2.1108,1.6767,2.6465,1.4307,1.6114,1.9225,1.4265,-0.7831,2.5993,1.2129,-0.331,2.2759,-1.783,0.5096,-0.4151
3gy4,-1.3889,1.3096,-1.3535,-1.2108,-1.2037,-0.527,-0.1584,0.4026,-0.3325,-0.9056,-1.1511,-2.0001,0.6209,-0.6558,-0.7276
3huc,0.2842,1.4642,-0.4635,-0.1542,0.1416,1.0612,-0.158,-0.6585,1.0242,-0.1815,-1.276,0.0045,-1.2555,-1.4624,-0.7128
3imc,-2.3318,0.5230,-3.4935,-1.0586,-1.0342,0.5338,-0.1584,-0.1958,-0.3134,-1.2005,-1.0829,-1.9434,0.6737,0.4122,-1.131
3ivg,-0.3095,0.9392,-2.1535,0.7186,0.3726,0.3638,0.1055,-0.7157,0.616,0.3548,-0.6634,0.4224,-0.728,0.9728,0.8862
3jvs,0.2257,1.5041,0.0865,-0.434,0.2853,1.2534,-0.2145,-0.5803,1.2908,0.1403,-0.6387,0.3637,-1.2103,-1.3234,-0.4113
3k5v,0.4015,1.3790,-0.1535,0.1281,-0.1967,1.0601,0.3694,-0.572,0.8089,-0.6642,-1.276,0.0775,-0.9691,1.2386,-1.0132
3kgp,-2.2291,0.4302,-3.8835,-1.1807,-1.1876,-0.5089,-0.971,0.4101,-0.1586,-1.1201,-0.935,-0.7226,0.7415,0.9359,-0.5788
