%Gaussian process regression with a Gaussian likelihood
%model: gpr, kernel: sum
Optimization success: True in 97 iterations, b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH'
%.kernel.kernels[0].variance: 1.6858093557475486
%.kernel.kernels[0].lengthscales: [ 0.4459262   0.42873226  0.9906523   2.62970555  0.33622558  0.90776844  1.9561593   0.80081986  0.44421837  0.69457334  1.12073376 31.49524015  1.46187927  0.62748511]
%.kernel.kernels[1].variance: 0.05114749959534973
%.likelihood.variance: 0.8742907363780765
%loglikelihood: -6669.2774565980435
%RMSE:1.594
%Pearson_correlation_coefficient:0.717,P-value:0.000
%Spearman_correlation_coefficient:0.718,P-value:0.000
%%%%%%PREDICTIONS%%%%%
name,f_pred_mean,f_pred_var,y_true,vina_gauss2,BertzCT,MolLogP,PEOE_VSA7,BalabanJ,SMR_VSA7,as_flex_all,vina_hydrogen,MaxAbsEStateIndex,HallKierAlpha,MaxAbsPartialCharge,vina_repulsion,PEOE_VSA8,PEOE_VSA1
1y6q,2.6790,0.1969,5.2465,-0.0804,-0.3795,-0.359,-0.9439,-0.4421,-0.698,-0.1279,-0.2732,-1.5048,0.7716,-0.787,-0.5884,-0.0299,-0.0226
1ydt,1.3374,0.9691,0.8665,0.5575,0.2757,0.6497,0.3489,-0.5891,1.1379,0.1134,-0.9619,0.4989,0.2065,-1.229,-0.2227,0.1791,-0.9677
1zc9,-0.9133,1.1956,-3.2335,-0.6892,-0.814,-0.0371,-0.9148,0.6694,-0.5431,0.0598,-0.3037,-0.7007,0.6812,1.2338,0.7273,-0.5191,-0.6289
1zoe,0.3384,0.9206,0.9465,-0.6317,-0.9669,1.3048,1.569,-0.1969,-0.7026,-1.0664,-1.276,-1.8148,2.0678,-1.2028,-0.6633,0.2172,-0.6869
1zs0,1.1339,1.3434,-0.3035,0.3656,0.0788,0.9961,0.585,-0.0601,0.2491,0.5425,-0.5112,0.4032,0.1386,0.4124,0.5023,-0.8205,-1.0024
1zvx,1.0618,1.3442,2.7665,0.3738,0.0788,0.9961,0.585,-0.0601,0.2491,0.6766,-0.2552,0.4032,0.1386,0.4124,0.4224,-0.8205,-1.0024
2aou,0.4398,0.9305,1.2765,0.0526,0.0606,1.0224,1.2318,-0.359,0.5841,0.0598,-1.1591,-1.5325,0.0256,0.5287,-0.2142,0.7293,-0.3533
2ayr,1.4404,1.5028,2.8365,1.1954,1.1983,1.3593,2.7383,-0.8795,1.1934,0.0866,-0.1878,0.1947,-0.9164,0.5342,0.0976,0.1376,-0.0977
2b1v,0.7702,1.1718,-0.7135,-0.3892,-0.5026,0.7255,0.4127,-0.2834,0.0309,-1.4955,-0.6908,-1.3945,0.7641,0.5344,-0.8655,-0.2093,-0.3752
2b7d,-0.1422,1.6855,2.2465,0.5968,0.9154,-0.7793,1.3976,-0.4684,0.7708,0.9715,0.0597,0.1093,-2.4537,0.9939,1.4701,0.6244,1.5322
2baj,0.4735,1.0511,1.9465,0.3602,-0.0325,1.749,-0.1584,-0.4166,0.9299,-0.0475,-0.4095,0.4154,-0.1251,-1.4657,-0.5883,-0.136,-0.9673
2bak,0.9055,1.4972,0.9765,1.3596,1.5439,0.859,0.6477,-1.0217,0.798,0.3011,-0.8279,0.7753,-1.6172,0.369,-0.3953,2.0853,0.8322
2bok,0.4268,1.2144,0.0965,0.3754,0.4303,-0.7682,-0.6862,-0.5634,-0.1586,0.6766,-0.8207,1.0172,0.0633,-1.2039,-0.2139,0.7486,-0.7177
2brb,-1.1341,1.0137,-1.5935,-0.1793,-0.0044,1.0836,-0.971,-0.5792,0.8239,-0.7178,-1.276,-1.6597,-0.6376,-0.2405,-0.9269,-0.4335,-0.3825
2brm,-0.9518,0.9746,-0.5635,-0.1474,0.0454,1.002,-0.7281,-0.5407,0.8239,-0.7178,-1.0696,-1.5306,-0.6376,-0.7014,-0.8598,-0.7017,-0.3481
2bz6,0.8048,1.6782,0.6365,0.5595,0.1753,-0.2108,0.4048,-0.4103,0.401,1.5078,-1.1062,1.7391,-0.7506,0.9653,-0.2223,0.1882,0.5129
2bzz,-0.1067,1.7211,-0.0235,1.7001,1.8861,-0.1794,-1.214,-1.2864,-0.4737,2.4196,-0.0199,0.1581,-0.9767,1.3602,1.8331,-1.2831,1.245
2c02,-2.1679,0.3705,-2.4135,-0.3694,-0.1291,-0.2696,-1.214,-0.5488,-0.8678,-0.691,-0.1322,-0.2803,0.1612,1.3418,-0.6472,-1.2831,-0.0241
2ceq,-0.0498,0.1826,0.8265,-0.6656,-1.0165,-0.6958,-1.214,-0.0451,-0.6939,0.2207,1.4602,-1.704,1.0429,-0.7061,0.6275,-0.6879,0.2416
2cer,1.2060,1.4725,2.7665,0.1345,-0.3332,-0.1458,-0.4144,-0.4179,0.4094,0.5425,1.6209,-1.5346,0.4551,-0.7061,0.4341,-0.7212,0.2416
2cet,1.1918,1.4525,1.5665,0.0354,-0.3332,-0.1458,-0.4144,-0.4179,0.4094,0.5425,1.6366,-1.5346,0.4551,-0.7061,0.4699,-0.7212,0.2416
2cgr,0.3848,1.6635,0.8265,-0.0725,0.1376,0.0284,0.3276,-0.2914,1.904,0.4352,-0.181,-0.285,-1.3384,0.9563,-0.518,-1.2831,-0.6854
2ctc,-1.5279,0.3031,-2.5635,-0.9657,-1.165,-0.3401,-0.971,0.3889,-0.1436,-1.0128,0.506,-0.6744,0.7415,0.9631,-0.1038,-0.8437,-0.3718
2d0k,-0.0012,1.3174,-1.4335,-0.0202,0.2332,-0.973,0.3983,-0.639,0.3621,-0.1547,-0.112,0.2762,-1.67,0.9943,-0.7001,-0.1886,0.9254
2d1o,1.3643,0.6250,1.2465,0.6458,0.7374,-0.1627,0.942,0.8187,-0.1586,0.0866,1.1225,0.5848,-0.2382,-1.1043,0.3034,0.61,-0.6166
2d3u,0.6092,0.7020,0.4665,-0.1676,0.0129,0.7135,0.6268,-0.4959,0.9382,-0.3156,-0.4605,0.4097,-0.615,0.9254,-0.7043,-0.8497,-0.6854
2d3z,0.4272,0.7641,0.1865,-0.214,-0.1089,0.7959,0.6477,-0.5403,0.9461,-0.5033,-0.2171,0.609,-0.2834,0.9254,-0.4264,-0.8497,-0.6854
2drc,-0.5966,1.1847,3.4365,-0.0375,0.2714,-0.8765,0.3983,-0.5488,0.0385,-0.5033,0.5597,0.3451,-1.67,0.9943,-0.2978,0.3459,1.2513
2er9,1.2423,1.6982,0.9465,2.3991,3.2866,0.2677,1.5549,-0.3966,0.9923,1.4542,1.1535,1.6556,-2.9963,-0.1644,0.6684,3.8051,2.2039
2f01,1.4164,0.1984,6.5465,-0.4089,-0.8944,-0.3025,-0.379,-0.2302,-1.2618,-0.2352,0.5644,-0.1887,1.0731,0.9943,-0.2264,0.2585,-0.0335
2f80,2.8974,0.0675,1.7265,1.3327,1.0178,0.5951,0.8987,-0.5478,0.6119,0.7034,0.6257,1.0983,-0.2758,-0.1704,0.5366,0.6747,0.5698
2fai,0.5054,1.3052,-0.2135,-0.3496,-0.4066,0.8013,0.3918,-0.1941,0.0309,-1.5223,-0.9627,-1.2975,0.7641,0.5344,-0.9473,-0.0771,-0.3752
2fdp,1.8836,1.6839,1.1365,1.3288,1.3567,1.3127,1.7113,-0.21,1.897,0.8375,1.5664,1.0884,-1.2857,-1.1497,0.1906,2.1989,0.0102
2flb,-0.3508,0.8156,-0.7135,-0.1624,-0.042,0.1067,-0.4223,-0.7294,0.423,0.1403,-0.4457,-1.6518,-0.9616,0.4878,1.5605,-1.0149,-0.6741
2fzc,-0.8093,1.6348,-3.7535,-0.7618,-0.8361,-0.3441,-1.214,2.0259,-1.2618,-0.6642,0.753,-0.3598,0.5079,-0.3181,0.386,-0.6567,-0.6413
2g5u,-0.2710,1.1464,2.0365,-0.6419,-1.0185,1.5203,0.3276,-0.1361,0.1216,-1.7636,-1.276,-1.8512,1.156,0.5002,-1.186,-1.2831,-0.666
2g8r,-1.2577,1.5795,-2.4635,-0.6984,-0.1343,-1.6154,-1.214,-0.268,-0.2287,-0.0743,-0.5974,0.2014,0.2441,0.9909,-0.1295,0.8225,0.5329
2g94,1.5465,1.6801,3.0665,1.8212,1.5943,0.3032,0.9773,1.5238,-0.717,2.1782,1.5872,1.1624,-0.6526,-0.3563,0.7694,2.6621,0.615
2gss,-0.9742,1.0746,-1.5135,-1.0226,-0.8261,0.563,-0.1645,0.3896,-0.0179,-1.0128,-1.1124,0.1049,0.6134,0.9536,-1.041,-0.6845,-0.3946
2hdq,-2.4085,0.7920,-5.0535,-1.602,-1.436,-0.1023,-0.7162,0.0644,-0.5642,-1.0933,-0.7689,-0.9621,1.1334,0.9263,-0.5659,-1.048,-0.6854
2i0d,4.3172,0.4282,5.6465,1.695,1.5969,0.9904,1.4474,-0.5331,1.5412,0.9983,0.0638,1.1754,-1.4514,0.4124,0.1696,0.9429,-0.0721
2j77,-0.7875,0.2154,-1.5635,-1.0918,-1.2037,-1.367,-1.214,0.6124,-1.2618,-0.1279,1.4158,-1.8448,1.6081,-0.75,0.1824,-1.2831,0.2868
2j78,-0.6273,0.5065,-0.0335,-0.7641,-1.197,-1.1162,-1.214,0.5212,-1.2618,0.1671,1.9372,-1.8282,1.0882,-0.54,0.76,-1.2831,0.607
2qwb,-1.7072,0.7051,-3.7135,-0.4501,-0.7588,-1.7408,-1.214,0.9317,-1.2618,-0.3424,0.9882,0.0019,0.7792,0.931,0.1009,-0.3152,1.4994
2qwd,-1.9801,0.3773,-1.6035,-0.4574,-0.7254,-1.724,-1.214,0.9206,-0.8926,0.0062,1.1447,0.0007,0.4928,0.9003,0.7447,-0.4628,1.2228
2qwe,-0.6014,0.4514,1.0265,-0.0538,-0.5432,-2.2103,-0.9497,1.0376,-0.8926,0.5157,1.8355,0.1117,-0.0272,0.9003,0.9957,-0.7545,0.8722
2rkm,-1.1461,1.3896,-2.5535,-0.1517,-0.5096,-1.4751,0.1777,3.135,-1.2618,0.2207,0.8551,0.398,0.8696,0.9695,0.4312,-0.1829,0.6926
2std,2.6409,0.6030,3.3965,-0.2077,-0.5807,1.3228,0.1344,-0.0827,-0.1755,-1.1469,-1.053,0.5373,1.4273,-1.1977,-0.9197,0.0361,-0.9673
2usn,-0.3197,1.1789,0.0565,-0.3581,-0.0366,1.0412,-0.7281,-0.6122,0.9746,-0.4229,0.016,0.3636,-0.4341,-0.1551,-0.0732,-1.1509,-0.3505
3gss,-1.2257,1.5238,-0.6335,0.5531,0.4548,-1.1979,-0.4079,0.9307,-0.3962,2.2587,0.9881,0.7567,-0.5547,0.973,1.0758,1.3588,1.8235
3pce,-2.2295,0.1913,-4.4535,-1.1085,-1.2254,-0.2339,-0.4432,0.3661,-0.3325,-0.691,-0.5903,-0.7661,0.6209,0.9903,0.6978,-0.5559,-0.3718
3pch,-1.0968,0.3461,-1.0535,-1.0456,-1.3356,-0.0107,-0.1793,0.307,-0.3643,-0.8787,0.0091,-0.8106,0.8395,0.9359,0.6882,-1.2831,-0.3718
3pcj,-1.2176,0.3257,0.7665,-1.0074,-1.257,-0.6146,-0.9501,0.3628,-0.1936,-0.8787,0.3117,-0.5753,0.4175,0.9359,0.5341,-0.426,-0.3656
3std,1.0166,1.5233,4.6565,0.6668,0.2485,1.4455,-0.1858,-0.6288,1.9081,-0.4765,-1.276,-1.1321,-1.037,-0.8375,-0.846,-0.0957,-0.9673
4er2,1.9628,0.8609,2.8465,1.2211,1.6844,-0.0959,0.929,5.2552,-1.2618,0.6229,0.9513,1.3744,-0.6979,0.9932,-0.1109,2.7909,1.5716
4fiv,2.0848,0.8400,0.0665,2.4414,2.9702,0.9633,1.2844,-0.4809,1.7301,1.8833,1.7316,1.4763,-2.627,-0.746,1.7139,1.644,1.0013
4tln,-1.5928,1.3145,-2.7335,-1.482,-1.2462,-0.3991,-0.9566,2.4856,-1.2618,-1.2273,0.1984,-0.2046,1.2992,-1.2166,0.2792,-0.3811,-0.9425
5abp,-2.8210,0.5538,0.1865,-0.9019,-1.2721,-1.1292,-1.214,0.4478,-1.2618,-0.7983,0.7964,-1.9119,1.578,-0.712,-0.1488,-1.2831,0.5656
5er1,-0.0200,1.6986,-0.4335,0.4089,1.0283,-0.1295,-0.4562,1.6225,-0.1436,-0.3156,0.1354,1.2966,-0.1176,0.0933,-0.264,1.3996,0.6393
6fiv,0.9113,0.6400,1.6265,0.2216,0.4965,0.5294,0.107,-0.009,0.9746,-0.3692,0.3966,0.8717,-0.7958,-0.1552,-0.0407,-0.4901,0.289
6rnt,-1.9806,0.3472,-4.0835,-0.771,-0.3818,-0.4407,-1.214,-0.4392,-0.8678,-0.1547,0.637,-0.4181,0.1688,1.236,0.3817,-1.2831,-0.0241
6std,2.5440,1.0451,2.1865,-0.0586,-0.5701,0.9623,-0.144,-0.1185,-0.1927,-0.5838,-1.0393,0.4788,1.6835,-1.2065,-0.8233,0.6962,-0.9673
8abp,-2.7049,0.5264,1.5465,-0.9083,-1.2721,-1.1292,-1.214,0.4478,-1.2618,-0.6642,0.8671,-1.9119,1.578,-0.712,-0.1191,-1.2831,0.5656
1f8b,-2.5908,0.2833,-1.0535,-0.4251,-0.7984,-1.4928,-0.9497,0.8026,-0.8926,0.2475,0.6608,-0.0561,0.4928,0.9004,0.5256,-0.7545,1.1858
1f8c,-1.9102,0.3667,0.9465,-0.462,-0.7254,-1.724,-1.214,0.9206,-0.8926,0.1671,1.1558,0.0007,0.4928,0.9003,0.5822,-0.4628,1.2228
1f8d,-2.2766,0.3239,-3.0535,-0.3731,-0.7254,-1.724,-0.9497,0.8483,-0.8926,0.1403,0.7341,-0.0294,0.4928,0.9004,0.4283,-0.7545,1.2228
1hnn,-0.1904,0.8093,-0.2135,-0.8217,-0.8064,-0.4592,-0.4432,-0.0048,-0.3474,-0.6106,-0.9673,-0.1708,1.0731,-1.2291,-0.3142,-0.5755,-0.9677
1igj,0.0510,1.7159,3.5465,-0.0707,1.0154,0.62,2.8215,-0.7831,-0.8985,-1.0933,-1.246,0.2128,0.9827,-0.0102,-1.044,1.6254,0.8336
1lbk,-1.9193,0.5377,-3.2735,-0.654,-0.8019,-1.8597,-1.214,2.585,-1.2618,0.5157,1.0026,0.0945,0.3949,0.973,0.5054,0.0028,0.925
1lor,-1.2405,0.5065,4.6065,0.257,-0.4763,-0.8,-1.214,-0.0741,-0.4216,0.6497,1.9093,-0.0023,0.2667,1.2311,1.2542,-1.2831,-0.0616
1n1m,-0.3329,1.6168,-0.7535,-1.0625,-1.0315,-0.1751,-0.6573,0.6043,-1.2618,-0.7715,0.1659,0.2758,1.3293,-1.2182,-0.2949,0.6186,-0.6417
1o5b,-0.4771,0.2485,-0.6835,-1.0228,-0.9682,0.1622,0.5643,-0.168,-0.2423,-0.7447,-1.276,-1.8267,1.2916,-1.7137,-0.5601,-0.6248,-1.2932
1oyt,1.5012,1.1667,0.7865,0.6006,0.409,-0.3852,0.0846,-0.7528,0.9526,0.5693,-1.0965,0.9162,-0.5471,-1.2039,-0.4806,-0.004,-0.9929
1ps3,1.0664,0.8932,-4.1735,-0.5265,-1.0186,-1.4529,-1.214,-0.054,-1.2618,0.4084,1.6773,-0.0586,0.8395,-0.7059,0.7897,-1.2831,0.588
1q8u,-0.3106,1.1492,-0.4935,-0.0782,-0.0562,0.1373,-0.1086,-0.2283,-0.1354,-0.8787,-1.276,0.841,0.6285,-1.2319,-0.7845,1.1126,-0.9677
1qi0,-2.8886,0.6350,-4.1035,-0.9622,-0.6237,-1.7996,-1.214,0.0167,-1.2618,-0.4229,0.4714,-1.529,1.4273,-0.712,0.6427,-1.2831,2.088
1r5y,-0.4205,1.3331,0.0065,-1.0255,-0.9467,-0.1098,-0.4223,-0.0749,-0.3716,-0.0475,1.0991,-0.1965,0.2215,-0.656,-0.0641,-1.0089,-0.591
1sln,0.3740,1.6567,0.1865,0.4659,0.7301,-0.9819,0.691,0.2526,0.8007,0.5157,0.3784,1.0599,-1.1952,0.926,0.4925,0.0252,0.292
1uto,-2.6988,0.1818,-4.1835,-1.436,-1.1944,0.0084,-0.971,0.3714,-0.1436,-1.1737,-0.8766,-1.989,1.1409,-1.1073,-1.0442,-0.8437,-0.9425
1w3k,-0.5392,0.7895,-2.1535,-0.237,-0.6567,-1.8615,-1.214,-0.0156,-1.2618,0.4889,2.0287,-1.5753,1.4574,-0.712,0.6737,-1.2831,1.17
1w3l,-0.7203,1.6559,-0.1735,0.6733,0.0411,-2.5318,-1.214,-0.3483,-1.2618,2.6341,2.4626,-1.3745,1.3067,-0.712,8.7667,-1.2831,2.6924
1w4o,-1.3607,0.5637,-1.2335,-0.7145,-0.4945,-0.7093,-1.214,-0.0386,-0.2287,-0.557,0.6618,-0.0445,0.4175,1.2352,0.2175,-0.6942,-0.3752
1xd0,-1.0392,1.6292,0.6665,2.043,1.7599,-3.7373,-0.9148,-0.7398,-1.2618,1.2397,2.1895,-1.0758,1.0354,-0.6857,1.2534,0.0209,6.0856
1yc1,0.3611,1.2978,-0.2835,0.519,-0.0686,0.4208,0.342,-0.6269,0.0344,0.4352,-0.6879,-0.1503,-1.0144,0.9174,-0.1497,-0.125,0.5234
1z95,2.0316,1.3182,0.6665,0.7615,-0.0727,0.7505,0.9326,-0.0739,0.5899,-0.262,-0.6256,0.6203,-0.4793,-0.4539,-0.5223,-0.6785,-0.6537
1zea,-1.0292,1.7500,-1.2335,1.0454,3.1498,-3.1182,0.3918,-0.176,0.2355,1.5347,0.0405,1.45,-4.0589,0.9932,0.9179,2.6482,4.453
2cbj,0.4524,0.3142,1.8165,-0.2476,-0.3886,-0.3936,-0.461,-0.2048,-0.3175,-0.2352,0.6598,0.0553,-0.2683,0.1036,0.0744,-0.4804,0.2644
2fvd,0.8877,0.8925,2.0665,0.5896,0.1453,0.2985,-0.1295,-0.5329,0.0203,0.5693,-0.5026,1.072,-0.3964,0.4026,-0.4076,0.6578,-0.3254
2g70,0.0567,0.9100,1.3165,-0.7128,-0.8608,-0.2676,-0.971,0.0031,-0.0313,-0.3156,-0.7178,-0.5594,0.6586,-0.7489,-0.7033,0.0071,-0.6541
2hb1,-1.9472,1.0212,-2.6535,-1.0227,-1.2539,-0.444,-0.5183,0.0178,-0.8022,-0.5033,-0.3225,-0.7664,0.945,0.9536,-0.2164,-1.0249,0.2132
2iwx,0.3052,0.7447,0.2265,0.0422,-0.2722,1.0741,-0.1007,0.1014,-0.1898,-0.557,-0.8227,0.42,0.2441,0.5228,-0.5358,0.8159,-0.3752
2j62,2.8317,0.7710,4.8865,0.6544,0.0844,0.0945,-0.4144,-0.3152,0.4094,0.1671,0.7486,0.5138,0.0859,-0.7061,0.088,0.0255,0.2539
2jdm,0.2124,0.2576,-1.0535,-1.2678,-1.1983,-0.6111,-0.9148,0.4658,-1.2618,-0.5838,1.5711,-1.8861,1.6081,-0.777,-0.2387,-0.7456,0.2292
2jdu,0.3875,0.4016,0.2665,-1.2774,-1.1983,-0.6111,-0.9148,0.4658,-1.2618,-0.5033,1.9375,-1.8861,1.6081,-0.777,-0.0267,-0.7456,0.2292
2jdy,-0.3558,0.5249,-2.0835,-1.248,-1.1823,-0.9277,-1.214,0.4884,-1.2618,-0.2888,1.8445,-1.8688,1.578,-0.712,0.2273,-0.9438,0.5428
2obf,1.2334,0.9625,2.3965,0.2297,-0.1669,0.2087,0.6124,-0.4448,0.565,0.4352,-0.5045,0.4153,0.5531,-0.7489,0.5278,-0.0592,-0.6541
2ole,0.5543,0.9976,0.7965,0.0406,0.2131,0.7003,0.6557,-0.3532,0.9535,-0.4229,-0.6294,1.156,-0.404,-1.1386,0.2896,0.8708,-0.9425
2p4y,0.8308,1.6101,2.5465,1.468,0.9707,1.6761,1.4748,-0.731,0.9468,-0.2352,-0.8862,0.4979,-1.5419,1.2386,-0.7188,1.0536,0.7449
2pcp,0.9107,1.2479,2.2465,-0.3479,-0.4121,0.7613,0.1777,-0.1163,-0.1436,-0.5033,-1.0803,-1.316,1.1409,-1.2044,-0.5694,0.6568,-0.9929
2qbp,0.5066,0.9067,1.9465,0.6878,0.716,0.5029,1.0522,-0.7446,0.9041,0.4084,-0.2402,0.6764,-0.4492,0.9536,-0.1612,0.5684,0.5391
2qbr,-0.5760,1.1711,-0.1235,-0.0661,-0.0871,0.5663,0.4955,-0.5474,0.9041,-0.1279,-0.3638,-0.3177,-0.3813,0.9536,-0.0911,-0.6957,0.5391
2qmj,-2.0054,0.5293,-2.2435,0.8412,0.9594,-3.0916,-0.407,-0.557,-0.8985,0.5157,1.4632,-1.2032,0.9902,-0.712,0.5738,-1.0848,4.5632
2r23,-0.6122,1.0893,-2.7335,-0.0807,0.0842,-2.6618,-1.214,0.3298,-0.8685,-0.0206,1.1332,0.4046,0.4024,0.9309,1.0626,-0.8437,3.5944
2v00,-0.0701,0.8088,-2.7935,-0.7572,-0.7117,0.2137,-0.4144,-0.1992,0.5469,-0.2888,0.0622,-0.2094,0.1763,-0.9764,-0.6156,-0.7275,-0.9421
2v7a,1.2077,0.8067,1.8465,0.6496,0.7936,0.2412,0.0846,-0.9859,1.1376,-0.1279,-0.6052,0.7685,-1.0219,-1.0032,-0.5502,-0.1332,0.2255
2vl4,-0.7229,0.2111,-0.4435,-1.0627,-1.2037,-1.3038,-1.214,0.6124,-1.2618,-0.5033,1.5241,-1.8398,1.6081,-0.6883,-0.0012,-1.217,0.2868
2vo5,1.1549,1.3163,-1.5635,-0.2316,-0.4411,-0.7779,-1.214,-0.2549,-0.1436,-0.0475,1.2263,-1.3956,1.0203,-0.6859,-0.1614,0.0909,0.2616
2vot,1.6934,1.0780,0.6865,0.0716,-0.3771,-0.1991,-0.6862,-0.4544,0.2355,0.8106,1.3416,-1.5409,0.3044,-0.7061,0.9067,-0.7113,0.5675
2vvn,0.8749,0.6262,0.8465,-0.4191,-0.9329,-0.5969,-0.9148,-0.2653,-1.2618,-0.3424,0.1084,-1.6796,1.5026,-0.712,-0.0247,-0.6395,0.2644
2vw5,0.2876,1.5078,2.0665,0.437,0.8692,1.3107,2.0269,0.7445,0.2054,0.0866,-0.2481,0.7752,-0.3813,0.5334,-0.2606,1.8925,0.5926
2w66,-1.0337,1.0020,-2.4035,-0.5043,-0.8901,-1.5196,-1.214,0.936,-1.2618,-0.1279,0.8212,-0.0576,1.2087,-0.75,0.3321,-0.7545,0.6127
2wbg,0.0576,0.6483,-2.0035,-0.0413,-0.3692,-0.1927,-0.9357,-0.1338,-1.2618,1.0788,0.9824,-1.557,1.0882,0.0422,0.592,0.0213,0.252
2wca,0.1132,0.5911,-0.8535,-0.3913,-0.1893,-0.1532,-0.1827,-0.1413,-0.3175,-0.691,0.2389,0.3225,-0.2683,0.1036,-0.1428,-0.2391,0.2644
2weg,-0.0322,0.6511,0.0465,-1.2527,-1.1937,0.009,-0.6862,0.3968,-0.3245,-1.1469,-0.5937,0.3941,1.0505,-2.3802,-0.8297,-1.2831,-1.2932
2wtv,1.0455,1.1490,2.2865,0.6744,0.4153,1.26,0.6124,-0.8372,2.036,0.1403,-0.9929,1.2519,-1.3836,0.9359,-0.2733,0.3354,-0.3595
2x00,1.0990,1.6636,4.8765,0.7981,1.231,1.868,3.1764,-0.4297,-0.1867,-0.3961,-1.276,0.496,0.4627,-0.0144,-0.7199,2.6688,-0.398
2x0y,-0.6104,0.9188,-1.8535,-0.3793,-0.5691,-0.8186,-1.214,0.0167,-0.4135,-0.4765,-0.3136,0.1452,0.3044,-0.7115,-0.5106,-0.214,-0.3856
2x8z,0.1796,0.4132,1.5065,-0.9569,-1.0426,-0.3545,-0.6573,0.5157,-1.2618,-0.5838,0.0115,0.1508,1.2238,0.9694,0.0257,0.3822,-0.3846
2xb8,0.0292,0.5435,1.1365,0.2719,-0.5519,-0.7438,-0.1649,-0.0003,-0.3325,0.462,1.2461,0.4159,0.2818,0.9595,0.5204,-0.6455,0.5462
2xbv,1.3839,0.8320,1.9765,0.9874,0.6493,0.4789,0.1055,-0.6984,1.2974,1.8028,-0.8871,1.504,-1.0294,-1.2104,0.1557,0.0268,-0.341
2xdl,0.3273,1.2168,-3.3535,-0.5032,-0.8434,0.4434,0.1762,0.5762,-0.5213,-0.691,-0.9416,0.2723,0.4702,0.494,-0.8256,0.2723,-0.388
2xhm,1.5359,1.5290,0.3465,1.2173,0.8421,0.6073,0.585,0.2692,0.5969,1.3469,0.936,0.9596,-1.1425,0.5344,1.2457,0.7189,0.3119
2xnb,1.8813,0.9512,0.3765,0.4139,0.1711,0.2759,0.4048,-0.7878,0.3556,-0.3424,-1.0272,0.0536,-0.2834,-1.0752,-0.4436,0.5701,-0.0606
2xys,0.4110,1.5725,0.9665,0.2139,0.1873,0.0072,-0.2063,-0.7977,0.0309,-0.4497,-0.9864,-0.9253,0.734,-0.9298,-0.6158,0.7255,-0.0877
2y5h,0.6459,0.5898,-0.6635,0.3274,0.4661,0.4351,-0.6862,-0.8251,-0.3756,0.5693,-1.1716,0.9704,0.4476,-0.1701,-0.4565,0.4804,-0.4465
2yfe,0.1130,1.2664,0.1765,-0.2332,-0.1023,0.8055,0.9694,0.134,0.9303,-1.281,-0.9834,0.0023,-0.3135,0.9342,-1.1313,0.0463,-0.081
2yge,-0.2472,0.6189,-1.3935,0.729,0.9818,0.6053,0.442,0.7164,0.5647,0.1403,-0.3744,0.9284,-0.9089,0.363,-0.1334,1.6981,0.8606
2yki,1.1406,1.1027,3.0065,1.3028,0.9696,1.4041,0.5496,-1.0257,1.9203,0.8106,-0.1239,0.7697,-1.8433,-1.2288,-0.021,0.1375,-0.3562
2ymd,-0.0331,1.1129,-3.2935,-0.8843,-0.8496,0.066,-0.1793,-0.0856,-0.3284,-0.6642,0.1362,-1.8602,0.6435,0.5342,-0.3996,-0.0205,-0.3234
2zjw,-1.3051,0.9943,1.2465,-0.1003,-0.456,0.2677,-0.6862,-0.4595,-0.2327,-0.6642,-1.1221,-0.0015,-0.8184,0.4928,-0.063,-0.7638,0.5035
2zwz,-1.1671,0.7317,1.3365,-1.0414,-1.0531,-1.4785,-0.9148,0.8306,-1.2618,-0.3961,1.3583,-1.7309,1.6081,-0.7815,0.1584,-1.0848,0.3238
2zx6,2.0784,0.7729,4.1465,-0.0726,-0.054,-0.6779,-0.4079,-0.4836,-0.1395,0.328,1.3209,0.4803,0.3044,-0.7815,0.6378,-0.1295,0.6046
2zxd,-0.2393,0.9678,-1.2335,-1.0595,-1.0717,-0.8544,-1.214,0.8196,-1.2618,-0.7447,0.4411,-1.6895,1.6383,-0.7813,-0.0441,-0.5364,-0.0269
3acw,0.1941,1.1149,-1.6935,-0.0735,-0.2264,0.4332,-0.4851,-0.5937,0.6119,-1.281,-0.9834,-1.4252,0.523,-0.8716,-0.9441,-0.0541,-0.6792
3ag9,0.0780,1.7586,1.5965,1.2528,3.4568,-2.7186,1.8477,-0.3569,-0.8678,0.6497,0.7118,1.1663,-3.1018,-0.7842,0.2947,2.2044,2.3075
3ao4,-1.7884,0.6070,-4.3835,-0.676,-0.7955,0.294,-0.4223,-0.5708,-0.5064,-0.3692,-0.6295,-1.8052,0.1236,-0.058,-0.3758,-0.1891,-0.3605
3b3s,-0.9716,0.2308,-3.9035,-1.415,-1.3079,-0.6319,-0.9566,2.372,-1.2618,-1.281,0.2137,-0.6101,1.3293,0.9259,-0.1891,-0.3811,-0.3347
3b3w,-1.0426,0.1958,-2.2635,-1.3489,-1.3079,-0.6319,-0.9566,2.372,-1.2618,-0.9592,0.1843,-0.6101,1.3293,0.9259,-0.0587,-0.3811,-0.3347
3b68,1.5826,1.1107,1.9465,1.1245,-0.0298,0.8925,0.6687,-0.1798,0.5503,0.5961,-0.6175,0.521,-1.0068,0.339,-0.0865,0.2833,-0.0369
