%Gaussian process regression with a Gaussian likelihood
%model: gpr, kernel: sum
Optimization success: True in 27 iterations, b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH'
%.kernel.kernels[0].variance: 1.67031021927892
%.kernel.kernels[0].lengthscales: [0.3295105  0.23308286 0.62871839 0.91286576 0.26824262 0.44378951 1.29949554 0.61850463 0.24909865]
%.kernel.kernels[1].variance: 0.10833644718568067
%.likelihood.variance: 0.9129918083230907
%loglikelihood: -6818.00523444997
%RMSE:1.670
%Pearson_correlation_coefficient:0.680,P-value:0.000
%Spearman_correlation_coefficient:0.677,P-value:0.000
%%%%%%PREDICTIONS%%%%%
name,f_pred_mean,f_pred_var,y_true,vina_gauss2,BertzCT,MolLogP,PEOE_VSA7,BalabanJ,SMR_VSA7,as_flex_all,vina_hydrogen,MaxAbsEStateIndex
4fiv,1.7775,0.9760,0.0665,2.4414,2.9702,0.9633,1.2844,-0.4809,1.7301,1.8833,1.7316,1.4763
4tln,-1.5112,1.4420,-2.7335,-1.482,-1.2462,-0.3991,-0.9566,2.4856,-1.2618,-1.2273,0.1984,-0.2046
5abp,-2.8805,0.7395,0.1865,-0.9019,-1.2721,-1.1292,-1.214,0.4478,-1.2618,-0.7983,0.7964,-1.9119
5er1,-0.1700,1.6837,-0.4335,0.4089,1.0283,-0.1295,-0.4562,1.6225,-0.1436,-0.3156,0.1354,1.2966
6fiv,0.9719,0.7586,1.6265,0.2216,0.4965,0.5294,0.107,-0.009,0.9746,-0.3692,0.3966,0.8717
6rnt,-1.9141,0.7668,-4.0835,-0.771,-0.3818,-0.4407,-1.214,-0.4392,-0.8678,-0.1547,0.637,-0.4181
6std,1.3447,0.8536,2.1865,-0.0586,-0.5701,0.9623,-0.144,-0.1185,-0.1927,-0.5838,-1.0393,0.4788
8abp,-2.7552,0.6845,1.5465,-0.9083,-1.2721,-1.1292,-1.214,0.4478,-1.2618,-0.6642,0.8671,-1.9119
1f8b,-2.5391,0.3114,-1.0535,-0.4251,-0.7984,-1.4928,-0.9497,0.8026,-0.8926,0.2475,0.6608,-0.0561
1f8c,-2.0320,0.5512,0.9465,-0.462,-0.7254,-1.724,-1.214,0.9206,-0.8926,0.1671,1.1558,0.0007
1f8d,-2.2706,0.5321,-3.0535,-0.3731,-0.7254,-1.724,-0.9497,0.8483,-0.8926,0.1403,0.7341,-0.0294
1hnn,-1.1561,0.8364,-0.2135,-0.8217,-0.8064,-0.4592,-0.4432,-0.0048,-0.3474,-0.6106,-0.9673,-0.1708
1igj,0.3235,1.6980,3.5465,-0.0707,1.0154,0.62,2.8215,-0.7831,-0.8985,-1.0933,-1.246,0.2128
1lbk,-1.9324,0.8339,-3.2735,-0.654,-0.8019,-1.8597,-1.214,2.585,-1.2618,0.5157,1.0026,0.0945
1lor,-1.7577,0.5385,4.6065,0.257,-0.4763,-0.8,-1.214,-0.0741,-0.4216,0.6497,1.9093,-0.0023
1n1m,0.5334,0.9243,-0.7535,-1.0625,-1.0315,-0.1751,-0.6573,0.6043,-1.2618,-0.7715,0.1659,0.2758
1o5b,-0.4425,0.3008,-0.6835,-1.0228,-0.9682,0.1622,0.5643,-0.168,-0.2423,-0.7447,-1.276,-1.8267
1oyt,0.6223,1.4655,0.7865,0.6006,0.409,-0.3852,0.0846,-0.7528,0.9526,0.5693,-1.0965,0.9162
1ps3,0.4703,1.1370,-4.1735,-0.5265,-1.0186,-1.4529,-1.214,-0.054,-1.2618,0.4084,1.6773,-0.0586
1q8u,-0.0328,1.4689,-0.4935,-0.0782,-0.0562,0.1373,-0.1086,-0.2283,-0.1354,-0.8787,-1.276,0.841
1qi0,-2.2892,0.8850,-4.1035,-0.9622,-0.6237,-1.7996,-1.214,0.0167,-1.2618,-0.4229,0.4714,-1.529
1r5y,-1.2574,1.3703,0.0065,-1.0255,-0.9467,-0.1098,-0.4223,-0.0749,-0.3716,-0.0475,1.0991,-0.1965
1sln,-0.0622,1.6540,0.1865,0.4659,0.7301,-0.9819,0.691,0.2526,0.8007,0.5157,0.3784,1.0599
1uto,-2.8751,0.3163,-4.1835,-1.436,-1.1944,0.0084,-0.971,0.3714,-0.1436,-1.1737,-0.8766,-1.989
1w3k,-0.9447,0.7952,-2.1535,-0.237,-0.6567,-1.8615,-1.214,-0.0156,-1.2618,0.4889,2.0287,-1.5753
1w3l,-0.5878,1.6098,-0.1735,0.6733,0.0411,-2.5318,-1.214,-0.3483,-1.2618,2.6341,2.4626,-1.3745
1w4o,-1.8471,0.8371,-1.2335,-0.7145,-0.4945,-0.7093,-1.214,-0.0386,-0.2287,-0.557,0.6618,-0.0445
1xd0,-0.9431,1.6314,0.6665,2.043,1.7599,-3.7373,-0.9148,-0.7398,-1.2618,1.2397,2.1895,-1.0758
1yc1,0.9108,1.2580,-0.2835,0.519,-0.0686,0.4208,0.342,-0.6269,0.0344,0.4352,-0.6879,-0.1503
1z95,1.7386,1.3062,0.6665,0.7615,-0.0727,0.7505,0.9326,-0.0739,0.5899,-0.262,-0.6256,0.6203
1zea,-0.8914,1.7158,-1.2335,1.0454,3.1498,-3.1182,0.3918,-0.176,0.2355,1.5347,0.0405,1.45
2cbj,0.3680,0.4423,1.8165,-0.2476,-0.3886,-0.3936,-0.461,-0.2048,-0.3175,-0.2352,0.6598,0.0553
2fvd,0.2806,1.3218,2.0665,0.5896,0.1453,0.2985,-0.1295,-0.5329,0.0203,0.5693,-0.5026,1.072
2g70,-1.0977,1.0011,1.3165,-0.7128,-0.8608,-0.2676,-0.971,0.0031,-0.0313,-0.3156,-0.7178,-0.5594
2hb1,-1.4944,1.0974,-2.6535,-1.0227,-1.2539,-0.444,-0.5183,0.0178,-0.8022,-0.5033,-0.3225,-0.7664
2iwx,0.2852,1.0623,0.2265,0.0422,-0.2722,1.0741,-0.1007,0.1014,-0.1898,-0.557,-0.8227,0.42
2j62,2.7486,0.9581,4.8865,0.6544,0.0844,0.0945,-0.4144,-0.3152,0.4094,0.1671,0.7486,0.5138
2jdm,0.2316,0.3408,-1.0535,-1.2678,-1.1983,-0.6111,-0.9148,0.4658,-1.2618,-0.5838,1.5711,-1.8861
2jdu,-0.0242,0.5828,0.2665,-1.2774,-1.1983,-0.6111,-0.9148,0.4658,-1.2618,-0.5033,1.9375,-1.8861
2jdy,0.2384,0.5495,-2.0835,-1.248,-1.1823,-0.9277,-1.214,0.4884,-1.2618,-0.2888,1.8445,-1.8688
2obf,1.2338,0.7363,2.3965,0.2297,-0.1669,0.2087,0.6124,-0.4448,0.565,0.4352,-0.5045,0.4153
2ole,0.9514,0.9456,0.7965,0.0406,0.2131,0.7003,0.6557,-0.3532,0.9535,-0.4229,-0.6294,1.156
2p4y,1.5038,1.6359,2.5465,1.468,0.9707,1.6761,1.4748,-0.731,0.9468,-0.2352,-0.8862,0.4979
2pcp,0.2961,1.3294,2.2465,-0.3479,-0.4121,0.7613,0.1777,-0.1163,-0.1436,-0.5033,-1.0803,-1.316
2qbp,1.8511,0.8982,1.9465,0.6878,0.716,0.5029,1.0522,-0.7446,0.9041,0.4084,-0.2402,0.6764
2qbr,1.3245,1.0659,-0.1235,-0.0661,-0.0871,0.5663,0.4955,-0.5474,0.9041,-0.1279,-0.3638,-0.3177
2qmj,-1.8852,0.6638,-2.2435,0.8412,0.9594,-3.0916,-0.407,-0.557,-0.8985,0.5157,1.4632,-1.2032
2r23,-0.4670,1.1090,-2.7335,-0.0807,0.0842,-2.6618,-1.214,0.3298,-0.8685,-0.0206,1.1332,0.4046
2v00,0.5137,1.2271,-2.7935,-0.7572,-0.7117,0.2137,-0.4144,-0.1992,0.5469,-0.2888,0.0622,-0.2094
2v7a,1.6779,0.8373,1.8465,0.6496,0.7936,0.2412,0.0846,-0.9859,1.1376,-0.1279,-0.6052,0.7685
2vl4,-0.8982,0.2885,-0.4435,-1.0627,-1.2037,-1.3038,-1.214,0.6124,-1.2618,-0.5033,1.5241,-1.8398
2vo5,0.2051,1.5388,-1.5635,-0.2316,-0.4411,-0.7779,-1.214,-0.2549,-0.1436,-0.0475,1.2263,-1.3956
2vot,1.0215,1.3698,0.6865,0.0716,-0.3771,-0.1991,-0.6862,-0.4544,0.2355,0.8106,1.3416,-1.5409
2vvn,0.3478,0.7437,0.8465,-0.4191,-0.9329,-0.5969,-0.9148,-0.2653,-1.2618,-0.3424,0.1084,-1.6796
2vw5,0.9304,1.6749,2.0665,0.437,0.8692,1.3107,2.0269,0.7445,0.2054,0.0866,-0.2481,0.7752
2w66,-1.5810,0.9567,-2.4035,-0.5043,-0.8901,-1.5196,-1.214,0.936,-1.2618,-0.1279,0.8212,-0.0576
2wbg,-0.5488,0.5316,-2.0035,-0.0413,-0.3692,-0.1927,-0.9357,-0.1338,-1.2618,1.0788,0.9824,-1.557
2wca,-0.0866,0.8567,-0.8535,-0.3913,-0.1893,-0.1532,-0.1827,-0.1413,-0.3175,-0.691,0.2389,0.3225
2weg,-1.1188,0.7324,0.0465,-1.2527,-1.1937,0.009,-0.6862,0.3968,-0.3245,-1.1469,-0.5937,0.3941
2wtv,1.1039,1.4894,2.2865,0.6744,0.4153,1.26,0.6124,-0.8372,2.036,0.1403,-0.9929,1.2519
2x00,1.4236,1.6918,4.8765,0.7981,1.231,1.868,3.1764,-0.4297,-0.1867,-0.3961,-1.276,0.496
2x0y,-0.6509,0.9586,-1.8535,-0.3793,-0.5691,-0.8186,-1.214,0.0167,-0.4135,-0.4765,-0.3136,0.1452
2x8z,0.0301,0.5155,1.5065,-0.9569,-1.0426,-0.3545,-0.6573,0.5157,-1.2618,-0.5838,0.0115,0.1508
2xb8,0.0919,0.7805,1.1365,0.2719,-0.5519,-0.7438,-0.1649,-0.0003,-0.3325,0.462,1.2461,0.4159
2xbv,1.1129,0.7986,1.9765,0.9874,0.6493,0.4789,0.1055,-0.6984,1.2974,1.8028,-0.8871,1.504
2xdl,0.4488,1.1105,-3.3535,-0.5032,-0.8434,0.4434,0.1762,0.5762,-0.5213,-0.691,-0.9416,0.2723
2xhm,1.8392,1.5704,0.3465,1.2173,0.8421,0.6073,0.585,0.2692,0.5969,1.3469,0.936,0.9596
2xnb,1.1170,1.2279,0.3765,0.4139,0.1711,0.2759,0.4048,-0.7878,0.3556,-0.3424,-1.0272,0.0536
2xys,0.1716,1.3720,0.9665,0.2139,0.1873,0.0072,-0.2063,-0.7977,0.0309,-0.4497,-0.9864,-0.9253
2y5h,0.7138,0.5689,-0.6635,0.3274,0.4661,0.4351,-0.6862,-0.8251,-0.3756,0.5693,-1.1716,0.9704
2yfe,0.5066,1.6307,0.1765,-0.2332,-0.1023,0.8055,0.9694,0.134,0.9303,-1.281,-0.9834,0.0023
2yge,0.0426,0.6313,-1.3935,0.729,0.9818,0.6053,0.442,0.7164,0.5647,0.1403,-0.3744,0.9284
2yki,1.2719,1.3433,3.0065,1.3028,0.9696,1.4041,0.5496,-1.0257,1.9203,0.8106,-0.1239,0.7697
2ymd,-0.5423,1.1130,-3.2935,-0.8843,-0.8496,0.066,-0.1793,-0.0856,-0.3284,-0.6642,0.1362,-1.8602
2zjw,-0.2476,1.1109,1.2465,-0.1003,-0.456,0.2677,-0.6862,-0.4595,-0.2327,-0.6642,-1.1221,-0.0015
2zwz,-1.5695,1.2161,1.3365,-1.0414,-1.0531,-1.4785,-0.9148,0.8306,-1.2618,-0.3961,1.3583,-1.7309
2zx6,1.7039,0.8792,4.1465,-0.0726,-0.054,-0.6779,-0.4079,-0.4836,-0.1395,0.328,1.3209,0.4803
2zxd,-1.0046,1.2889,-1.2335,-1.0595,-1.0717,-0.8544,-1.214,0.8196,-1.2618,-0.7447,0.4411,-1.6895
3acw,-0.9254,1.2521,-1.6935,-0.0735,-0.2264,0.4332,-0.4851,-0.5937,0.6119,-1.281,-0.9834,-1.4252
3ag9,-0.5682,1.7217,1.5965,1.2528,3.4568,-2.7186,1.8477,-0.3569,-0.8678,0.6497,0.7118,1.1663
3ao4,-2.0964,0.7583,-4.3835,-0.676,-0.7955,0.294,-0.4223,-0.5708,-0.5064,-0.3692,-0.6295,-1.8052
3b3s,-0.8833,0.3117,-3.9035,-1.415,-1.3079,-0.6319,-0.9566,2.372,-1.2618,-1.281,0.2137,-0.6101
3b3w,-1.1124,0.2571,-2.2635,-1.3489,-1.3079,-0.6319,-0.9566,2.372,-1.2618,-0.9592,0.1843,-0.6101
3b68,1.7392,1.4483,1.9465,1.1245,-0.0298,0.8925,0.6687,-0.1798,0.5503,0.5961,-0.6175,0.521
3bfu,0.0564,0.5626,-0.1835,-0.9449,-1.1736,-1.1429,-1.214,0.2579,-0.7602,-0.0206,1.3003,-0.4621
3bkk,1.2454,1.6655,-0.3735,1.4041,0.7046,0.161,0.3564,-0.3942,2.0929,1.7224,1.0032,0.6859
3bpc,-0.7317,1.6574,-1.6535,-0.3912,-0.0064,-1.6724,-0.3721,0.0324,-0.4993,0.3548,1.1546,0.1021
3cft,-0.9278,1.2237,-2.2635,-0.923,-0.7888,0.2718,-0.6862,0.1154,-0.1286,-1.5491,-1.276,-0.4479
3cj2,-0.8022,1.5663,-1.6035,-1.0085,-0.6427,0.8336,0.3709,-0.0033,-0.3815,-1.4687,-0.8153,0.5051
3coy,0.1171,1.2041,-0.4335,0.9989,0.274,-1.0419,-1.214,-0.5571,-0.8678,0.9447,0.8561,0.4739
3cyx,1.5533,0.2106,1.5465,2.0913,2.1809,0.3794,1.547,-0.6237,1.1676,1.2129,0.2308,1.3979
3d4z,-0.2395,0.2346,-1.5635,-0.7276,-1.0165,-0.6958,-1.214,-0.0451,-0.6939,0.1134,1.4337,-1.704
3dd0,0.9744,0.4691,2.5465,-0.8838,-0.7636,0.2769,-0.1231,-0.306,-0.6952,-0.7715,-0.7475,-0.2921
3dxg,-0.7339,0.3511,-4.0535,-0.701,-0.4945,-0.7093,-1.214,-0.0977,-0.2287,-0.4497,-0.6549,-0.0502
3e93,1.5017,1.4634,2.3965,1.4084,1.1678,1.1982,1.6615,-1.0115,1.1526,0.6497,-0.4935,0.7873
3ebp,0.5523,1.3998,-0.5435,-0.2851,0.2233,0.4448,-0.6862,-0.4968,0.5218,0.1134,-1.276,0.5248
3ehy,0.6254,1.0786,-0.6035,-0.5712,-0.8202,-0.4103,0.1408,0.4267,-0.5064,-0.4229,-0.3038,0.0279
3ejr,0.7323,1.5555,2.1165,0.294,-0.0118,-0.1154,-0.4562,-0.3231,-0.1586,1.2933,1.9129,0.76
3f17,0.2375,0.9654,2.1765,-0.1167,-0.4712,0.4563,-0.2002,-0.1625,0.5914,-0.2083,-0.724,0.0799
3f3a,-1.5977,0.7048,-2.2635,-0.6129,-0.7671,-0.423,-0.7071,-0.0556,-0.1395,0.1939,0.2297,-0.4508
3f3c,-0.0018,1.3856,-0.4335,-0.684,-1.0911,-0.5284,-0.4432,0.4744,-0.1506,-0.1815,0.46,0.3965
3f3e,-0.7509,0.4716,1.2465,-1.2816,-1.3079,-0.6319,-0.9566,2.372,-1.2618,-0.8519,0.5122,-0.6101
3f80,-0.9499,1.5768,-2.2335,-0.8314,-1.1949,-0.8165,-0.9357,2.2846,-0.9457,0.033,-0.5634,-0.614
3fcq,-0.8815,0.8714,-3.6835,-0.979,-1.0623,-0.0493,-0.4079,0.4149,-0.3474,-0.5033,0.062,-0.4469
3fv1,1.4648,0.6659,2.8465,0.0911,-0.5826,-2.1899,-1.214,0.0922,-1.2618,1.0788,2.5171,0.0125
3g0w,0.7432,1.5550,3.0665,0.2476,-0.4744,0.758,0.1344,-0.4409,-0.3793,-0.4229,-0.8233,0.6629
3g2n,-0.2916,1.4220,-2.3635,-0.0561,-0.6673,-0.6863,-0.6862,-0.1552,-0.1436,-0.0743,0.7195,0.2608
3g2z,-1.7950,1.1065,-4.0935,-1.2624,-1.07,-0.0602,-0.202,-0.3232,-0.8946,-0.8519,-0.2604,-0.2677
3gbb,-0.1393,1.0265,0.4465,-0.3366,-0.7978,-1.3095,-0.6573,-0.058,-1.2618,0.5157,1.1803,-0.1308
3gcs,2.2041,0.9476,0.7965,0.8741,0.1163,1.5731,0.8972,-0.6934,1.1398,0.4889,-0.1413,0.4218
3ge7,-0.2268,1.4063,2.2465,0.2272,0.4317,-0.528,-0.3934,-0.5997,-0.3998,1.4006,0.7278,0.3839
3gnw,2.1470,1.6862,2.6465,1.4307,1.6114,1.9225,1.4265,-0.7831,2.5993,1.2129,-0.331,2.2759
3gy4,-1.3723,0.6406,-1.3535,-1.2108,-1.2037,-0.527,-0.1584,0.4026,-0.3325,-0.9056,-1.1511,-2.0001
3huc,0.4327,1.2357,-0.4635,-0.1542,0.1416,1.0612,-0.158,-0.6585,1.0242,-0.1815,-1.276,0.0045
3imc,-2.5721,0.4535,-3.4935,-1.0586,-1.0342,0.5338,-0.1584,-0.1958,-0.3134,-1.2005,-1.0829,-1.9434
3ivg,0.9061,0.9124,-2.1535,0.7186,0.3726,0.3638,0.1055,-0.7157,0.616,0.3548,-0.6634,0.4224
3jvs,0.0877,1.4857,0.0865,-0.434,0.2853,1.2534,-0.2145,-0.5803,1.2908,0.1403,-0.6387,0.3637
3k5v,0.5401,1.1191,-0.1535,0.1281,-0.1967,1.0601,0.3694,-0.572,0.8089,-0.6642,-1.276,0.0775
3kgp,-2.7320,0.5897,-3.8835,-1.1807,-1.1876,-0.5089,-0.971,0.4101,-0.1586,-1.1201,-0.935,-0.7226
3kv2,-1.8710,0.7471,0.8665,-0.8575,-1.2322,-1.3598,-1.214,2.0682,-1.2618,-0.0206,1.2964,-0.5964
3kwa,-1.7539,1.6849,-2.3735,-0.9461,-0.7574,-1.3206,-1.214,2.846,-1.2618,-0.8251,-0.4219,-1.8596
3l3n,-0.4657,0.6922,1.7265,1.2831,0.9671,-0.7404,0.3709,-0.2824,0.9787,0.6766,0.7487,1.0074
3l4u,-1.2733,1.6567,1.0665,-0.2404,-0.5981,-1.6315,-1.214,0.9196,-1.2618,-0.1279,0.7581,-1.5599
3l4w,-1.2643,0.5902,-0.4535,-0.7874,-1.0086,-1.5784,-1.214,0.8908,-1.2618,-0.3424,0.6103,-1.6682
3l7b,-0.2064,1.6356,-4.0535,-0.2351,-0.7305,-0.8222,-0.9501,-0.0763,-0.5523,0.0598,0.423,1.3437
3lka,0.4109,0.5250,-3.6335,-1.0213,-1.0976,-0.0312,-0.1584,0.3347,-0.5064,-1.1201,-0.8281,-0.3548
3mfv,-1.0679,0.8955,-3.9335,-0.7766,-1.053,-0.9732,-0.9357,0.3622,-0.8909,0.033,0.5829,-0.5437
3mss,-0.3886,1.0382,-1.7935,-0.8897,-0.3497,0.2221,-0.2002,-0.215,0.7858,-1.2005,-1.276,0.1268
3myg,0.3151,1.2860,4.2465,0.1197,0.4694,0.419,0.4867,-0.6834,0.0548,-0.0743,-0.3258,-1.3806
3n7a,-0.7271,1.1302,-2.7535,-0.9898,-1.2429,-1.0151,-0.9497,0.4932,-0.8835,-0.7983,1.5591,-0.5483
3n86,0.3546,1.5608,-0.8135,0.5362,-0.4336,-0.4639,0.0999,-0.1235,0.0459,0.8375,1.7494,0.265
3nox,0.3208,0.9179,2.2065,-0.1812,0.0974,0.549,-0.1231,-0.5942,0.3415,-0.2888,-0.4243,0.5569
3nq3,-0.4279,1.3271,-2.6735,-1.3285,-1.0355,0.4416,-0.6573,2.4716,-1.2618,-1.6028,-1.276,-0.6582
3nw9,1.4790,1.5787,2.5465,1.4307,0.8478,0.4664,0.6268,-0.9591,1.1775,1.8833,1.3838,0.7883
3oe5,1.0087,1.6523,0.4265,0.7767,0.0488,0.1486,-0.6862,-0.6158,0.7479,1.4274,1.6104,0.3339
3ov1,-0.4270,1.0913,-1.2535,-0.043,0.3606,-0.5755,0.1134,-0.0087,-0.3325,0.4889,1.7908,0.7359
3owj,-0.2300,1.0582,-0.3835,-0.5312,-0.0765,0.937,1.1613,-0.3577,0.358,-1.2542,-1.1267,0.2301
3ozt,0.5519,1.6744,-2.3235,0.7366,0.1316,-0.2066,-1.214,-0.5584,1.0675,1.4542,1.6359,0.333
3pe2,1.5868,1.0716,3.3065,0.0495,0.032,0.5615,0.0846,-0.63,0.798,0.1134,-1.0318,-0.3828
3pww,2.2076,0.4409,0.8665,1.8734,2.1809,0.3794,1.547,-0.6237,1.1676,1.5078,0.5458,1.3979
3pxf,-1.5608,1.3257,-2.0235,-1.1766,-0.287,0.9378,0.0768,-0.3358,0.8157,-1.6832,-1.276,-0.2132
3s8o,-0.0727,0.7725,0.3965,0.088,0.6643,-0.2149,0.1134,0.2683,-0.3325,0.8106,1.8107,1.015
3su2,0.4637,0.4202,0.8965,1.2127,2.0791,0.9821,1.6177,-0.8502,0.2508,1.776,-0.0499,1.4709
3su3,0.9784,0.6280,2.6765,1.2833,2.4597,1.2135,1.4294,-0.7733,-0.1354,1.8564,-0.1474,1.655
3su5,0.6977,0.4962,-0.8735,1.1822,2.4597,1.2135,1.4294,-0.7733,-0.1354,1.3469,-0.1151,1.655
3u9q,-0.1701,0.9548,-2.0735,-1.1726,-1.0355,0.4416,-0.6573,2.4716,-1.2618,-1.3346,-0.3029,-0.6582
3udh,-1.9228,1.2124,-3.6035,-1.005,-0.8648,-0.1849,-0.7071,-0.3728,-0.3325,-0.9324,-0.2605,0.1748
3ueu,-0.5379,1.1689,-1.2135,-1.1876,-0.8549,0.682,-0.6573,2.6706,-1.2618,-1.8441,-1.276,-0.6109
3uex,0.3418,0.9065,0.4665,-0.7477,-0.2815,1.4031,-0.6573,3.0537,-1.2618,-1.5759,-1.2282,-0.5255
3uo4,0.3700,1.6553,0.0665,0.1629,0.2159,1.0939,0.3276,-0.7591,1.7492,-0.1011,-0.0697,-0.4757
3uri,0.6311,1.6959,2.5465,2.4234,3.2757,-1.5883,0.6616,-0.4395,0.9923,1.0252,0.2602,1.4814
3utu,1.1624,1.6599,4.4665,1.2749,1.6478,-0.0303,1.676,-0.6358,1.6683,1.481,-0.7968,1.2287
3vh9,-2.0376,0.9632,-0.2135,-1.1442,-1.0879,0.4611,-0.6862,-0.0603,-0.1245,-0.8519,0.0827,-2.0053
3zso,1.0526,1.6698,-1.3335,0.5444,1.4224,0.8142,1.3836,-0.7437,2.819,0.7838,-0.0325,1.1948
3zsx,-0.4109,1.6376,-3.1735,-0.0368,0.6778,0.3192,0.085,-0.626,2.0785,-0.4497,0.2859,0.7185
4de1,-0.2112,0.9235,-0.4935,-0.2029,-0.2079,0.478,0.5609,-0.8125,0.4271,0.328,0.6488,0.2752
4de2,0.9646,0.8586,-2.3335,-0.1454,-0.1059,0.0985,0.0693,-0.5469,0.5969,0.2475,0.3593,0.4166
4des,-0.7269,0.9455,-0.6035,-0.3419,-0.5203,0.7479,-1.214,-0.4064,0.5687,-0.7983,-1.276,0.0924
4dew,-0.6028,0.2331,0.5465,-0.4522,-0.4526,0.5665,-0.4223,-0.4169,0.1909,-0.7178,-1.0902,0.1283
4djr,4.5310,0.4246,5.0665,1.4386,1.2748,0.8831,0.6348,-0.5368,0.5945,1.1056,0.483,1.1968
4djv,0.3726,1.1029,0.2665,0.1585,0.2762,0.4125,0.0637,-0.5248,1.5412,0.0866,-0.9153,0.8479
4g8m,-0.1348,0.6590,1.4365,-0.9962,-1.1911,-1.3313,-0.6573,0.4489,-1.2618,0.0598,1.584,-0.5743
4gid,1.8920,1.2675,4.3165,2.4282,1.9497,0.4793,1.1979,-0.0891,1.889,2.5805,0.8818,1.2716
4gqq,-0.7552,1.0553,-3.5635,-1.4072,-0.9503,0.3791,0.1204,0.2207,-0.3322,-1.281,-0.6908,-0.2851
1c5z,-2.2082,0.0811,-2.4435,-1.3742,-1.2488,-0.3983,-0.6862,0.3726,-0.1436,-1.1737,-1.276,-2.0498
1eby,2.4588,0.9075,3.2465,2.2029,1.6583,0.6113,0.2439,-0.8835,3.1812,1.2129,1.0484,1.3316
1g2k,2.2382,1.1901,1.5065,1.7009,1.6816,0.8571,0.8554,-0.5974,2.8483,0.9983,0.841,1.6899
1gpn,0.5777,0.9278,0.0265,-0.145,-0.2706,0.1917,0.4416,-0.3782,0.1548,-0.3961,-0.9296,0.048
1h22,1.2811,1.6521,2.6465,1.145,1.049,0.7154,1.5405,-0.7738,0.8446,1.0788,-0.468,0.0786
1k1i,0.6632,1.0300,0.1265,0.1774,1.0072,-0.3448,1.6684,-0.5391,1.1635,0.0062,-0.3317,1.0697
1lpg,1.3631,1.6960,0.6365,0.8923,1.5978,1.0524,1.6262,-0.7911,2.8225,2.0173,-1.276,1.026
1nc3,0.3451,1.0968,-1.4535,-0.1165,-0.6729,-0.7255,-1.214,-0.5051,-0.8868,0.4352,1.2311,-1.5999
1owh,-0.3022,1.1354,0.9465,-0.3556,0.0148,-0.0448,0.8399,-0.5376,1.1485,-0.4229,-0.9378,0.3929
1p1n,0.2858,0.7016,0.3465,-0.6413,-0.9473,-1.1749,-0.6364,0.8638,-0.8835,-0.1011,0.8136,-0.3465
1pxn,0.5854,0.8095,0.6965,-0.0747,-0.3978,0.9106,0.4048,-0.6093,0.0534,-0.7983,-0.8984,-1.7286
1qf1,-0.6093,1.3683,0.8665,0.1343,-0.1037,0.1243,-0.3934,0.8559,-0.1436,0.1671,0.9511,0.5804
1qkt,1.1985,1.3004,2.5865,-0.3263,-0.2728,0.9753,2.4785,-0.4281,-0.3474,-1.6296,-0.8025,-1.2442
1s38,-1.3319,0.7631,-1.3035,-0.9184,-0.9083,0.114,-0.4079,-0.0106,-0.1977,-0.5033,0.3832,-0.1709
1syi,-0.2230,1.2388,-1.0135,-0.4561,-0.6758,-1.2503,-0.379,0.024,-0.2586,0.6229,1.7604,-0.0092
1y6r,1.9936,0.7885,3.6565,-0.0615,-0.4523,-0.5645,-0.9439,-0.389,-0.698,0.3548,0.5241,-1.4225
1ydr,-0.9199,0.8749,-0.9335,-0.2295,-0.2523,-0.0779,-0.387,-0.3291,-0.1205,-0.8787,-1.1655,0.6472
1z6e,1.0795,1.2744,3.2665,0.9187,0.8144,0.7371,0.1055,-0.929,1.166,1.0788,-0.4188,1.5633
1z9g,-1.2540,0.5383,-0.8135,-0.7978,-0.838,-0.2034,-0.6927,0.5465,-0.1436,-1.0128,-0.1838,-0.1042
2al5,-0.6487,1.6754,1.9465,-0.5599,-0.9495,-1.358,-1.214,0.5279,-0.2357,0.6229,1.7745,0.4086
2br1,0.9470,1.1284,-1.3135,0.286,0.2344,1.0889,0.6124,-0.5965,0.4461,-0.0475,-1.276,-1.5727
2c3i,1.1636,1.3874,1.1465,-0.1742,-0.092,0.9172,0.691,-0.7604,0.2382,-1.1201,-1.276,0.0151
2cbv,-1.0476,1.1853,-0.9735,-0.9397,-1.1157,-1.216,-1.214,0.0156,-1.2618,-0.2888,1.8713,-1.7617
2fxs,0.5483,1.1879,-0.3935,0.1135,-0.1912,0.6424,-0.6927,-0.1671,-0.1904,0.5961,-0.9752,0.3865
2j7h,-1.1140,0.4053,0.7365,-1.224,-1.2229,-1.6389,-1.214,0.5796,-1.2618,-0.4497,1.1816,-1.8685
2p15,1.8304,1.6261,3.8465,0.8739,0.5949,1.9311,2.7489,-0.6192,0.945,-0.6642,-0.7529,0.8752
2pog,0.0483,1.5657,3.0865,-0.193,-0.3269,1.1312,0.8987,-0.5529,0.408,-1.4687,-0.3477,-1.3464
2qbq,0.7743,1.6467,0.9865,0.2455,0.1984,0.9991,1.5605,-0.2813,-0.2141,0.462,-0.3146,-0.2078
2qe4,0.0242,1.3689,1.5065,-0.0728,-0.1119,1.1763,0.8987,-0.5264,0.3931,-1.2273,-0.8314,-1.2765
2qnq,0.3290,0.8783,-0.3435,1.4689,1.2277,1.2157,0.3276,-0.5933,2.7996,0.328,-0.0263,1.2965
