%Gaussian process regression with a Gaussian likelihood
%model: gpr, kernel: sum
%Optimization success: True in 22 iterations, b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH'
%.kernel.kernels[0].variance: 1.5741558752847657
%.kernel.kernels[0].lengthscales: 1.339882942824264
%.kernel.kernels[1].variance: 0.03068973887062306
%.likelihood.variance: 0.9492974458627557
%loglikelihood: -6594.480444843923
%RMSE:1.522
%Pearson_correlation_coefficient:0.750,P-value:0.000
%Spearman_correlation_coefficient:0.752,P-value:0.000
%%%%%%PREDICTIONS%%%%%
name,f_pred_mean,f_pred_var,y_true,BalabanJ,BertzCT,HallKierAlpha,MaxAbsEStateIndex,MaxAbsPartialCharge,MolLogP,NOCount,PEOE_VSA1,PEOE_VSA3,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,SMR_VSA7,as_flex_all,cc_A.HD_4,cc_N.N_4,lig_OA,vina_gauss2,vina_hydrogen,vina_repulsion
1pz5,0.3078,1.6244,-1.0535,-0.0781,3.1383,-3.2676,1.4927,0.9932,-1.9879,3.5335,3.5169,-0.2381,-0.172,1.2082,3.479,0.4284,2.3928,2.8852,1.4351,1.9675,2.0405,-0.188,1.2199
1q7a,0.1519,0.6321,0.7365,-0.415,-0.1916,-0.3663,0.6228,0.5344,0.9396,-0.6265,-0.9796,0.344,0.6168,0.6477,-0.6884,0.438,-1.1737,-0.6375,-0.7232,-0.434,-0.4483,-1.2289,-0.6717
1q8t,-0.4504,0.7036,-1.6935,-0.0746,-0.5788,0.6888,0.4051,-1.1308,0.3121,-0.8454,-0.6166,-0.8144,-0.9016,0.7264,1.0135,-0.4982,-1.1201,-0.6375,-0.0038,-0.9677,-0.363,-1.0015,-0.5014
1rdi,-1.0934,0.4007,-4.3935,0.4658,-1.1983,1.6081,-1.8861,-0.777,-0.6111,-0.6265,0.2292,-0.8144,-0.9016,-0.9148,-0.7456,-1.2618,-1.2273,-0.6375,-0.7232,0.0996,-1.6242,1.1369,-0.182
1rdj,-1.4714,0.3947,-4.7935,0.4337,-1.2766,1.6081,-1.9292,-0.777,-0.8126,-0.6265,0.252,-0.8144,-0.9016,-0.9148,-1.0848,-1.2618,-1.2273,-0.6375,-0.7232,0.0996,-1.644,0.9574,-0.2877
1rdl,-1.7943,0.6358,-4.2135,0.4478,-1.2721,1.578,-1.9119,-0.712,-1.1292,-0.4075,0.5656,-0.8144,-0.9016,-1.214,-1.2831,-1.2618,-1.3346,-0.6375,-0.7232,0.3665,-1.6012,0.9806,-0.1231
1re8,1.7899,0.8527,3.0665,-0.7185,0.6968,-1.3836,0.6472,0.5344,0.4826,0.0304,0.2763,-0.26,0.0712,1.1755,-0.1752,1.7002,1.3469,-0.4026,-0.0038,0.3665,1.4416,0.5143,-0.089
1rnt,-1.5283,0.6319,-1.2635,-0.4172,-0.2728,0.0181,-0.0224,1.236,-0.6584,1.1251,-0.0241,0.285,-0.9016,-1.214,-1.2831,-0.7412,0.3011,0.7716,-0.7232,0.9002,-0.5375,1.0597,0.6716
1s39,-2.2106,0.7167,1.2465,-0.0618,-0.9942,0.3722,-0.2648,-0.9765,0.019,-0.8454,-0.9421,-0.2381,-0.4152,-0.6862,-1.2831,-0.1827,-0.4497,-0.6375,-0.7232,-0.9677,-1.1721,0.3887,-0.5833
1sl3,1.8090,1.3183,5.3965,-0.8556,0.5592,-1.3836,1.3304,1.7371,0.3807,0.9062,-0.3217,0.3033,0.0323,0.54,-0.1452,1.6106,1.4274,-0.4026,-0.0038,-0.7009,1.2735,-0.198,-0.0289
1slg,-0.7299,1.6528,-2.5535,-0.188,2.3798,-3.1093,1.4465,0.9683,-2.4523,3.3146,3.2308,-0.2381,0.3144,0.1632,1.5048,0.4243,-0.1011,4.5291,0.7156,1.9675,1.1519,0.0934,-0.3628
1sqa,1.2236,1.3925,2.7565,-0.6656,0.5274,-1.4816,0.6411,-1.1452,0.1196,0.0304,-0.2906,0.3383,-0.172,0.8685,0.6564,1.5344,-0.1279,-0.1678,2.8739,-0.9677,0.0172,-1.1612,-0.4414
1sv3,-1.6894,0.3098,-2.1035,0.2239,-1.2607,0.6209,-0.7659,0.9359,-0.1186,-1.0644,-0.3946,-0.8144,-0.9016,0.0846,-1.2831,-0.3325,-1.281,-0.6375,-0.7232,-0.434,-1.303,-1.1315,-0.9066
1syh,0.8868,0.7384,-0.0435,0.024,-0.6758,0.3346,-0.0092,0.9254,-1.2503,-0.1886,-0.3347,-0.26,-0.9016,-0.379,-0.3439,-0.2586,0.8375,1.0064,-0.0038,-0.1672,-0.4014,2.0672,0.3747
1tmn,-0.0296,1.3435,0.8465,-0.2905,0.8381,-0.9918,0.9775,0.9694,-0.237,0.0304,0.8794,-0.8144,1.5956,0.0716,1.4529,0.9787,-0.2083,-0.4026,0.7156,0.0996,0.1415,1.4497,0.1087
1toi,-2.1576,0.2377,-2.4035,0.3699,-1.1866,0.7716,-0.7463,0.9942,-0.023,-1.2833,-0.6854,-0.8144,0.3144,-0.4144,-0.731,-0.1436,-1.1737,-0.6375,-0.7232,-0.7009,-1.1212,0.0453,-0.7661
1toj,-2.0989,0.2317,-3.0635,0.3699,-1.1866,0.7716,-0.7463,0.9942,-0.023,-1.2833,-0.6854,-0.8144,0.3144,-0.4144,-0.731,-0.1436,-1.1201,-0.6375,-0.7232,-0.7009,-1.069,0.0598,-0.7125
1tok,-2.5025,0.3834,-3.9835,0.9736,-1.5596,0.7641,-1.1783,0.943,-1.048,-0.8454,-0.0776,-0.8144,-0.9016,-0.6854,-1.2831,-0.8835,-1.2005,-0.6375,-0.7232,-0.1672,-1.457,0.4394,-0.404
1trd,-1.8629,0.4430,-1.0535,1.0549,-1.3868,1.0731,-0.7683,1.2357,-0.2977,-0.1886,-1.2932,0.3416,-0.9016,-1.214,-1.2831,-1.2618,-0.691,-0.6375,-0.7232,0.3665,-1.4304,0.4496,0.0415
1tsy,-0.5332,0.4783,-1.4935,-0.1357,-0.5168,0.4476,-0.0843,1.2311,-0.3922,0.4683,-0.6888,0.2631,-0.9016,-1.214,-0.2548,-0.2287,-0.0743,0.5367,0.7156,0.9002,-0.5265,1.4819,0.2315
1ttm,0.5204,0.7902,0.8965,-0.3499,-0.275,0.3572,0.153,-0.3983,0.3698,-0.4075,-0.7653,-0.26,-0.6451,0.6701,0.1968,-0.0217,-1.0128,1.0064,2.1545,-0.1672,-0.7465,-0.7817,-0.3414
1tyr,-1.2036,1.9827,0.5465,1.196,-0.21,0.3798,-0.5399,0.9429,1.1782,-1.2833,-0.6854,-0.8144,1.3165,1.5064,0.1046,0.57,-0.8519,-0.6375,-0.7232,-0.7009,-1.2971,-1.276,15.3253
1u1b,0.0335,1.3266,1.3465,-0.977,1.9049,-1.1274,0.4073,1.2575,0.0631,4.1904,-0.0469,4.6269,-0.9016,-0.9148,-0.0797,0.1504,0.2207,-0.1678,0.7156,4.1023,0.8462,0.5044,-0.3106
1u2y,-2.3385,0.7733,-4.7135,0.5212,-1.197,1.0882,-1.8282,-0.54,-1.1162,-0.1886,0.607,-0.8144,-0.6941,-1.214,-1.2831,-1.2618,-1.4419,-0.6375,-0.7232,0.0996,-1.2398,-0.9477,-0.9472
1u33,-0.8378,1.3495,-1.8535,-0.3102,0.2531,0.7867,-1.331,-0.54,-2.2554,2.0009,3.629,-0.8144,-0.6941,-1.214,-0.9438,-1.2618,1.052,2.1807,0.7156,2.7681,0.958,1.6727,1.4853
1utp,-2.5945,0.3085,-5.0135,0.4216,-1.0187,1.1409,-1.8802,-1.1043,0.2488,-1.5023,-0.9425,-0.8144,0.3144,-0.136,-0.8866,-0.1436,-1.3078,-0.6375,-0.7232,-1.2346,-1.3623,-0.7839,-0.5813
1uwt,-2.2310,0.4576,-0.4835,0.5212,-1.197,1.0882,-1.8282,-0.54,-1.1162,-0.1886,0.607,-0.8144,-0.6941,-1.214,-1.2831,-1.2618,0.033,3.1201,-0.7232,0.0996,-0.7969,1.1214,0.1912
1v2o,-1.8119,0.3006,-1.7235,-0.1029,0.3213,-0.6828,0.4436,0.0933,-0.5563,0.2493,-0.6765,1.2587,0.2951,0.3838,-0.6455,0.7708,-0.5301,-0.6375,0.7156,0.0996,-0.5976,-0.7961,-0.2812
1v48,-0.3546,0.9843,1.3465,-0.1827,-0.3549,0.0331,0.6374,0.2963,0.3313,0.2493,-0.6617,-0.2381,-0.9016,-0.6573,-0.134,-0.7412,0.2743,-0.6375,-0.7232,-0.1672,-0.0874,0.7181,0.1336
1vfn,-1.3971,0.6035,-0.8535,-0.0835,-1.1655,0.5154,-0.4924,-1.3101,-0.2457,-0.6265,-0.6822,0.3383,-0.9016,-1.214,-1.2831,-0.5442,-0.8251,-0.4026,0.7156,-0.9677,-1.3172,-0.4391,-0.4937
1vzq,0.5938,1.1798,0.9865,-0.9175,0.6058,-0.826,1.0148,-0.058,-0.8287,0.2493,-0.0977,-0.8144,-0.172,0.0846,-0.4433,0.5819,1.1592,-0.6375,-0.7232,0.0996,0.9485,-0.6888,0.5305
1x1z,-2.0065,0.5025,4.6065,-0.0741,-0.4763,0.2667,-0.0023,1.2311,-0.8,0.9062,-0.0616,0.7913,-0.9016,-1.214,-1.2831,-0.4216,0.6497,-0.6375,-0.7232,1.4339,0.255,1.9481,1.2462
1xgj,-0.7150,0.7369,-0.4535,-0.2122,-0.5808,-0.1929,0.0949,0.9359,-0.4505,0.0304,0.236,0.159,-0.6584,-0.1884,-1.0149,-0.0126,-0.3424,0.7716,-0.7232,0.6333,-0.6246,0.4582,0.3528
1y1m,-0.9648,0.3974,-4.6335,0.521,-1.3146,1.3293,-0.5162,0.9235,-0.6633,-1.0644,-0.3347,-0.8144,-0.9016,-0.6573,-0.14,-1.2618,-0.7447,1.0064,-0.0038,-0.7009,-1.3943,0.562,-0.4411
1y6q,2.8469,0.2302,5.2465,-0.4421,-0.3795,0.7716,-1.5048,-0.787,-0.359,-0.4075,-0.0226,0.3383,-0.9016,-0.9439,-0.0299,-0.698,-0.1279,0.0671,1.4351,-0.9677,-0.0804,-0.2732,-0.5884
1ydt,0.8915,0.7015,0.8665,-0.5891,0.2757,0.2065,0.4989,-1.229,0.6497,-0.6265,-0.9677,0.7043,0.956,0.3489,0.1791,1.1379,0.1134,-0.4026,-0.0038,-0.7009,0.5575,-0.9619,-0.2227
1zc9,-1.1416,0.7814,-3.2335,0.6694,-0.814,0.6812,-0.7007,1.2338,-0.0371,-0.1886,-0.6289,-0.2913,-0.9016,-0.9148,-0.5191,-0.5431,0.0598,-0.4026,-0.0038,0.0996,-0.6892,-0.3037,0.7273
1zoe,0.2028,0.4752,0.9465,-0.1969,-0.9669,2.0678,-1.8148,-1.2028,1.3048,-1.0644,-0.6869,-0.2381,-0.9016,1.569,0.2172,-0.7026,-1.0664,-0.6375,-0.7232,-1.2346,-0.6317,-1.276,-0.6633
1zs0,-0.0185,1.1867,-0.3035,-0.0601,0.0788,0.1386,0.4032,0.4124,0.9961,-0.1886,-1.0024,1.7427,0.6228,0.585,-0.8205,0.2491,0.5425,-0.6375,-0.7232,0.3665,0.3656,-0.5112,0.5023
1zvx,-0.0339,1.1609,2.7665,-0.0601,0.0788,0.1386,0.4032,0.4124,0.9961,-0.1886,-1.0024,1.7427,0.6228,0.585,-0.8205,0.2491,0.6766,-0.6375,-0.7232,0.3665,0.3738,-0.2552,0.4224
2aou,0.6007,0.7847,1.2765,-0.359,0.0606,0.0256,-1.5325,0.5287,1.0224,-0.8454,-0.3533,-0.8144,-0.4347,1.2318,0.7293,0.5841,0.0598,-0.1678,-0.7232,-0.9677,0.0526,-1.1591,-0.2142
2ayr,2.3574,1.1336,2.8365,-0.8795,1.1983,-0.9164,0.1947,0.5342,1.3593,-0.4075,-0.0977,0.159,-0.172,2.7383,0.1376,1.1934,0.0866,-0.6375,-0.7232,0.0996,1.1954,-0.1878,0.0976
2b1v,-0.5993,0.4926,-0.7135,-0.2834,-0.5026,0.7641,-1.3945,0.5344,0.7255,-1.0644,-0.3752,-0.8144,0.0527,0.4127,-0.2093,0.0309,-1.4955,-0.1678,-0.7232,-0.434,-0.3892,-0.6908,-0.8655
2b7d,-0.0757,1.3885,2.2465,-0.4684,0.9154,-2.4537,0.1093,0.9939,-0.7793,1.1251,1.5322,0.3163,-0.6584,1.3976,0.6244,0.7708,0.9715,-0.6375,-0.0038,0.6333,0.5968,0.0597,1.4701
2baj,0.3651,0.9331,1.9465,-0.4166,-0.0325,-0.1251,0.4154,-1.4657,1.749,-0.6265,-0.9673,0.2814,1.8324,-0.1584,-0.136,0.9299,-0.0475,-0.6375,-0.7232,-0.9677,0.3602,-0.4095,-0.5883
2bak,1.5819,1.0481,0.9765,-1.0217,1.5439,-1.6172,0.7753,0.369,0.859,0.6872,0.8322,0.9146,-0.6584,0.6477,2.0853,0.798,0.3011,-0.1678,0.7156,-0.1672,1.3596,-0.8279,-0.3953
2bok,0.9780,0.9080,0.0965,-0.5634,0.4303,0.0633,1.0172,-1.2039,-0.7682,-0.1886,-0.7177,-0.8144,-0.4152,-0.6862,0.7486,-0.1586,0.6766,-0.6375,-0.7232,-0.7009,0.3754,-0.8207,-0.2139
2brb,-1.2661,1.0949,-1.5935,-0.5792,-0.0044,-0.6376,-1.6597,-0.2405,1.0836,-0.6265,-0.3825,0.3383,1.5304,-0.971,-0.4335,0.8239,-0.7178,-0.6375,-0.0038,-0.9677,-0.1793,-1.276,-0.9269
2brm,-0.8906,1.0298,-0.5635,-0.5407,0.0454,-0.6376,-1.5306,-0.7014,1.002,-0.6265,-0.3481,0.3383,1.5304,-0.7281,-0.7017,0.8239,-0.7178,-0.1678,0.7156,-0.9677,-0.1474,-1.0696,-0.8598
2bz6,0.9459,1.2582,0.6365,-0.4103,0.1753,-0.7506,1.7391,0.9653,-0.2108,0.0304,0.5129,-0.3067,-0.9016,0.4048,0.1882,0.401,1.5078,-0.6375,-0.0038,0.0996,0.5595,-1.1062,-0.2223
2bzz,-0.6052,1.7336,-0.0235,-1.2864,1.8861,-0.9767,0.1581,1.3602,-0.1794,5.2851,1.245,7.9227,-0.9016,-1.214,-1.2831,-0.4737,2.4196,-0.6375,1.4351,4.636,1.7001,-0.0199,1.8331
2c02,-1.9298,0.4561,-2.4135,-0.5488,-0.1291,0.1612,-0.2803,1.3418,-0.2696,1.563,-0.0241,1.9704,-0.9016,-1.214,-1.2831,-0.8678,-0.691,-0.6375,-0.0038,1.4339,-0.3694,-0.1322,-0.6472
2ceq,-0.2772,0.2020,0.8265,-0.0451,-1.0165,1.0429,-1.704,-0.7061,-0.6958,-0.4075,0.2416,-0.2381,-0.9016,-1.214,-0.6879,-0.6939,0.2207,1.2413,-0.7232,-0.1672,-0.6656,1.4602,0.6275
2cer,1.6894,0.9859,2.7665,-0.4179,-0.3332,0.4551,-1.5346,-0.7061,-0.1458,-0.4075,0.2416,-0.2381,0.3144,-0.4144,-0.7212,0.4094,0.5425,1.711,-0.7232,-0.1672,0.1345,1.6209,0.4341
2cet,1.6221,0.9728,1.5665,-0.4179,-0.3332,0.4551,-1.5346,-0.7061,-0.1458,-0.4075,0.2416,-0.2381,0.3144,-0.4144,-0.7212,0.4094,0.5425,1.711,-0.7232,-0.1672,0.0354,1.6366,0.4699
2cgr,0.5661,1.4962,0.8265,-0.2914,0.1376,-1.3384,-0.285,0.9563,0.0284,-0.4075,-0.6854,-0.2004,1.5304,0.3276,-1.2831,1.904,0.4352,1.2413,0.7156,-0.7009,-0.0725,-0.181,-0.518
2ctc,-1.8380,0.2823,-2.5635,0.3889,-1.165,0.7415,-0.6744,0.9631,-0.3401,-1.0644,-0.3718,-0.8144,0.3144,-0.971,-0.8437,-0.1436,-1.0128,-0.6375,-0.7232,-0.434,-0.9657,0.506,-0.1038
2d0k,-0.3537,1.2567,-1.4335,-0.639,0.2332,-1.67,0.2762,0.9943,-0.973,1.1251,0.9254,0.3383,-0.9016,0.3983,-0.1886,0.3621,-0.1547,0.0671,-0.7232,0.3665,-0.0202,-0.112,-0.7001
2d1o,1.5220,1.1958,1.2465,0.8187,0.7374,-0.2382,0.5848,-1.1043,-0.1627,0.2493,-0.6166,-0.1815,1.3537,0.942,0.61,-0.1586,0.0866,0.3019,-0.0038,-0.434,0.6458,1.1225,0.3034
2d3u,-0.3213,0.4233,0.4665,-0.4959,0.0129,-0.615,0.4097,0.9254,0.7135,-0.4075,-0.6854,0.159,0.3144,0.6268,-0.8497,0.9382,-0.3156,-0.6375,-0.7232,-0.1672,-0.1676,-0.4605,-0.7043
2d3z,-0.0822,0.6096,0.1865,-0.5403,-0.1089,-0.2834,0.609,0.9254,0.7959,-0.6265,-0.6854,0.6667,0.2951,0.6477,-0.8497,0.9461,-0.5033,-0.6375,-0.7232,-0.1672,-0.214,-0.2171,-0.4264
2drc,-0.2837,0.8404,3.4365,-0.5488,0.2714,-1.67,0.3451,0.9943,-0.8765,1.1251,1.2513,0.3383,-0.9016,0.3983,0.3459,0.0385,-0.5033,0.5367,1.4351,0.0996,-0.0375,0.5597,-0.2978
2er9,1.1293,1.5897,0.9465,-0.3966,3.2866,-2.9963,1.6556,-0.1644,0.2677,2.6578,2.2039,0.8927,1.4175,1.5549,3.8051,0.9923,1.4542,-0.1678,-0.0038,1.167,2.3991,1.1535,0.6684
2f01,1.8832,0.1947,6.5465,-0.2302,-0.8944,1.0731,-0.1887,0.9943,-0.3025,-0.6265,-0.0335,-0.26,-0.6451,-0.379,0.2585,-1.2618,-0.2352,-0.4026,-0.0038,-0.434,-0.4089,0.5644,-0.2264
2f80,3.0150,0.0739,1.7265,-0.5478,1.0178,-0.2758,1.0983,-0.1704,0.5951,0.4683,0.5698,0.7134,0.866,0.8987,0.6747,0.6119,0.7034,-0.6375,-0.0038,0.6333,1.3327,0.6257,0.5366
2fai,-1.0355,0.4894,-0.2135,-0.1941,-0.4066,0.7641,-1.2975,0.5344,0.8013,-1.0644,-0.3752,-0.8144,0.3285,0.3918,-0.0771,0.0309,-1.5223,-0.6375,-0.7232,-0.434,-0.3496,-0.9627,-0.9473
2fdp,1.7321,1.3949,1.1365,-0.21,1.3567,-1.2857,1.0884,-1.1497,1.3127,-0.1886,0.0102,-0.3067,1.385,1.7113,2.1989,1.897,0.8375,-0.4026,-0.7232,-0.434,1.3288,1.5664,0.1906
2flb,-0.2151,1.0972,-0.7135,-0.7294,-0.042,-0.9616,-1.6518,0.4878,0.1067,-0.1886,-0.6741,-0.2381,0.3144,-0.4223,-1.0149,0.423,0.1403,-0.1678,0.7156,-0.9677,-0.1624,-0.4457,1.5605
2fzc,-0.6794,1.4693,-3.7535,2.0259,-0.8361,0.5079,-0.3598,-0.3181,-0.3441,0.4683,-0.6413,2.353,-0.9016,-1.214,-0.6567,-1.2618,-0.6642,-0.6375,-0.0038,0.9002,-0.7618,0.753,0.386
2g5u,0.1450,0.9755,2.0365,-0.1361,-1.0185,1.156,-1.8512,0.5002,1.5203,-1.2833,-0.666,-0.8144,0.9661,0.3276,-1.2831,0.1216,-1.7636,-0.6375,-0.7232,-0.7009,-0.6419,-1.276,-1.186
2g8r,-1.3947,1.2926,-2.4635,-0.268,-0.1343,0.2441,0.2014,0.9909,-1.6154,0.4683,0.5329,-0.26,-0.9016,-1.214,0.8225,-0.2287,-0.0743,-0.6375,-0.7232,0.6333,-0.6984,-0.5974,-0.1295
2g94,1.0995,1.5433,3.0665,1.5238,1.5943,-0.6526,1.1624,-0.3563,0.3032,1.3441,0.615,1.2548,1.0289,0.9773,2.6621,-0.717,2.1782,-0.4026,-0.7232,0.9002,1.8212,1.5872,0.7694
2gss,-1.1485,0.5215,-1.5135,0.3896,-0.8261,0.6134,0.1049,0.9536,0.563,-0.8454,-0.3946,-0.8144,0.5709,-0.1645,-0.6845,-0.0179,-1.0128,-0.6375,-0.7232,-0.1672,-1.0226,-1.1124,-1.041
2hdq,-2.6829,0.2729,-5.0535,0.0644,-1.436,1.1334,-0.9621,0.9263,-0.1023,-1.2833,-0.6854,-0.8144,-0.6584,-0.7162,-1.048,-0.5642,-1.0933,-0.6375,-0.7232,-0.7009,-1.602,-0.7689,-0.5659
2i0d,3.9913,0.3392,5.6465,-0.5331,1.5969,-1.4514,1.1754,0.4124,0.9904,0.6872,-0.0721,0.7134,1.3524,1.4474,0.9429,1.5412,0.9983,-0.6375,-0.7232,0.9002,1.695,0.0638,0.1696
2j77,-0.7449,0.1734,-1.5635,0.6124,-1.2037,1.6081,-1.8448,-0.75,-1.367,-0.6265,0.2868,-0.8144,-0.9016,-1.214,-1.2831,-1.2618,-0.1279,2.4155,-0.7232,-0.1672,-1.0918,1.4158,0.1824
2j78,-1.0393,0.3653,-0.0335,0.5212,-1.197,1.0882,-1.8282,-0.54,-1.1162,-0.1886,0.607,-0.8144,-0.6941,-1.214,-1.2831,-1.2618,0.1671,2.6504,-0.7232,0.0996,-0.7641,1.9372,0.76
2qwb,-1.7327,0.4119,-3.7135,0.9317,-0.7588,0.7792,0.0019,0.931,-1.7408,0.4683,1.4994,-0.8144,-0.9016,-1.214,-0.3152,-1.2618,-0.3424,-0.6375,-0.7232,1.167,-0.4501,0.9882,0.1009
2qwd,-2.0516,0.3342,-1.6035,0.9206,-0.7254,0.4928,0.0007,0.9003,-1.724,0.2493,1.2228,-0.8144,-0.9016,-1.214,-0.4628,-0.8926,0.0062,-0.6375,-0.7232,0.6333,-0.4574,1.1447,0.7447
2qwe,-0.3929,0.4150,1.0265,1.0376,-0.5432,-0.0272,0.1117,0.9003,-2.2103,0.6872,0.8722,-0.8144,-0.9016,-0.9497,-0.7545,-0.8926,0.5157,-0.6375,-0.0038,0.6333,-0.0538,1.8355,0.9957
2rkm,-0.8073,1.1628,-2.5535,3.135,-0.5096,0.8696,0.398,0.9695,-1.4751,-0.1886,0.6926,-0.8144,-0.9016,0.1777,-0.1829,-1.2618,0.2207,3.1201,-0.0038,-0.434,-0.1517,0.8551,0.4312
2std,1.5341,0.4828,3.3965,-0.0827,-0.5807,1.4273,0.5373,-1.1977,1.3228,-1.2833,-0.9673,-0.8144,0.6033,0.1344,0.0361,-0.1755,-1.1469,-0.6375,-0.7232,-0.9677,-0.2077,-1.053,-0.9197
2usn,0.2227,1.4497,0.0565,-0.6122,-0.0366,-0.4341,0.3636,-0.1551,1.0412,-0.1886,-0.3505,-0.26,1.9867,-0.7281,-1.1509,0.9746,-0.4229,1.2413,-0.7232,-0.434,-0.3581,0.016,-0.0732
3gss,-1.3291,1.3019,-0.6335,0.9307,0.4548,-0.5547,0.7567,0.973,-1.1979,1.1251,1.8235,-0.8144,0.308,-0.4079,1.3588,-0.3962,2.2587,-0.6375,1.4351,1.4339,0.5531,0.9881,1.0758
3pce,-2.3945,0.3654,-4.4535,0.3661,-1.2254,0.6209,-0.7661,0.9903,-0.2339,-1.0644,-0.3718,-0.8144,-0.4152,-0.4432,-0.5559,-0.3325,-0.691,0.7716,-0.7232,-0.434,-1.1085,-0.5903,0.6978
3pch,-1.9952,0.5100,-1.0535,0.307,-1.3356,0.8395,-0.8106,0.9359,-0.0107,-1.0644,-0.3718,-0.8144,-0.4347,-0.1793,-1.2831,-0.3643,-0.8787,0.7716,-0.7232,-0.434,-1.0456,0.0091,0.6882
3pcj,-1.0320,0.4274,0.7665,0.3628,-1.257,0.4175,-0.5753,0.9359,-0.6146,-0.6265,-0.3656,-0.8144,-0.9016,-0.9501,-0.426,-0.1936,-0.8787,0.5367,-0.0038,-0.1672,-1.0074,0.3117,0.5341
3std,0.8552,1.3153,4.6565,-0.6288,0.2485,-1.037,-1.1321,-0.8375,1.4455,-0.8454,-0.9673,-0.8144,2.26,-0.1858,-0.0957,1.9081,-0.4765,-0.4026,0.7156,-1.2346,0.6668,-1.276,-0.846
4er2,2.1479,0.8995,2.8465,5.2552,1.6844,-0.6979,1.3744,0.9932,-0.0959,1.3441,1.5716,-0.8144,1.8562,0.929,2.7909,-1.2618,0.6229,-0.6375,-0.0038,1.167,1.2211,0.9513,-0.1109
4fiv,1.7817,0.8742,0.0665,-0.4809,2.9702,-2.627,1.4763,-0.746,0.9633,1.1251,1.0013,-0.8144,3.8821,1.2844,1.644,1.7301,1.8833,-0.6375,-0.7232,0.6333,2.4414,1.7316,1.7139
4tln,-0.5966,1.2891,-2.7335,2.4856,-1.2462,1.2992,-0.2046,-1.2166,-0.3991,-0.8454,-0.9425,-0.1815,-0.35,-0.9566,-0.3811,-1.2618,-1.2273,0.3019,0.7156,-0.7009,-1.482,0.1984,0.2792
5abp,-0.9456,0.4553,0.1865,0.4478,-1.2721,1.578,-1.9119,-0.712,-1.1292,-0.4075,0.5656,-0.8144,-0.9016,-1.214,-1.2831,-1.2618,-0.7983,-0.6375,-0.7232,0.3665,-0.9019,0.7964,-0.1488
5er1,-0.0075,1.4147,-0.4335,1.6225,1.0283,-0.1176,1.2966,0.0933,-0.1295,0.2493,0.6393,-0.26,2.2256,-0.4562,1.3996,-0.1436,-0.3156,-0.1678,-0.7232,0.0996,0.4089,0.1354,-0.264
6fiv,0.8713,0.5877,1.6265,-0.009,0.4965,-0.7958,0.8717,-0.1552,0.5294,0.0304,0.289,-0.26,2.082,0.107,-0.4901,0.9746,-0.3692,-0.6375,-0.7232,0.0996,0.2216,0.3966,-0.0407
6rnt,-2.0620,0.3886,-4.0835,-0.4392,-0.3818,0.1688,-0.4181,1.236,-0.4407,0.9062,-0.0241,1.4377,-0.9016,-1.214,-1.2831,-0.8678,-0.1547,-0.6375,0.7156,0.6333,-0.771,0.637,0.3817
6std,1.2158,1.0349,2.1865,-0.1185,-0.5701,1.6835,0.4788,-1.2065,0.9623,-1.0644,-0.9673,-0.8144,1.4356,-0.144,0.6962,-0.1927,-0.5838,-0.4026,-0.7232,-0.7009,-0.0586,-1.0393,-0.8233
8abp,-0.9340,0.2959,1.5465,0.4478,-1.2721,1.578,-1.9119,-0.712,-1.1292,-0.4075,0.5656,-0.8144,-0.9016,-1.214,-1.2831,-1.2618,-0.6642,0.0671,-0.7232,0.3665,-0.9083,0.8671,-0.1191
1f8b,-2.2246,0.2092,-1.0535,0.8026,-0.7984,0.4928,-0.0561,0.9004,-1.4928,0.2493,1.1858,-0.8144,-0.9016,-0.9497,-0.7545,-0.8926,0.2475,-0.6375,-0.7232,0.9002,-0.4251,0.6608,0.5256
1f8c,-1.9020,0.2774,0.9465,0.9206,-0.7254,0.4928,0.0007,0.9003,-1.724,0.2493,1.2228,-0.8144,-0.9016,-1.214,-0.4628,-0.8926,0.1671,-0.6375,-0.7232,0.6333,-0.462,1.1558,0.5822
1f8d,-2.0504,0.2497,-3.0535,0.8483,-0.7254,0.4928,-0.0294,0.9004,-1.724,0.2493,1.2228,-0.8144,-0.9016,-0.9497,-0.7545,-0.8926,0.1403,-0.6375,-0.7232,0.6333,-0.3731,0.7341,0.4283
1hnn,-0.6029,0.5080,-0.2135,-0.0048,-0.8064,1.0731,-0.1708,-1.2291,-0.4592,-0.8454,-0.9677,0.7517,-0.6584,-0.4432,-0.5755,-0.3474,-0.6106,0.3019,0.7156,-0.7009,-0.8217,-0.9673,-0.3142
1igj,-0.0564,1.4706,3.5465,-0.7831,1.0154,0.9827,0.2128,-0.0102,0.62,0.0304,0.8336,-0.26,-0.35,2.8215,1.6254,-0.8985,-1.0933,0.5367,-0.7232,0.9002,-0.0707,-1.246,-1.044
1lbk,-1.0140,1.0101,-3.2735,2.585,-0.8019,0.3949,0.0945,0.973,-1.8597,0.2493,0.925,-0.8144,-0.9016,-1.214,0.0028,-1.2618,0.5157,-0.6375,1.4351,0.3665,-0.654,1.0026,0.5054
