%Gaussian process regression with a Gaussian likelihood
%model: gpr, kernel: sum
Optimization success: True in 50 iterations, b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH'
%.kernel.kernels[0].variance: 1.6508567456571912
%.kernel.kernels[0].lengthscales: [0.36147224 0.30537304 0.64910271 1.00913709 0.30139496 0.55126363 1.86076357 0.7238796  0.27640168 0.52172518]
%.kernel.kernels[1].variance: 0.08517059040920728
%.likelihood.variance: 0.9380203235728295
%loglikelihood: -6787.177963391054
%RMSE:1.641
%Pearson_correlation_coefficient:0.696,P-value:0.000
%Spearman_correlation_coefficient:0.696,P-value:0.000
%%%%%%PREDICTIONS%%%%%
name,f_pred_mean,f_pred_var,y_true,vina_gauss2,BertzCT,MolLogP,PEOE_VSA7,BalabanJ,SMR_VSA7,as_flex_all,vina_hydrogen,MaxAbsEStateIndex,HallKierAlpha
2j77,-0.7621,0.2511,-1.5635,-1.0918,-1.2037,-1.367,-1.214,0.6124,-1.2618,-0.1279,1.4158,-1.8448,1.6081
2j78,-0.7523,0.6167,-0.0335,-0.7641,-1.197,-1.1162,-1.214,0.5212,-1.2618,0.1671,1.9372,-1.8282,1.0882
2qwb,-1.7706,0.9052,-3.7135,-0.4501,-0.7588,-1.7408,-1.214,0.9317,-1.2618,-0.3424,0.9882,0.0019,0.7792
2qwd,-2.0589,0.4932,-1.6035,-0.4574,-0.7254,-1.724,-1.214,0.9206,-0.8926,0.0062,1.1447,0.0007,0.4928
2qwe,-0.6423,0.5353,1.0265,-0.0538,-0.5432,-2.2103,-0.9497,1.0376,-0.8926,0.5157,1.8355,0.1117,-0.0272
2rkm,-0.6795,1.5720,-2.5535,-0.1517,-0.5096,-1.4751,0.1777,3.135,-1.2618,0.2207,0.8551,0.398,0.8696
2std,2.7756,0.6518,3.3965,-0.2077,-0.5807,1.3228,0.1344,-0.0827,-0.1755,-1.1469,-1.053,0.5373,1.4273
2usn,0.2404,1.1319,0.0565,-0.3581,-0.0366,1.0412,-0.7281,-0.6122,0.9746,-0.4229,0.016,0.3636,-0.4341
3gss,-0.6582,1.5924,-0.6335,0.5531,0.4548,-1.1979,-0.4079,0.9307,-0.3962,2.2587,0.9881,0.7567,-0.5547
3pce,-2.0552,0.2370,-4.4535,-1.1085,-1.2254,-0.2339,-0.4432,0.3661,-0.3325,-0.691,-0.5903,-0.7661,0.6209
3pch,-1.0780,0.4247,-1.0535,-1.0456,-1.3356,-0.0107,-0.1793,0.307,-0.3643,-0.8787,0.0091,-0.8106,0.8395
3pcj,-1.0404,0.3742,0.7665,-1.0074,-1.257,-0.6146,-0.9501,0.3628,-0.1936,-0.8787,0.3117,-0.5753,0.4175
3std,0.7271,1.6240,4.6565,0.6668,0.2485,1.4455,-0.1858,-0.6288,1.9081,-0.4765,-1.276,-1.1321,-1.037
4er2,1.9280,0.9576,2.8465,1.2211,1.6844,-0.0959,0.929,5.2552,-1.2618,0.6229,0.9513,1.3744,-0.6979
4fiv,1.8545,0.9228,0.0665,2.4414,2.9702,0.9633,1.2844,-0.4809,1.7301,1.8833,1.7316,1.4763,-2.627
4tln,-1.4969,1.3185,-2.7335,-1.482,-1.2462,-0.3991,-0.9566,2.4856,-1.2618,-1.2273,0.1984,-0.2046,1.2992
5abp,-2.6897,0.6122,0.1865,-0.9019,-1.2721,-1.1292,-1.214,0.4478,-1.2618,-0.7983,0.7964,-1.9119,1.578
5er1,-0.1295,1.6660,-0.4335,0.4089,1.0283,-0.1295,-0.4562,1.6225,-0.1436,-0.3156,0.1354,1.2966,-0.1176
6fiv,0.9683,0.6809,1.6265,0.2216,0.4965,0.5294,0.107,-0.009,0.9746,-0.3692,0.3966,0.8717,-0.7958
6rnt,-1.9934,0.5869,-4.0835,-0.771,-0.3818,-0.4407,-1.214,-0.4392,-0.8678,-0.1547,0.637,-0.4181,0.1688
6std,2.1481,1.1703,2.1865,-0.0586,-0.5701,0.9623,-0.144,-0.1185,-0.1927,-0.5838,-1.0393,0.4788,1.6835
8abp,-2.5170,0.5862,1.5465,-0.9083,-1.2721,-1.1292,-1.214,0.4478,-1.2618,-0.6642,0.8671,-1.9119,1.578
1f8b,-2.4852,0.3135,-1.0535,-0.4251,-0.7984,-1.4928,-0.9497,0.8026,-0.8926,0.2475,0.6608,-0.0561,0.4928
1f8c,-2.0195,0.4834,0.9465,-0.462,-0.7254,-1.724,-1.214,0.9206,-0.8926,0.1671,1.1558,0.0007,0.4928
1f8d,-2.2804,0.4439,-3.0535,-0.3731,-0.7254,-1.724,-0.9497,0.8483,-0.8926,0.1403,0.7341,-0.0294,0.4928
1hnn,0.3252,0.9042,-0.2135,-0.8217,-0.8064,-0.4592,-0.4432,-0.0048,-0.3474,-0.6106,-0.9673,-0.1708,1.0731
1igj,0.3888,1.6781,3.5465,-0.0707,1.0154,0.62,2.8215,-0.7831,-0.8985,-1.0933,-1.246,0.2128,0.9827
1lbk,-1.8634,0.6389,-3.2735,-0.654,-0.8019,-1.8597,-1.214,2.585,-1.2618,0.5157,1.0026,0.0945,0.3949
1lor,-1.7277,0.4473,4.6065,0.257,-0.4763,-0.8,-1.214,-0.0741,-0.4216,0.6497,1.9093,-0.0023,0.2667
1n1m,0.5278,0.8593,-0.7535,-1.0625,-1.0315,-0.1751,-0.6573,0.6043,-1.2618,-0.7715,0.1659,0.2758,1.3293
1o5b,-0.5033,0.2903,-0.6835,-1.0228,-0.9682,0.1622,0.5643,-0.168,-0.2423,-0.7447,-1.276,-1.8267,1.2916
1oyt,0.6028,1.4232,0.7865,0.6006,0.409,-0.3852,0.0846,-0.7528,0.9526,0.5693,-1.0965,0.9162,-0.5471
1ps3,0.6523,0.9079,-4.1735,-0.5265,-1.0186,-1.4529,-1.214,-0.054,-1.2618,0.4084,1.6773,-0.0586,0.8395
1q8u,-0.4659,1.3873,-0.4935,-0.0782,-0.0562,0.1373,-0.1086,-0.2283,-0.1354,-0.8787,-1.276,0.841,0.6285
1qi0,-2.4280,0.7476,-4.1035,-0.9622,-0.6237,-1.7996,-1.214,0.0167,-1.2618,-0.4229,0.4714,-1.529,1.4273
1r5y,-1.2700,1.1975,0.0065,-1.0255,-0.9467,-0.1098,-0.4223,-0.0749,-0.3716,-0.0475,1.0991,-0.1965,0.2215
1sln,-0.2073,1.6109,0.1865,0.4659,0.7301,-0.9819,0.691,0.2526,0.8007,0.5157,0.3784,1.0599,-1.1952
1uto,-2.8525,0.2636,-4.1835,-1.436,-1.1944,0.0084,-0.971,0.3714,-0.1436,-1.1737,-0.8766,-1.989,1.1409
1w3k,-0.8640,0.6803,-2.1535,-0.237,-0.6567,-1.8615,-1.214,-0.0156,-1.2618,0.4889,2.0287,-1.5753,1.4574
1w3l,-0.3714,1.4300,-0.1735,0.6733,0.0411,-2.5318,-1.214,-0.3483,-1.2618,2.6341,2.4626,-1.3745,1.3067
1w4o,-1.7641,0.6410,-1.2335,-0.7145,-0.4945,-0.7093,-1.214,-0.0386,-0.2287,-0.557,0.6618,-0.0445,0.4175
1xd0,-0.8465,1.5287,0.6665,2.043,1.7599,-3.7373,-0.9148,-0.7398,-1.2618,1.2397,2.1895,-1.0758,1.0354
1yc1,0.4338,1.4116,-0.2835,0.519,-0.0686,0.4208,0.342,-0.6269,0.0344,0.4352,-0.6879,-0.1503,-1.0144
1z95,1.3839,1.3650,0.6665,0.7615,-0.0727,0.7505,0.9326,-0.0739,0.5899,-0.262,-0.6256,0.6203,-0.4793
1zea,-0.9629,1.7090,-1.2335,1.0454,3.1498,-3.1182,0.3918,-0.176,0.2355,1.5347,0.0405,1.45,-4.0589
2cbj,0.5416,0.3671,1.8165,-0.2476,-0.3886,-0.3936,-0.461,-0.2048,-0.3175,-0.2352,0.6598,0.0553,-0.2683
2fvd,0.6409,1.2293,2.0665,0.5896,0.1453,0.2985,-0.1295,-0.5329,0.0203,0.5693,-0.5026,1.072,-0.3964
2g70,-0.4919,0.9488,1.3165,-0.7128,-0.8608,-0.2676,-0.971,0.0031,-0.0313,-0.3156,-0.7178,-0.5594,0.6586
2hb1,-1.1534,1.0049,-2.6535,-1.0227,-1.2539,-0.444,-0.5183,0.0178,-0.8022,-0.5033,-0.3225,-0.7664,0.945
2iwx,0.1996,0.9183,0.2265,0.0422,-0.2722,1.0741,-0.1007,0.1014,-0.1898,-0.557,-0.8227,0.42,0.2441
2j62,2.3929,1.0161,4.8865,0.6544,0.0844,0.0945,-0.4144,-0.3152,0.4094,0.1671,0.7486,0.5138,0.0859
2jdm,0.3029,0.3132,-1.0535,-1.2678,-1.1983,-0.6111,-0.9148,0.4658,-1.2618,-0.5838,1.5711,-1.8861,1.6081
2jdu,0.1229,0.5110,0.2665,-1.2774,-1.1983,-0.6111,-0.9148,0.4658,-1.2618,-0.5033,1.9375,-1.8861,1.6081
2jdy,0.3429,0.4465,-2.0835,-1.248,-1.1823,-0.9277,-1.214,0.4884,-1.2618,-0.2888,1.8445,-1.8688,1.578
2obf,1.1535,1.2080,2.3965,0.2297,-0.1669,0.2087,0.6124,-0.4448,0.565,0.4352,-0.5045,0.4153,0.5531
2ole,0.6470,0.9124,0.7965,0.0406,0.2131,0.7003,0.6557,-0.3532,0.9535,-0.4229,-0.6294,1.156,-0.404
2p4y,1.2017,1.5824,2.5465,1.468,0.9707,1.6761,1.4748,-0.731,0.9468,-0.2352,-0.8862,0.4979,-1.5419
2pcp,0.5157,1.4161,2.2465,-0.3479,-0.4121,0.7613,0.1777,-0.1163,-0.1436,-0.5033,-1.0803,-1.316,1.1409
2qbp,1.2490,0.9215,1.9465,0.6878,0.716,0.5029,1.0522,-0.7446,0.9041,0.4084,-0.2402,0.6764,-0.4492
2qbr,1.2679,0.8963,-0.1235,-0.0661,-0.0871,0.5663,0.4955,-0.5474,0.9041,-0.1279,-0.3638,-0.3177,-0.3813
2qmj,-1.9067,0.5805,-2.2435,0.8412,0.9594,-3.0916,-0.407,-0.557,-0.8985,0.5157,1.4632,-1.2032,0.9902
2r23,-0.3954,1.0356,-2.7335,-0.0807,0.0842,-2.6618,-1.214,0.3298,-0.8685,-0.0206,1.1332,0.4046,0.4024
2v00,0.5610,1.0170,-2.7935,-0.7572,-0.7117,0.2137,-0.4144,-0.1992,0.5469,-0.2888,0.0622,-0.2094,0.1763
2v7a,1.4031,0.7902,1.8465,0.6496,0.7936,0.2412,0.0846,-0.9859,1.1376,-0.1279,-0.6052,0.7685,-1.0219
2vl4,-0.6588,0.2501,-0.4435,-1.0627,-1.2037,-1.3038,-1.214,0.6124,-1.2618,-0.5033,1.5241,-1.8398,1.6081
2vo5,0.3687,1.4444,-1.5635,-0.2316,-0.4411,-0.7779,-1.214,-0.2549,-0.1436,-0.0475,1.2263,-1.3956,1.0203
2vot,1.2373,1.2208,0.6865,0.0716,-0.3771,-0.1991,-0.6862,-0.4544,0.2355,0.8106,1.3416,-1.5409,0.3044
2vvn,0.5940,0.7035,0.8465,-0.4191,-0.9329,-0.5969,-0.9148,-0.2653,-1.2618,-0.3424,0.1084,-1.6796,1.5026
2vw5,0.8743,1.6521,2.0665,0.437,0.8692,1.3107,2.0269,0.7445,0.2054,0.0866,-0.2481,0.7752,-0.3813
2w66,-1.1787,0.9027,-2.4035,-0.5043,-0.8901,-1.5196,-1.214,0.936,-1.2618,-0.1279,0.8212,-0.0576,1.2087
2wbg,-0.1342,0.6513,-2.0035,-0.0413,-0.3692,-0.1927,-0.9357,-0.1338,-1.2618,1.0788,0.9824,-1.557,1.0882
2wca,0.1259,0.7339,-0.8535,-0.3913,-0.1893,-0.1532,-0.1827,-0.1413,-0.3175,-0.691,0.2389,0.3225,-0.2683
2weg,-1.0400,0.6758,0.0465,-1.2527,-1.1937,0.009,-0.6862,0.3968,-0.3245,-1.1469,-0.5937,0.3941,1.0505
2wtv,1.0162,1.3289,2.2865,0.6744,0.4153,1.26,0.6124,-0.8372,2.036,0.1403,-0.9929,1.2519,-1.3836
2x00,1.3913,1.6708,4.8765,0.7981,1.231,1.868,3.1764,-0.4297,-0.1867,-0.3961,-1.276,0.496,0.4627
2x0y,-0.6220,0.8146,-1.8535,-0.3793,-0.5691,-0.8186,-1.214,0.0167,-0.4135,-0.4765,-0.3136,0.1452,0.3044
2x8z,0.0664,0.4513,1.5065,-0.9569,-1.0426,-0.3545,-0.6573,0.5157,-1.2618,-0.5838,0.0115,0.1508,1.2238
2xb8,-0.0494,0.6539,1.1365,0.2719,-0.5519,-0.7438,-0.1649,-0.0003,-0.3325,0.462,1.2461,0.4159,0.2818
2xbv,1.1218,0.7457,1.9765,0.9874,0.6493,0.4789,0.1055,-0.6984,1.2974,1.8028,-0.8871,1.504,-1.0294
2xdl,0.7287,1.0237,-3.3535,-0.5032,-0.8434,0.4434,0.1762,0.5762,-0.5213,-0.691,-0.9416,0.2723,0.4702
2xhm,1.3135,1.6135,0.3465,1.2173,0.8421,0.6073,0.585,0.2692,0.5969,1.3469,0.936,0.9596,-1.1425
2xnb,1.2233,1.0915,0.3765,0.4139,0.1711,0.2759,0.4048,-0.7878,0.3556,-0.3424,-1.0272,0.0536,-0.2834
2xys,-0.0987,1.6476,0.9665,0.2139,0.1873,0.0072,-0.2063,-0.7977,0.0309,-0.4497,-0.9864,-0.9253,0.734
2y5h,0.8024,0.5280,-0.6635,0.3274,0.4661,0.4351,-0.6862,-0.8251,-0.3756,0.5693,-1.1716,0.9704,0.4476
2yfe,0.6597,1.5430,0.1765,-0.2332,-0.1023,0.8055,0.9694,0.134,0.9303,-1.281,-0.9834,0.0023,-0.3135
2yge,0.0124,0.6088,-1.3935,0.729,0.9818,0.6053,0.442,0.7164,0.5647,0.1403,-0.3744,0.9284,-0.9089
2yki,1.3096,1.1499,3.0065,1.3028,0.9696,1.4041,0.5496,-1.0257,1.9203,0.8106,-0.1239,0.7697,-1.8433
2ymd,-0.3079,0.9376,-3.2935,-0.8843,-0.8496,0.066,-0.1793,-0.0856,-0.3284,-0.6642,0.1362,-1.8602,0.6435
2zjw,-0.6585,1.2625,1.2465,-0.1003,-0.456,0.2677,-0.6862,-0.4595,-0.2327,-0.6642,-1.1221,-0.0015,-0.8184
2zwz,-1.4020,1.0059,1.3365,-1.0414,-1.0531,-1.4785,-0.9148,0.8306,-1.2618,-0.3961,1.3583,-1.7309,1.6081
2zx6,2.2982,0.8313,4.1465,-0.0726,-0.054,-0.6779,-0.4079,-0.4836,-0.1395,0.328,1.3209,0.4803,0.3044
2zxd,-0.8501,1.0899,-1.2335,-1.0595,-1.0717,-0.8544,-1.214,0.8196,-1.2618,-0.7447,0.4411,-1.6895,1.6383
3acw,-0.1562,1.4997,-1.6935,-0.0735,-0.2264,0.4332,-0.4851,-0.5937,0.6119,-1.281,-0.9834,-1.4252,0.523
3ag9,-0.6619,1.7090,1.5965,1.2528,3.4568,-2.7186,1.8477,-0.3569,-0.8678,0.6497,0.7118,1.1663,-3.1018
3ao4,-1.8814,0.7320,-4.3835,-0.676,-0.7955,0.294,-0.4223,-0.5708,-0.5064,-0.3692,-0.6295,-1.8052,0.1236
3b3s,-0.9656,0.2610,-3.9035,-1.415,-1.3079,-0.6319,-0.9566,2.372,-1.2618,-1.281,0.2137,-0.6101,1.3293
3b3w,-1.1193,0.2215,-2.2635,-1.3489,-1.3079,-0.6319,-0.9566,2.372,-1.2618,-0.9592,0.1843,-0.6101,1.3293
3b68,1.6484,1.2797,1.9465,1.1245,-0.0298,0.8925,0.6687,-0.1798,0.5503,0.5961,-0.6175,0.521,-1.0068
3bfu,0.2991,0.5328,-0.1835,-0.9449,-1.1736,-1.1429,-1.214,0.2579,-0.7602,-0.0206,1.3003,-0.4621,0.847
3bkk,1.1389,1.6090,-0.3735,1.4041,0.7046,0.161,0.3564,-0.3942,2.0929,1.7224,1.0032,0.6859,-1.263
3bpc,-0.4329,1.6053,-1.6535,-0.3912,-0.0064,-1.6724,-0.3721,0.0324,-0.4993,0.3548,1.1546,0.1021,0.1763
3cft,-0.9404,0.9955,-2.2635,-0.923,-0.7888,0.2718,-0.6862,0.1154,-0.1286,-1.5491,-1.276,-0.4479,0.5606
3cj2,-0.6066,1.5172,-1.6035,-1.0085,-0.6427,0.8336,0.3709,-0.0033,-0.3815,-1.4687,-0.8153,0.5051,0.9827
3coy,0.0870,1.0737,-0.4335,0.9989,0.274,-1.0419,-1.214,-0.5571,-0.8678,0.9447,0.8561,0.4739,-0.0724
3cyx,1.5630,0.1969,1.5465,2.0913,2.1809,0.3794,1.547,-0.6237,1.1676,1.2129,0.2308,1.3979,-1.5193
3d4z,-0.2643,0.2128,-1.5635,-0.7276,-1.0165,-0.6958,-1.214,-0.0451,-0.6939,0.1134,1.4337,-1.704,1.0429
3dd0,1.4041,0.4372,2.5465,-0.8838,-0.7636,0.2769,-0.1231,-0.306,-0.6952,-0.7715,-0.7475,-0.2921,0.8696
3dxg,-1.0804,0.2837,-4.0535,-0.701,-0.4945,-0.7093,-1.214,-0.0977,-0.2287,-0.4497,-0.6549,-0.0502,0.4175
3e93,1.7817,1.3520,2.3965,1.4084,1.1678,1.1982,1.6615,-1.0115,1.1526,0.6497,-0.4935,0.7873,-1.0144
3ebp,0.5963,1.1824,-0.5435,-0.2851,0.2233,0.4448,-0.6862,-0.4968,0.5218,0.1134,-1.276,0.5248,-0.1553
3ehy,0.6916,0.8731,-0.6035,-0.5712,-0.8202,-0.4103,0.1408,0.4267,-0.5064,-0.4229,-0.3038,0.0279,0.5531
3ejr,1.0659,1.4386,2.1165,0.294,-0.0118,-0.1154,-0.4562,-0.3231,-0.1586,1.2933,1.9129,0.76,0.8018
3f17,0.2366,0.8077,2.1765,-0.1167,-0.4712,0.4563,-0.2002,-0.1625,0.5914,-0.2083,-0.724,0.0799,-0.0347
3f3a,-1.5061,0.5869,-2.2635,-0.6129,-0.7671,-0.423,-0.7071,-0.0556,-0.1395,0.1939,0.2297,-0.4508,0.3949
3f3c,0.1620,1.2036,-0.4335,-0.684,-1.0911,-0.5284,-0.4432,0.4744,-0.1506,-0.1815,0.46,0.3965,0.6888
3f3e,-0.8348,0.3934,1.2465,-1.2816,-1.3079,-0.6319,-0.9566,2.372,-1.2618,-0.8519,0.5122,-0.6101,1.3293
3f80,-0.9569,1.5366,-2.2335,-0.8314,-1.1949,-0.8165,-0.9357,2.2846,-0.9457,0.033,-0.5634,-0.614,0.8771
3fcq,-1.2917,0.8350,-3.6835,-0.979,-1.0623,-0.0493,-0.4079,0.4149,-0.3474,-0.5033,0.062,-0.4469,0.3722
3fv1,1.5009,0.6375,2.8465,0.0911,-0.5826,-2.1899,-1.214,0.0922,-1.2618,1.0788,2.5171,0.0125,0.8093
3g0w,0.3137,1.4201,3.0665,0.2476,-0.4744,0.758,0.1344,-0.4409,-0.3793,-0.4229,-0.8233,0.6629,0.2667
3g2n,-0.6378,1.2634,-2.3635,-0.0561,-0.6673,-0.6863,-0.6862,-0.1552,-0.1436,-0.0743,0.7195,0.2608,0.6209
3g2z,-2.4947,1.1264,-4.0935,-1.2624,-1.07,-0.0602,-0.202,-0.3232,-0.8946,-0.8519,-0.2604,-0.2677,0.4627
3gbb,0.2017,0.9376,0.4465,-0.3366,-0.7978,-1.3095,-0.6573,-0.058,-1.2618,0.5157,1.1803,-0.1308,0.8696
3gcs,2.3471,0.8694,0.7965,0.8741,0.1163,1.5731,0.8972,-0.6934,1.1398,0.4889,-0.1413,0.4218,-1.0973
3ge7,0.0672,1.2738,2.2465,0.2272,0.4317,-0.528,-0.3934,-0.5997,-0.3998,1.4006,0.7278,0.3839,-0.208
3gnw,2.1919,1.6662,2.6465,1.4307,1.6114,1.9225,1.4265,-0.7831,2.5993,1.2129,-0.331,2.2759,-1.783
3gy4,-1.4654,0.6032,-1.3535,-1.2108,-1.2037,-0.527,-0.1584,0.4026,-0.3325,-0.9056,-1.1511,-2.0001,0.6209
3huc,-0.0069,1.3796,-0.4635,-0.1542,0.1416,1.0612,-0.158,-0.6585,1.0242,-0.1815,-1.276,0.0045,-1.2555
3imc,-2.6481,0.4147,-3.4935,-1.0586,-1.0342,0.5338,-0.1584,-0.1958,-0.3134,-1.2005,-1.0829,-1.9434,0.6737
3ivg,0.2220,0.8396,-2.1535,0.7186,0.3726,0.3638,0.1055,-0.7157,0.616,0.3548,-0.6634,0.4224,-0.728
3jvs,-0.2011,1.5426,0.0865,-0.434,0.2853,1.2534,-0.2145,-0.5803,1.2908,0.1403,-0.6387,0.3637,-1.2103
3k5v,0.6097,1.3848,-0.1535,0.1281,-0.1967,1.0601,0.3694,-0.572,0.8089,-0.6642,-1.276,0.0775,-0.9691
3kgp,-2.4021,0.5531,-3.8835,-1.1807,-1.1876,-0.5089,-0.971,0.4101,-0.1586,-1.1201,-0.935,-0.7226,0.7415
3kv2,-2.1323,0.6947,0.8665,-0.8575,-1.2322,-1.3598,-1.214,2.0682,-1.2618,-0.0206,1.2964,-0.5964,0.6285
3kwa,-1.5682,1.6448,-2.3735,-0.9461,-0.7574,-1.3206,-1.214,2.846,-1.2618,-0.8251,-0.4219,-1.8596,1.6383
3l3n,-0.6399,0.6838,1.7265,1.2831,0.9671,-0.7404,0.3709,-0.2824,0.9787,0.6766,0.7487,1.0074,-1.0219
3l4u,-1.2135,1.6116,1.0665,-0.2404,-0.5981,-1.6315,-1.214,0.9196,-1.2618,-0.1279,0.7581,-1.5599,1.7513
3l4w,-1.3110,0.5558,-0.4535,-0.7874,-1.0086,-1.5784,-1.214,0.8908,-1.2618,-0.3424,0.6103,-1.6682,1.578
3l7b,-0.2105,1.5747,-4.0535,-0.2351,-0.7305,-0.8222,-0.9501,-0.0763,-0.5523,0.0598,0.423,1.3437,0.5908
3lka,0.3831,0.4349,-3.6335,-1.0213,-1.0976,-0.0312,-0.1584,0.3347,-0.5064,-1.1201,-0.8281,-0.3548,0.9525
3mfv,-0.6864,0.7653,-3.9335,-0.7766,-1.053,-0.9732,-0.9357,0.3622,-0.8909,0.033,0.5829,-0.5437,0.5832
3mss,-0.5506,0.8544,-1.7935,-0.8897,-0.3497,0.2221,-0.2002,-0.215,0.7858,-1.2005,-1.276,0.1268,0.003
3myg,0.5572,1.0823,4.2465,0.1197,0.4694,0.419,0.4867,-0.6834,0.0548,-0.0743,-0.3258,-1.3806,-0.3663
3n7a,-0.3729,0.9418,-2.7535,-0.9898,-1.2429,-1.0151,-0.9497,0.4932,-0.8835,-0.7983,1.5591,-0.5483,1.0731
3n86,0.3329,1.4698,-0.8135,0.5362,-0.4336,-0.4639,0.0999,-0.1235,0.0459,0.8375,1.7494,0.265,0.0859
3nox,0.4427,0.7857,2.2065,-0.1812,0.0974,0.549,-0.1231,-0.5942,0.3415,-0.2888,-0.4243,0.5569,0.1085
3nq3,-0.4518,1.1293,-2.6735,-1.3285,-1.0355,0.4416,-0.6573,2.4716,-1.2618,-1.6028,-1.276,-0.6582,1.3594
3nw9,1.4419,1.4530,2.5465,1.4307,0.8478,0.4664,0.6268,-0.9591,1.1775,1.8833,1.3838,0.7883,-1.5494
3oe5,0.6859,1.6141,0.4265,0.7767,0.0488,0.1486,-0.6862,-0.6158,0.7479,1.4274,1.6104,0.3339,-0.6451
3ov1,-0.5344,0.9829,-1.2535,-0.043,0.3606,-0.5755,0.1134,-0.0087,-0.3325,0.4889,1.7908,0.7359,-1.2028
3owj,0.0678,0.9635,-0.3835,-0.5312,-0.0765,0.937,1.1613,-0.3577,0.358,-1.2542,-1.1267,0.2301,-0.3135
3ozt,0.4137,1.6460,-2.3235,0.7366,0.1316,-0.2066,-1.214,-0.5584,1.0675,1.4542,1.6359,0.333,-1.0596
3pe2,0.6098,1.3366,3.3065,0.0495,0.032,0.5615,0.0846,-0.63,0.798,0.1134,-1.0318,-0.3828,-1.2404
3pww,2.1593,0.3284,0.8665,1.8734,2.1809,0.3794,1.547,-0.6237,1.1676,1.5078,0.5458,1.3979,-1.5193
3pxf,-1.4943,1.1651,-2.0235,-1.1766,-0.287,0.9378,0.0768,-0.3358,0.8157,-1.6832,-1.276,-0.2132,-0.0272
3s8o,-0.1101,0.6328,0.3965,0.088,0.6643,-0.2149,0.1134,0.2683,-0.3325,0.8106,1.8107,1.015,-1.2028
3su2,0.4372,0.3924,0.8965,1.2127,2.0791,0.9821,1.6177,-0.8502,0.2508,1.776,-0.0499,1.4709,-1.6097
3su3,0.6094,0.6669,2.6765,1.2833,2.4597,1.2135,1.4294,-0.7733,-0.1354,1.8564,-0.1474,1.655,-1.361
3su5,0.3734,0.5060,-0.8735,1.1822,2.4597,1.2135,1.4294,-0.7733,-0.1354,1.3469,-0.1151,1.655,-1.361
3u9q,-0.2859,0.7852,-2.0735,-1.1726,-1.0355,0.4416,-0.6573,2.4716,-1.2618,-1.3346,-0.3029,-0.6582,1.3594
3udh,-1.5812,1.0802,-3.6035,-1.005,-0.8648,-0.1849,-0.7071,-0.3728,-0.3325,-0.9324,-0.2605,0.1748,0.7415
3ueu,-0.5765,0.9760,-1.2135,-1.1876,-0.8549,0.682,-0.6573,2.6706,-1.2618,-1.8441,-1.276,-0.6109,1.3594
3uex,0.3427,0.7685,0.4665,-0.7477,-0.2815,1.4031,-0.6573,3.0537,-1.2618,-1.5759,-1.2282,-0.5255,1.3594
3uo4,0.2806,1.6186,0.0665,0.1629,0.2159,1.0939,0.3276,-0.7591,1.7492,-0.1011,-0.0697,-0.4757,-1.3987
3uri,0.5884,1.6781,2.5465,2.4234,3.2757,-1.5883,0.6616,-0.4395,0.9923,1.0252,0.2602,1.4814,-2.6421
3utu,1.1845,1.6445,4.4665,1.2749,1.6478,-0.0303,1.676,-0.6358,1.6683,1.481,-0.7968,1.2287,-1.9865
3vh9,-2.0684,0.7662,-0.2135,-1.1442,-1.0879,0.4611,-0.6862,-0.0603,-0.1245,-0.8519,0.0827,-2.0053,0.5757
3zso,1.1027,1.6307,-1.3335,0.5444,1.4224,0.8142,1.3836,-0.7437,2.819,0.7838,-0.0325,1.1948,-2.2201
3zsx,-0.7413,1.5284,-3.1735,-0.0368,0.6778,0.3192,0.085,-0.626,2.0785,-0.4497,0.2859,0.7185,-1.3309
4de1,-0.3100,0.8620,-0.4935,-0.2029,-0.2079,0.478,0.5609,-0.8125,0.4271,0.328,0.6488,0.2752,-0.9164
4de2,0.0949,0.8001,-2.3335,-0.1454,-0.1059,0.0985,0.0693,-0.5469,0.5969,0.2475,0.3593,0.4166,-0.5471
4des,-0.6933,0.7917,-0.6035,-0.3419,-0.5203,0.7479,-1.214,-0.4064,0.5687,-0.7983,-1.276,0.0924,-0.3135
4dew,-0.7793,0.2951,0.5465,-0.4522,-0.4526,0.5665,-0.4223,-0.4169,0.1909,-0.7178,-1.0902,0.1283,-0.615
4djr,4.5640,0.5323,5.0665,1.4386,1.2748,0.8831,0.6348,-0.5368,0.5945,1.1056,0.483,1.1968,-0.5471
4djv,0.4448,0.9198,0.2665,0.1585,0.2762,0.4125,0.0637,-0.5248,1.5412,0.0866,-0.9153,0.8479,-0.9541
4g8m,-0.0558,0.5939,1.4365,-0.9962,-1.1911,-1.3313,-0.6573,0.4489,-1.2618,0.0598,1.584,-0.5743,0.9299
4gid,1.6106,1.1728,4.3165,2.4282,1.9497,0.4793,1.1979,-0.0891,1.889,2.5805,0.8818,1.2716,-1.4514
4gqq,-1.8536,1.1970,-3.5635,-1.4072,-0.9503,0.3791,0.1204,0.2207,-0.3322,-1.281,-0.6908,-0.2851,0.2743
1c5z,-2.2070,0.0802,-2.4435,-1.3742,-1.2488,-0.3983,-0.6862,0.3726,-0.1436,-1.1737,-1.276,-2.0498,0.7716
1eby,2.4056,0.7739,3.2465,2.2029,1.6583,0.6113,0.2439,-0.8835,3.1812,1.2129,1.0484,1.3316,-1.572
