%Gaussian process regression with a Gaussian likelihood
%model: gpr, kernel: sum
Optimization success: True in 146 iterations, b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH'
%.kernel.kernels[0].variance: 1.665851165807231
%.kernel.kernels[0].lengthscales: [  0.46952842   0.52620157   0.71597554   2.42122785   0.50290625   0.96797522   2.20986589   0.9035108    0.68087373   0.83719837   1.4625784  379.64169123   1.90699438   0.61293969   0.5838824 ]
%.kernel.kernels[1].variance: 0.04033735634674036
%.likelihood.variance: 0.904616135180554
%loglikelihood: -6638.540078332004
%RMSE:1.574
%Pearson_correlation_coefficient:0.727,P-value:0.000
%Spearman_correlation_coefficient:0.724,P-value:0.000
%%%%%%PREDICTIONS%%%%%
name,f_pred_mean,f_pred_var,y_true,vina_gauss2,BertzCT,MolLogP,PEOE_VSA7,BalabanJ,SMR_VSA7,as_flex_all,vina_hydrogen,MaxAbsEStateIndex,HallKierAlpha,MaxAbsPartialCharge,vina_repulsion,PEOE_VSA8,PEOE_VSA1,lig_OA
1v2o,-1.9020,0.2914,-1.7235,-0.5976,0.3213,-0.5563,0.3838,-0.1029,0.7708,-0.5301,-0.7961,0.4436,-0.6828,0.0933,-0.2812,-0.6455,-0.6765,0.0996
1v48,0.2291,1.2512,1.3465,-0.0874,-0.3549,0.3313,-0.6573,-0.1827,-0.7412,0.2743,0.7181,0.6374,0.0331,0.2963,0.1336,-0.134,-0.6617,-0.1672
1vfn,-1.0311,0.3832,-0.8535,-1.3172,-1.1655,-0.2457,-1.214,-0.0835,-0.5442,-0.8251,-0.4391,-0.4924,0.5154,-1.3101,-0.4937,-1.2831,-0.6822,-0.9677
1vzq,1.1540,1.5329,0.9865,0.9485,0.6058,-0.8287,0.0846,-0.9175,0.5819,1.1592,-0.6888,1.0148,-0.826,-0.058,0.5305,-0.4433,-0.0977,0.0996
1x1z,-1.0268,0.6164,4.6065,0.255,-0.4763,-0.8,-1.214,-0.0741,-0.4216,0.6497,1.9481,-0.0023,0.2667,1.2311,1.2462,-1.2831,-0.0616,1.4339
1xgj,-0.8004,0.8436,-0.4535,-0.6246,-0.5808,-0.4505,-0.1884,-0.2122,-0.0126,-0.3424,0.4582,0.0949,-0.1929,0.9359,0.3528,-1.0149,0.236,0.6333
1y1m,-1.0931,0.5007,-4.6335,-1.3943,-1.3146,-0.6633,-0.6573,0.521,-1.2618,-0.7447,0.562,-0.5162,1.3293,0.9235,-0.4411,-0.14,-0.3347,-0.7009
1y6q,3.0188,0.2115,5.2465,-0.0804,-0.3795,-0.359,-0.9439,-0.4421,-0.698,-0.1279,-0.2732,-1.5048,0.7716,-0.787,-0.5884,-0.0299,-0.0226,-0.9677
1ydt,1.4457,0.7936,0.8665,0.5575,0.2757,0.6497,0.3489,-0.5891,1.1379,0.1134,-0.9619,0.4989,0.2065,-1.229,-0.2227,0.1791,-0.9677,-0.7009
1zc9,-1.0478,1.2305,-3.2335,-0.6892,-0.814,-0.0371,-0.9148,0.6694,-0.5431,0.0598,-0.3037,-0.7007,0.6812,1.2338,0.7273,-0.5191,-0.6289,0.0996
1zoe,0.3373,0.6864,0.9465,-0.6317,-0.9669,1.3048,1.569,-0.1969,-0.7026,-1.0664,-1.276,-1.8148,2.0678,-1.2028,-0.6633,0.2172,-0.6869,-1.2346
1zs0,0.3096,1.4200,-0.3035,0.3656,0.0788,0.9961,0.585,-0.0601,0.2491,0.5425,-0.5112,0.4032,0.1386,0.4124,0.5023,-0.8205,-1.0024,0.3665
1zvx,0.3211,1.3834,2.7665,0.3738,0.0788,0.9961,0.585,-0.0601,0.2491,0.6766,-0.2552,0.4032,0.1386,0.4124,0.4224,-0.8205,-1.0024,0.3665
2aou,0.2565,0.7488,1.2765,0.0526,0.0606,1.0224,1.2318,-0.359,0.5841,0.0598,-1.1591,-1.5325,0.0256,0.5287,-0.2142,0.7293,-0.3533,-0.9677
2ayr,1.5827,1.4064,2.8365,1.1954,1.1983,1.3593,2.7383,-0.8795,1.1934,0.0866,-0.1878,0.1947,-0.9164,0.5342,0.0976,0.1376,-0.0977,0.0996
2b1v,0.1320,1.0202,-0.7135,-0.3892,-0.5026,0.7255,0.4127,-0.2834,0.0309,-1.4955,-0.6908,-1.3945,0.7641,0.5344,-0.8655,-0.2093,-0.3752,-0.434
2b7d,-0.2717,1.6392,2.2465,0.5968,0.9154,-0.7793,1.3976,-0.4684,0.7708,0.9715,0.0597,0.1093,-2.4537,0.9939,1.4701,0.6244,1.5322,0.6333
2baj,0.6858,1.0123,1.9465,0.3602,-0.0325,1.749,-0.1584,-0.4166,0.9299,-0.0475,-0.4095,0.4154,-0.1251,-1.4657,-0.5883,-0.136,-0.9673,-0.9677
2bak,1.2271,1.4602,0.9765,1.3596,1.5439,0.859,0.6477,-1.0217,0.798,0.3011,-0.8279,0.7753,-1.6172,0.369,-0.3953,2.0853,0.8322,-0.1672
2bok,0.5195,1.2466,0.0965,0.3754,0.4303,-0.7682,-0.6862,-0.5634,-0.1586,0.6766,-0.8207,1.0172,0.0633,-1.2039,-0.2139,0.7486,-0.7177,-0.7009
2brb,-0.8127,0.9170,-1.5935,-0.1793,-0.0044,1.0836,-0.971,-0.5792,0.8239,-0.7178,-1.276,-1.6597,-0.6376,-0.2405,-0.9269,-0.4335,-0.3825,-0.9677
2brm,-0.7557,0.8243,-0.5635,-0.1474,0.0454,1.002,-0.7281,-0.5407,0.8239,-0.7178,-1.0696,-1.5306,-0.6376,-0.7014,-0.8598,-0.7017,-0.3481,-0.9677
2bz6,0.9574,1.6081,0.6365,0.5595,0.1753,-0.2108,0.4048,-0.4103,0.401,1.5078,-1.1062,1.7391,-0.7506,0.9653,-0.2223,0.1882,0.5129,0.0996
2bzz,-0.5053,1.7311,-0.0235,1.7001,1.8861,-0.1794,-1.214,-1.2864,-0.4737,2.4196,-0.0199,0.1581,-0.9767,1.3602,1.8331,-1.2831,1.245,4.636
2c02,-1.9415,0.3962,-2.4135,-0.3694,-0.1291,-0.2696,-1.214,-0.5488,-0.8678,-0.691,-0.1322,-0.2803,0.1612,1.3418,-0.6472,-1.2831,-0.0241,1.4339
2ceq,-0.0516,0.1781,0.8265,-0.6656,-1.0165,-0.6958,-1.214,-0.0451,-0.6939,0.2207,1.4602,-1.704,1.0429,-0.7061,0.6275,-0.6879,0.2416,-0.1672
2cer,1.4890,1.3661,2.7665,0.1345,-0.3332,-0.1458,-0.4144,-0.4179,0.4094,0.5425,1.6209,-1.5346,0.4551,-0.7061,0.4341,-0.7212,0.2416,-0.1672
2cet,1.4775,1.3335,1.5665,0.0354,-0.3332,-0.1458,-0.4144,-0.4179,0.4094,0.5425,1.6366,-1.5346,0.4551,-0.7061,0.4699,-0.7212,0.2416,-0.1672
2cgr,0.4010,1.5902,0.8265,-0.0725,0.1376,0.0284,0.3276,-0.2914,1.904,0.4352,-0.181,-0.285,-1.3384,0.9563,-0.518,-1.2831,-0.6854,-0.7009
2ctc,-1.4947,0.3020,-2.5635,-0.9657,-1.165,-0.3401,-0.971,0.3889,-0.1436,-1.0128,0.506,-0.6744,0.7415,0.9631,-0.1038,-0.8437,-0.3718,-0.434
2d0k,-0.2092,1.2668,-1.4335,-0.0202,0.2332,-0.973,0.3983,-0.639,0.3621,-0.1547,-0.112,0.2762,-1.67,0.9943,-0.7001,-0.1886,0.9254,0.3665
2d1o,1.3351,0.6245,1.2465,0.6458,0.7374,-0.1627,0.942,0.8187,-0.1586,0.0866,1.1225,0.5848,-0.2382,-1.1043,0.3034,0.61,-0.6166,-0.434
2d3u,0.7363,0.5990,0.4665,-0.1676,0.0129,0.7135,0.6268,-0.4959,0.9382,-0.3156,-0.4605,0.4097,-0.615,0.9254,-0.7043,-0.8497,-0.6854,-0.1672
2d3z,0.5948,0.6819,0.1865,-0.214,-0.1089,0.7959,0.6477,-0.5403,0.9461,-0.5033,-0.2171,0.609,-0.2834,0.9254,-0.4264,-0.8497,-0.6854,-0.1672
2drc,-0.4601,1.1294,3.4365,-0.0375,0.2714,-0.8765,0.3983,-0.5488,0.0385,-0.5033,0.5597,0.3451,-1.67,0.9943,-0.2978,0.3459,1.2513,0.0996
2er9,1.0924,1.6459,0.9465,2.3991,3.2866,0.2677,1.5549,-0.3966,0.9923,1.4542,1.1535,1.6556,-2.9963,-0.1644,0.6684,3.8051,2.2039,1.167
2f01,1.4316,0.1899,6.5465,-0.4089,-0.8944,-0.3025,-0.379,-0.2302,-1.2618,-0.2352,0.5644,-0.1887,1.0731,0.9943,-0.2264,0.2585,-0.0335,-0.434
2f80,2.9588,0.0652,1.7265,1.3327,1.0178,0.5951,0.8987,-0.5478,0.6119,0.7034,0.6257,1.0983,-0.2758,-0.1704,0.5366,0.6747,0.5698,0.6333
2fai,0.1059,1.1092,-0.2135,-0.3496,-0.4066,0.8013,0.3918,-0.1941,0.0309,-1.5223,-0.9627,-1.2975,0.7641,0.5344,-0.9473,-0.0771,-0.3752,-0.434
2fdp,1.9276,1.6298,1.1365,1.3288,1.3567,1.3127,1.7113,-0.21,1.897,0.8375,1.5664,1.0884,-1.2857,-1.1497,0.1906,2.1989,0.0102,-0.434
2flb,-0.2419,0.7639,-0.7135,-0.1624,-0.042,0.1067,-0.4223,-0.7294,0.423,0.1403,-0.4457,-1.6518,-0.9616,0.4878,1.5605,-1.0149,-0.6741,-0.9677
2fzc,-1.0213,1.5100,-3.7535,-0.7618,-0.8361,-0.3441,-1.214,2.0259,-1.2618,-0.6642,0.753,-0.3598,0.5079,-0.3181,0.386,-0.6567,-0.6413,0.9002
2g5u,-0.2342,0.9881,2.0365,-0.6419,-1.0185,1.5203,0.3276,-0.1361,0.1216,-1.7636,-1.276,-1.8512,1.156,0.5002,-1.186,-1.2831,-0.666,-0.7009
2g8r,-1.2714,1.5798,-2.4635,-0.6984,-0.1343,-1.6154,-1.214,-0.268,-0.2287,-0.0743,-0.5974,0.2014,0.2441,0.9909,-0.1295,0.8225,0.5329,0.6333
2g94,1.5055,1.6399,3.0665,1.8212,1.5943,0.3032,0.9773,1.5238,-0.717,2.1782,1.5872,1.1624,-0.6526,-0.3563,0.7694,2.6621,0.615,0.9002
2gss,-1.0515,0.9317,-1.5135,-1.0226,-0.8261,0.563,-0.1645,0.3896,-0.0179,-1.0128,-1.1124,0.1049,0.6134,0.9536,-1.041,-0.6845,-0.3946,-0.1672
2hdq,-2.5096,0.5619,-5.0535,-1.602,-1.436,-0.1023,-0.7162,0.0644,-0.5642,-1.0933,-0.7689,-0.9621,1.1334,0.9263,-0.5659,-1.048,-0.6854,-0.7009
2i0d,3.9106,0.4442,5.6465,1.695,1.5969,0.9904,1.4474,-0.5331,1.5412,0.9983,0.0638,1.1754,-1.4514,0.4124,0.1696,0.9429,-0.0721,0.9002
2j77,-0.7810,0.1924,-1.5635,-1.0918,-1.2037,-1.367,-1.214,0.6124,-1.2618,-0.1279,1.4158,-1.8448,1.6081,-0.75,0.1824,-1.2831,0.2868,-0.1672
2j78,-0.5768,0.4506,-0.0335,-0.7641,-1.197,-1.1162,-1.214,0.5212,-1.2618,0.1671,1.9372,-1.8282,1.0882,-0.54,0.76,-1.2831,0.607,0.0996
2qwb,-1.6843,0.7228,-3.7135,-0.4501,-0.7588,-1.7408,-1.214,0.9317,-1.2618,-0.3424,0.9882,0.0019,0.7792,0.931,0.1009,-0.3152,1.4994,1.167
2qwd,-2.0451,0.4499,-1.6035,-0.4574,-0.7254,-1.724,-1.214,0.9206,-0.8926,0.0062,1.1447,0.0007,0.4928,0.9003,0.7447,-0.4628,1.2228,0.6333
2qwe,-0.5709,0.4227,1.0265,-0.0538,-0.5432,-2.2103,-0.9497,1.0376,-0.8926,0.5157,1.8355,0.1117,-0.0272,0.9003,0.9957,-0.7545,0.8722,0.6333
2rkm,-0.7439,1.4958,-2.5535,-0.1517,-0.5096,-1.4751,0.1777,3.135,-1.2618,0.2207,0.8551,0.398,0.8696,0.9695,0.4312,-0.1829,0.6926,-0.434
2std,2.4610,0.5860,3.3965,-0.2077,-0.5807,1.3228,0.1344,-0.0827,-0.1755,-1.1469,-1.053,0.5373,1.4273,-1.1977,-0.9197,0.0361,-0.9673,-0.9677
2usn,0.1453,1.0733,0.0565,-0.3581,-0.0366,1.0412,-0.7281,-0.6122,0.9746,-0.4229,0.016,0.3636,-0.4341,-0.1551,-0.0732,-1.1509,-0.3505,-0.434
3gss,-1.1779,1.5231,-0.6335,0.5531,0.4548,-1.1979,-0.4079,0.9307,-0.3962,2.2587,0.9881,0.7567,-0.5547,0.973,1.0758,1.3588,1.8235,1.4339
3pce,-2.0922,0.1836,-4.4535,-1.1085,-1.2254,-0.2339,-0.4432,0.3661,-0.3325,-0.691,-0.5903,-0.7661,0.6209,0.9903,0.6978,-0.5559,-0.3718,-0.434
3pch,-1.2916,0.3120,-1.0535,-1.0456,-1.3356,-0.0107,-0.1793,0.307,-0.3643,-0.8787,0.0091,-0.8106,0.8395,0.9359,0.6882,-1.2831,-0.3718,-0.434
3pcj,-1.6308,0.3199,0.7665,-1.0074,-1.257,-0.6146,-0.9501,0.3628,-0.1936,-0.8787,0.3117,-0.5753,0.4175,0.9359,0.5341,-0.426,-0.3656,-0.1672
3std,1.1420,1.4111,4.6565,0.6668,0.2485,1.4455,-0.1858,-0.6288,1.9081,-0.4765,-1.276,-1.1321,-1.037,-0.8375,-0.846,-0.0957,-0.9673,-1.2346
4er2,2.0198,0.7608,2.8465,1.2211,1.6844,-0.0959,0.929,5.2552,-1.2618,0.6229,0.9513,1.3744,-0.6979,0.9932,-0.1109,2.7909,1.5716,1.167
4fiv,2.1734,0.7875,0.0665,2.4414,2.9702,0.9633,1.2844,-0.4809,1.7301,1.8833,1.7316,1.4763,-2.627,-0.746,1.7139,1.644,1.0013,0.6333
4tln,-1.3343,1.3342,-2.7335,-1.482,-1.2462,-0.3991,-0.9566,2.4856,-1.2618,-1.2273,0.1984,-0.2046,1.2992,-1.2166,0.2792,-0.3811,-0.9425,-0.7009
5abp,-2.2651,0.6488,0.1865,-0.9019,-1.2721,-1.1292,-1.214,0.4478,-1.2618,-0.7983,0.7964,-1.9119,1.578,-0.712,-0.1488,-1.2831,0.5656,0.3665
5er1,0.0251,1.6791,-0.4335,0.4089,1.0283,-0.1295,-0.4562,1.6225,-0.1436,-0.3156,0.1354,1.2966,-0.1176,0.0933,-0.264,1.3996,0.6393,0.0996
6fiv,0.8690,0.6071,1.6265,0.2216,0.4965,0.5294,0.107,-0.009,0.9746,-0.3692,0.3966,0.8717,-0.7958,-0.1552,-0.0407,-0.4901,0.289,0.0996
6rnt,-1.9827,0.2981,-4.0835,-0.771,-0.3818,-0.4407,-1.214,-0.4392,-0.8678,-0.1547,0.637,-0.4181,0.1688,1.236,0.3817,-1.2831,-0.0241,0.6333
6std,2.2727,1.0906,2.1865,-0.0586,-0.5701,0.9623,-0.144,-0.1185,-0.1927,-0.5838,-1.0393,0.4788,1.6835,-1.2065,-0.8233,0.6962,-0.9673,-0.7009
8abp,-2.1694,0.6223,1.5465,-0.9083,-1.2721,-1.1292,-1.214,0.4478,-1.2618,-0.6642,0.8671,-1.9119,1.578,-0.712,-0.1191,-1.2831,0.5656,0.3665
1f8b,-2.5200,0.2827,-1.0535,-0.4251,-0.7984,-1.4928,-0.9497,0.8026,-0.8926,0.2475,0.6608,-0.0561,0.4928,0.9004,0.5256,-0.7545,1.1858,0.9002
1f8c,-1.9785,0.4410,0.9465,-0.462,-0.7254,-1.724,-1.214,0.9206,-0.8926,0.1671,1.1558,0.0007,0.4928,0.9003,0.5822,-0.4628,1.2228,0.6333
1f8d,-2.1658,0.4788,-3.0535,-0.3731,-0.7254,-1.724,-0.9497,0.8483,-0.8926,0.1403,0.7341,-0.0294,0.4928,0.9004,0.4283,-0.7545,1.2228,0.6333
1hnn,-0.4031,0.6916,-0.2135,-0.8217,-0.8064,-0.4592,-0.4432,-0.0048,-0.3474,-0.6106,-0.9673,-0.1708,1.0731,-1.2291,-0.3142,-0.5755,-0.9677,-0.7009
1igj,-0.0675,1.6974,3.5465,-0.0707,1.0154,0.62,2.8215,-0.7831,-0.8985,-1.0933,-1.246,0.2128,0.9827,-0.0102,-1.044,1.6254,0.8336,0.9002
1lbk,-1.8560,0.4796,-3.2735,-0.654,-0.8019,-1.8597,-1.214,2.585,-1.2618,0.5157,1.0026,0.0945,0.3949,0.973,0.5054,0.0028,0.925,0.3665
1lor,-1.0794,0.6128,4.6065,0.257,-0.4763,-0.8,-1.214,-0.0741,-0.4216,0.6497,1.9093,-0.0023,0.2667,1.2311,1.2542,-1.2831,-0.0616,1.4339
1n1m,-0.1834,1.4918,-0.7535,-1.0625,-1.0315,-0.1751,-0.6573,0.6043,-1.2618,-0.7715,0.1659,0.2758,1.3293,-1.2182,-0.2949,0.6186,-0.6417,-0.9677
1o5b,-0.4639,0.2421,-0.6835,-1.0228,-0.9682,0.1622,0.5643,-0.168,-0.2423,-0.7447,-1.276,-1.8267,1.2916,-1.7137,-0.5601,-0.6248,-1.2932,-1.2346
1oyt,1.3750,1.1573,0.7865,0.6006,0.409,-0.3852,0.0846,-0.7528,0.9526,0.5693,-1.0965,0.9162,-0.5471,-1.2039,-0.4806,-0.004,-0.9929,-0.7009
1ps3,0.9023,0.7642,-4.1735,-0.5265,-1.0186,-1.4529,-1.214,-0.054,-1.2618,0.4084,1.6773,-0.0586,0.8395,-0.7059,0.7897,-1.2831,0.588,0.3665
1q8u,0.0748,0.9605,-0.4935,-0.0782,-0.0562,0.1373,-0.1086,-0.2283,-0.1354,-0.8787,-1.276,0.841,0.6285,-1.2319,-0.7845,1.1126,-0.9677,-0.7009
1qi0,-2.9743,0.5859,-4.1035,-0.9622,-0.6237,-1.7996,-1.214,0.0167,-1.2618,-0.4229,0.4714,-1.529,1.4273,-0.712,0.6427,-1.2831,2.088,1.7007
1r5y,-0.1703,1.2358,0.0065,-1.0255,-0.9467,-0.1098,-0.4223,-0.0749,-0.3716,-0.0475,1.0991,-0.1965,0.2215,-0.656,-0.0641,-1.0089,-0.591,-0.9677
1sln,0.5587,1.6073,0.1865,0.4659,0.7301,-0.9819,0.691,0.2526,0.8007,0.5157,0.3784,1.0599,-1.1952,0.926,0.4925,0.0252,0.292,-0.1672
1uto,-2.4992,0.1575,-4.1835,-1.436,-1.1944,0.0084,-0.971,0.3714,-0.1436,-1.1737,-0.8766,-1.989,1.1409,-1.1073,-1.0442,-0.8437,-0.9425,-1.2346
1w3k,-0.8652,0.9464,-2.1535,-0.237,-0.6567,-1.8615,-1.214,-0.0156,-1.2618,0.4889,2.0287,-1.5753,1.4574,-0.712,0.6737,-1.2831,1.17,1.167
1w3l,-0.7810,1.6639,-0.1735,0.6733,0.0411,-2.5318,-1.214,-0.3483,-1.2618,2.6341,2.4626,-1.3745,1.3067,-0.712,8.7667,-1.2831,2.6924,2.5012
1w4o,-1.8647,0.5675,-1.2335,-0.7145,-0.4945,-0.7093,-1.214,-0.0386,-0.2287,-0.557,0.6618,-0.0445,0.4175,1.2352,0.2175,-0.6942,-0.3752,1.167
1xd0,-1.2327,1.6064,0.6665,2.043,1.7599,-3.7373,-0.9148,-0.7398,-1.2618,1.2397,2.1895,-1.0758,1.0354,-0.6857,1.2534,0.0209,6.0856,4.9028
1yc1,-0.2539,1.1766,-0.2835,0.519,-0.0686,0.4208,0.342,-0.6269,0.0344,0.4352,-0.6879,-0.1503,-1.0144,0.9174,-0.1497,-0.125,0.5234,0.3665
1z95,1.8176,1.0789,0.6665,0.7615,-0.0727,0.7505,0.9326,-0.0739,0.5899,-0.262,-0.6256,0.6203,-0.4793,-0.4539,-0.5223,-0.6785,-0.6537,-0.1672
1zea,-1.0695,1.7352,-1.2335,1.0454,3.1498,-3.1182,0.3918,-0.176,0.2355,1.5347,0.0405,1.45,-4.0589,0.9932,0.9179,2.6482,4.453,3.0349
2cbj,0.1913,0.2842,1.8165,-0.2476,-0.3886,-0.3936,-0.461,-0.2048,-0.3175,-0.2352,0.6598,0.0553,-0.2683,0.1036,0.0744,-0.4804,0.2644,0.6333
2fvd,0.6413,0.8378,2.0665,0.5896,0.1453,0.2985,-0.1295,-0.5329,0.0203,0.5693,-0.5026,1.072,-0.3964,0.4026,-0.4076,0.6578,-0.3254,-0.1672
2g70,0.1983,0.7697,1.3165,-0.7128,-0.8608,-0.2676,-0.971,0.0031,-0.0313,-0.3156,-0.7178,-0.5594,0.6586,-0.7489,-0.7033,0.0071,-0.6541,-0.9677
2hb1,-2.7244,0.8775,-2.6535,-1.0227,-1.2539,-0.444,-0.5183,0.0178,-0.8022,-0.5033,-0.3225,-0.7664,0.945,0.9536,-0.2164,-1.0249,0.2132,0.0996
2iwx,0.3322,0.7207,0.2265,0.0422,-0.2722,1.0741,-0.1007,0.1014,-0.1898,-0.557,-0.8227,0.42,0.2441,0.5228,-0.5358,0.8159,-0.3752,0.0996
2j62,3.0258,0.6691,4.8865,0.6544,0.0844,0.0945,-0.4144,-0.3152,0.4094,0.1671,0.7486,0.5138,0.0859,-0.7061,0.088,0.0255,0.2539,-0.1672
2jdm,0.1398,0.2569,-1.0535,-1.2678,-1.1983,-0.6111,-0.9148,0.4658,-1.2618,-0.5838,1.5711,-1.8861,1.6081,-0.777,-0.2387,-0.7456,0.2292,0.0996
2jdu,0.3866,0.3956,0.2665,-1.2774,-1.1983,-0.6111,-0.9148,0.4658,-1.2618,-0.5033,1.9375,-1.8861,1.6081,-0.777,-0.0267,-0.7456,0.2292,0.0996
2jdy,-0.4338,0.7150,-2.0835,-1.248,-1.1823,-0.9277,-1.214,0.4884,-1.2618,-0.2888,1.8445,-1.8688,1.578,-0.712,0.2273,-0.9438,0.5428,0.3665
2obf,1.1522,0.8109,2.3965,0.2297,-0.1669,0.2087,0.6124,-0.4448,0.565,0.4352,-0.5045,0.4153,0.5531,-0.7489,0.5278,-0.0592,-0.6541,-0.434
2ole,0.5599,0.7890,0.7965,0.0406,0.2131,0.7003,0.6557,-0.3532,0.9535,-0.4229,-0.6294,1.156,-0.404,-1.1386,0.2896,0.8708,-0.9425,-0.7009
2p4y,0.6683,1.5492,2.5465,1.468,0.9707,1.6761,1.4748,-0.731,0.9468,-0.2352,-0.8862,0.4979,-1.5419,1.2386,-0.7188,1.0536,0.7449,0.0996
2pcp,1.0871,0.9825,2.2465,-0.3479,-0.4121,0.7613,0.1777,-0.1163,-0.1436,-0.5033,-1.0803,-1.316,1.1409,-1.2044,-0.5694,0.6568,-0.9929,-1.2346
2qbp,0.5408,0.9588,1.9465,0.6878,0.716,0.5029,1.0522,-0.7446,0.9041,0.4084,-0.2402,0.6764,-0.4492,0.9536,-0.1612,0.5684,0.5391,0.6333
2qbr,-0.9181,1.0859,-0.1235,-0.0661,-0.0871,0.5663,0.4955,-0.5474,0.9041,-0.1279,-0.3638,-0.3177,-0.3813,0.9536,-0.0911,-0.6957,0.5391,0.0996
2qmj,-2.0096,0.5061,-2.2435,0.8412,0.9594,-3.0916,-0.407,-0.557,-0.8985,0.5157,1.4632,-1.2032,0.9902,-0.712,0.5738,-1.0848,4.5632,3.5686
2r23,-0.7150,1.1955,-2.7335,-0.0807,0.0842,-2.6618,-1.214,0.3298,-0.8685,-0.0206,1.1332,0.4046,0.4024,0.9309,1.0626,-0.8437,3.5944,3.0349
2v00,-0.2089,0.7516,-2.7935,-0.7572,-0.7117,0.2137,-0.4144,-0.1992,0.5469,-0.2888,0.0622,-0.2094,0.1763,-0.9764,-0.6156,-0.7275,-0.9421,-0.9677
2v7a,1.1509,0.6980,1.8465,0.6496,0.7936,0.2412,0.0846,-0.9859,1.1376,-0.1279,-0.6052,0.7685,-1.0219,-1.0032,-0.5502,-0.1332,0.2255,-0.434
2vl4,-0.7536,0.1888,-0.4435,-1.0627,-1.2037,-1.3038,-1.214,0.6124,-1.2618,-0.5033,1.5241,-1.8398,1.6081,-0.6883,-0.0012,-1.217,0.2868,-0.1672
2vo5,1.2410,1.1605,-1.5635,-0.2316,-0.4411,-0.7779,-1.214,-0.2549,-0.1436,-0.0475,1.2263,-1.3956,1.0203,-0.6859,-0.1614,0.0909,0.2616,-0.1672
2vot,1.9635,0.9865,0.6865,0.0716,-0.3771,-0.1991,-0.6862,-0.4544,0.2355,0.8106,1.3416,-1.5409,0.3044,-0.7061,0.9067,-0.7113,0.5675,-0.1672
2vvn,0.6992,0.5672,0.8465,-0.4191,-0.9329,-0.5969,-0.9148,-0.2653,-1.2618,-0.3424,0.1084,-1.6796,1.5026,-0.712,-0.0247,-0.6395,0.2644,-0.1672
2vw5,0.5561,1.5939,2.0665,0.437,0.8692,1.3107,2.0269,0.7445,0.2054,0.0866,-0.2481,0.7752,-0.3813,0.5334,-0.2606,1.8925,0.5926,0.3665
2w66,-0.9008,0.9661,-2.4035,-0.5043,-0.8901,-1.5196,-1.214,0.936,-1.2618,-0.1279,0.8212,-0.0576,1.2087,-0.75,0.3321,-0.7545,0.6127,0.0996
2wbg,-0.0044,0.5965,-2.0035,-0.0413,-0.3692,-0.1927,-0.9357,-0.1338,-1.2618,1.0788,0.9824,-1.557,1.0882,0.0422,0.592,0.0213,0.252,0.0996
2wca,0.1638,0.5090,-0.8535,-0.3913,-0.1893,-0.1532,-0.1827,-0.1413,-0.3175,-0.691,0.2389,0.3225,-0.2683,0.1036,-0.1428,-0.2391,0.2644,0.6333
2weg,-0.0121,0.5889,0.0465,-1.2527,-1.1937,0.009,-0.6862,0.3968,-0.3245,-1.1469,-0.5937,0.3941,1.0505,-2.3802,-0.8297,-1.2831,-1.2932,-0.7009
2wtv,1.1377,1.0218,2.2865,0.6744,0.4153,1.26,0.6124,-0.8372,2.036,0.1403,-0.9929,1.2519,-1.3836,0.9359,-0.2733,0.3354,-0.3595,-0.7009
2x00,0.9450,1.5992,4.8765,0.7981,1.231,1.868,3.1764,-0.4297,-0.1867,-0.3961,-1.276,0.496,0.4627,-0.0144,-0.7199,2.6688,-0.398,-0.1672
2x0y,-0.7968,0.8005,-1.8535,-0.3793,-0.5691,-0.8186,-1.214,0.0167,-0.4135,-0.4765,-0.3136,0.1452,0.3044,-0.7115,-0.5106,-0.214,-0.3856,-0.1672
2x8z,0.2519,0.3746,1.5065,-0.9569,-1.0426,-0.3545,-0.6573,0.5157,-1.2618,-0.5838,0.0115,0.1508,1.2238,0.9694,0.0257,0.3822,-0.3846,-0.434
2xb8,0.0559,0.4696,1.1365,0.2719,-0.5519,-0.7438,-0.1649,-0.0003,-0.3325,0.462,1.2461,0.4159,0.2818,0.9595,0.5204,-0.6455,0.5462,0.6333
2xbv,1.5157,0.7347,1.9765,0.9874,0.6493,0.4789,0.1055,-0.6984,1.2974,1.8028,-0.8871,1.504,-1.0294,-1.2104,0.1557,0.0268,-0.341,-0.434
2xdl,0.1861,0.8792,-3.3535,-0.5032,-0.8434,0.4434,0.1762,0.5762,-0.5213,-0.691,-0.9416,0.2723,0.4702,0.494,-0.8256,0.2723,-0.388,-0.434
2xhm,1.6702,1.4064,0.3465,1.2173,0.8421,0.6073,0.585,0.2692,0.5969,1.3469,0.936,0.9596,-1.1425,0.5344,1.2457,0.7189,0.3119,0.9002
2xnb,1.2719,0.8696,0.3765,0.4139,0.1711,0.2759,0.4048,-0.7878,0.3556,-0.3424,-1.0272,0.0536,-0.2834,-1.0752,-0.4436,0.5701,-0.0606,-0.9677
2xys,0.9649,1.4023,0.9665,0.2139,0.1873,0.0072,-0.2063,-0.7977,0.0309,-0.4497,-0.9864,-0.9253,0.734,-0.9298,-0.6158,0.7255,-0.0877,-0.7009
2y5h,0.6883,0.5132,-0.6635,0.3274,0.4661,0.4351,-0.6862,-0.8251,-0.3756,0.5693,-1.1716,0.9704,0.4476,-0.1701,-0.4565,0.4804,-0.4465,-0.7009
