%Gaussian process regression with a Gaussian likelihood
%model: gpr, kernel: sum
Optimization success: True in 43 iterations, b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH'
%.kernel.kernels[0].variance: 1.6987664050046531
%.kernel.kernels[0].lengthscales: [0.26275007 0.18902306 0.45261416 0.81496066 0.27270384 0.34497881 0.85431058 0.40591977]
%.kernel.kernels[1].variance: 0.11380940522221586
%.likelihood.variance: 0.9049941630862828
%loglikelihood: -6872.570316075564
%RMSE:1.699
%Pearson_correlation_coefficient:0.663,P-value:0.000
%Spearman_correlation_coefficient:0.666,P-value:0.000
%%%%%%PREDICTIONS%%%%%
name,f_pred_mean,f_pred_var,y_true,vina_gauss2,BertzCT,MolLogP,PEOE_VSA7,BalabanJ,SMR_VSA7,as_flex_all,vina_hydrogen
1oyt,0.7571,1.4752,0.7865,0.6006,0.409,-0.3852,0.0846,-0.7528,0.9526,0.5693,-1.0965
1ps3,0.1887,1.1542,-4.1735,-0.5265,-1.0186,-1.4529,-1.214,-0.054,-1.2618,0.4084,1.6773
1q8u,0.4323,1.4381,-0.4935,-0.0782,-0.0562,0.1373,-0.1086,-0.2283,-0.1354,-0.8787,-1.276
1qi0,-2.2012,1.3207,-4.1035,-0.9622,-0.6237,-1.7996,-1.214,0.0167,-1.2618,-0.4229,0.4714
1r5y,-1.2135,1.4869,0.0065,-1.0255,-0.9467,-0.1098,-0.4223,-0.0749,-0.3716,-0.0475,1.0991
1sln,0.1282,1.7016,0.1865,0.4659,0.7301,-0.9819,0.691,0.2526,0.8007,0.5157,0.3784
1uto,-2.4355,0.4392,-4.1835,-1.436,-1.1944,0.0084,-0.971,0.3714,-0.1436,-1.1737,-0.8766
1w3k,-0.2244,0.7072,-2.1535,-0.237,-0.6567,-1.8615,-1.214,-0.0156,-1.2618,0.4889,2.0287
1w3l,-0.4388,1.7128,-0.1735,0.6733,0.0411,-2.5318,-1.214,-0.3483,-1.2618,2.6341,2.4626
1w4o,-1.0878,1.1020,-1.2335,-0.7145,-0.4945,-0.7093,-1.214,-0.0386,-0.2287,-0.557,0.6618
1xd0,-0.4061,1.7252,0.6665,2.043,1.7599,-3.7373,-0.9148,-0.7398,-1.2618,1.2397,2.1895
1yc1,0.5030,1.0715,-0.2835,0.519,-0.0686,0.4208,0.342,-0.6269,0.0344,0.4352,-0.6879
1z95,1.5808,1.4045,0.6665,0.7615,-0.0727,0.7505,0.9326,-0.0739,0.5899,-0.262,-0.6256
1zea,-0.8900,1.7432,-1.2335,1.0454,3.1498,-3.1182,0.3918,-0.176,0.2355,1.5347,0.0405
2cbj,0.1783,0.7017,1.8165,-0.2476,-0.3886,-0.3936,-0.461,-0.2048,-0.3175,-0.2352,0.6598
2fvd,0.6743,0.9720,2.0665,0.5896,0.1453,0.2985,-0.1295,-0.5329,0.0203,0.5693,-0.5026
2g70,-0.9009,0.9667,1.3165,-0.7128,-0.8608,-0.2676,-0.971,0.0031,-0.0313,-0.3156,-0.7178
2hb1,-1.7229,1.2117,-2.6535,-1.0227,-1.2539,-0.444,-0.5183,0.0178,-0.8022,-0.5033,-0.3225
2iwx,0.3288,1.2306,0.2265,0.0422,-0.2722,1.0741,-0.1007,0.1014,-0.1898,-0.557,-0.8227
2j62,2.7492,0.8811,4.8865,0.6544,0.0844,0.0945,-0.4144,-0.3152,0.4094,0.1671,0.7486
2jdm,-0.0359,0.4022,-1.0535,-1.2678,-1.1983,-0.6111,-0.9148,0.4658,-1.2618,-0.5838,1.5711
2jdu,-0.2100,0.8223,0.2665,-1.2774,-1.1983,-0.6111,-0.9148,0.4658,-1.2618,-0.5033,1.9375
2jdy,-0.0087,0.8232,-2.0835,-1.248,-1.1823,-0.9277,-1.214,0.4884,-1.2618,-0.2888,1.8445
2obf,1.1073,0.9390,2.3965,0.2297,-0.1669,0.2087,0.6124,-0.4448,0.565,0.4352,-0.5045
2ole,0.5374,0.9529,0.7965,0.0406,0.2131,0.7003,0.6557,-0.3532,0.9535,-0.4229,-0.6294
2p4y,1.4091,1.6138,2.5465,1.468,0.9707,1.6761,1.4748,-0.731,0.9468,-0.2352,-0.8862
2pcp,-0.8947,0.7359,2.2465,-0.3479,-0.4121,0.7613,0.1777,-0.1163,-0.1436,-0.5033,-1.0803
2qbp,1.9211,1.0586,1.9465,0.6878,0.716,0.5029,1.0522,-0.7446,0.9041,0.4084,-0.2402
2qbr,0.9212,0.7726,-0.1235,-0.0661,-0.0871,0.5663,0.4955,-0.5474,0.9041,-0.1279,-0.3638
2qmj,-1.6897,0.8846,-2.2435,0.8412,0.9594,-3.0916,-0.407,-0.557,-0.8985,0.5157,1.4632
2r23,-0.6990,1.3613,-2.7335,-0.0807,0.0842,-2.6618,-1.214,0.3298,-0.8685,-0.0206,1.1332
2v00,-0.7691,1.4201,-2.7935,-0.7572,-0.7117,0.2137,-0.4144,-0.1992,0.5469,-0.2888,0.0622
2v7a,1.6013,0.9608,1.8465,0.6496,0.7936,0.2412,0.0846,-0.9859,1.1376,-0.1279,-0.6052
2vl4,-1.3014,0.4295,-0.4435,-1.0627,-1.2037,-1.3038,-1.214,0.6124,-1.2618,-0.5033,1.5241
2vo5,-0.3911,1.2468,-1.5635,-0.2316,-0.4411,-0.7779,-1.214,-0.2549,-0.1436,-0.0475,1.2263
2vot,0.3739,1.5186,0.6865,0.0716,-0.3771,-0.1991,-0.6862,-0.4544,0.2355,0.8106,1.3416
2vvn,0.9411,0.8645,0.8465,-0.4191,-0.9329,-0.5969,-0.9148,-0.2653,-1.2618,-0.3424,0.1084
2vw5,0.9685,1.7067,2.0665,0.437,0.8692,1.3107,2.0269,0.7445,0.2054,0.0866,-0.2481
2w66,-1.5784,1.0771,-2.4035,-0.5043,-0.8901,-1.5196,-1.214,0.936,-1.2618,-0.1279,0.8212
2wbg,-0.6838,0.6823,-2.0035,-0.0413,-0.3692,-0.1927,-0.9357,-0.1338,-1.2618,1.0788,0.9824
2wca,-0.2623,1.1471,-0.8535,-0.3913,-0.1893,-0.1532,-0.1827,-0.1413,-0.3175,-0.691,0.2389
2weg,-0.2666,0.2764,0.0465,-1.2527,-1.1937,0.009,-0.6862,0.3968,-0.3245,-1.1469,-0.5937
2wtv,1.2212,1.4943,2.2865,0.6744,0.4153,1.26,0.6124,-0.8372,2.036,0.1403,-0.9929
2x00,1.5386,1.7217,4.8765,0.7981,1.231,1.868,3.1764,-0.4297,-0.1867,-0.3961,-1.276
2x0y,0.6728,0.9558,-1.8535,-0.3793,-0.5691,-0.8186,-1.214,0.0167,-0.4135,-0.4765,-0.3136
2x8z,-0.8433,0.5996,1.5065,-0.9569,-1.0426,-0.3545,-0.6573,0.5157,-1.2618,-0.5838,0.0115
2xb8,-0.0633,1.0476,1.1365,0.2719,-0.5519,-0.7438,-0.1649,-0.0003,-0.3325,0.462,1.2461
2xbv,0.8816,1.1614,1.9765,0.9874,0.6493,0.4789,0.1055,-0.6984,1.2974,1.8028,-0.8871
2xdl,-0.0913,1.2498,-3.3535,-0.5032,-0.8434,0.4434,0.1762,0.5762,-0.5213,-0.691,-0.9416
2xhm,1.5348,1.6676,0.3465,1.2173,0.8421,0.6073,0.585,0.2692,0.5969,1.3469,0.936
2xnb,1.5682,1.2289,0.3765,0.4139,0.1711,0.2759,0.4048,-0.7878,0.3556,-0.3424,-1.0272
2xys,0.6853,0.9197,0.9665,0.2139,0.1873,0.0072,-0.2063,-0.7977,0.0309,-0.4497,-0.9864
2y5h,0.9421,0.6569,-0.6635,0.3274,0.4661,0.4351,-0.6862,-0.8251,-0.3756,0.5693,-1.1716
2yfe,-0.3323,1.4861,0.1765,-0.2332,-0.1023,0.8055,0.9694,0.134,0.9303,-1.281,-0.9834
2yge,0.0646,0.7716,-1.3935,0.729,0.9818,0.6053,0.442,0.7164,0.5647,0.1403,-0.3744
2yki,1.3103,1.5257,3.0065,1.3028,0.9696,1.4041,0.5496,-1.0257,1.9203,0.8106,-0.1239
2ymd,-1.7434,0.9544,-3.2935,-0.8843,-0.8496,0.066,-0.1793,-0.0856,-0.3284,-0.6642,0.1362
2zjw,0.4120,1.0594,1.2465,-0.1003,-0.456,0.2677,-0.6862,-0.4595,-0.2327,-0.6642,-1.1221
2zwz,-1.1784,1.2377,1.3365,-1.0414,-1.0531,-1.4785,-0.9148,0.8306,-1.2618,-0.3961,1.3583
2zx6,1.4869,1.2113,4.1465,-0.0726,-0.054,-0.6779,-0.4079,-0.4836,-0.1395,0.328,1.3209
2zxd,-1.1927,1.2484,-1.2335,-1.0595,-1.0717,-0.8544,-1.214,0.8196,-1.2618,-0.7447,0.4411
3acw,-0.4605,1.1055,-1.6935,-0.0735,-0.2264,0.4332,-0.4851,-0.5937,0.6119,-1.281,-0.9834
3ag9,-0.4901,1.7489,1.5965,1.2528,3.4568,-2.7186,1.8477,-0.3569,-0.8678,0.6497,0.7118
3ao4,-0.8623,0.9538,-4.3835,-0.676,-0.7955,0.294,-0.4223,-0.5708,-0.5064,-0.3692,-0.6295
3b3s,-0.8028,0.4246,-3.9035,-1.415,-1.3079,-0.6319,-0.9566,2.372,-1.2618,-1.281,0.2137
3b3w,-1.1749,0.3477,-2.2635,-1.3489,-1.3079,-0.6319,-0.9566,2.372,-1.2618,-0.9592,0.1843
3b68,1.5992,1.5890,1.9465,1.1245,-0.0298,0.8925,0.6687,-0.1798,0.5503,0.5961,-0.6175
3bfu,-0.4705,0.8009,-0.1835,-0.9449,-1.1736,-1.1429,-1.214,0.2579,-0.7602,-0.0206,1.3003
3bkk,1.3361,1.7087,-0.3735,1.4041,0.7046,0.161,0.3564,-0.3942,2.0929,1.7224,1.0032
3bpc,-0.8171,1.6954,-1.6535,-0.3912,-0.0064,-1.6724,-0.3721,0.0324,-0.4993,0.3548,1.1546
3cft,-0.7339,0.9836,-2.2635,-0.923,-0.7888,0.2718,-0.6862,0.1154,-0.1286,-1.5491,-1.276
3cj2,-2.1126,0.9956,-1.6035,-1.0085,-0.6427,0.8336,0.3709,-0.0033,-0.3815,-1.4687,-0.8153
3coy,-0.2884,1.3182,-0.4335,0.9989,0.274,-1.0419,-1.214,-0.5571,-0.8678,0.9447,0.8561
3cyx,1.4626,0.2674,1.5465,2.0913,2.1809,0.3794,1.547,-0.6237,1.1676,1.2129,0.2308
3d4z,-0.1462,0.3137,-1.5635,-0.7276,-1.0165,-0.6958,-1.214,-0.0451,-0.6939,0.1134,1.4337
3dd0,0.4757,0.5322,2.5465,-0.8838,-0.7636,0.2769,-0.1231,-0.306,-0.6952,-0.7715,-0.7475
3dxg,-0.7070,0.5574,-4.0535,-0.701,-0.4945,-0.7093,-1.214,-0.0977,-0.2287,-0.4497,-0.6549
3e93,1.7082,1.6169,2.3965,1.4084,1.1678,1.1982,1.6615,-1.0115,1.1526,0.6497,-0.4935
3ebp,0.4211,1.4902,-0.5435,-0.2851,0.2233,0.4448,-0.6862,-0.4968,0.5218,0.1134,-1.276
3ehy,-0.1973,1.1426,-0.6035,-0.5712,-0.8202,-0.4103,0.1408,0.4267,-0.5064,-0.4229,-0.3038
3ejr,-0.1508,1.4043,2.1165,0.294,-0.0118,-0.1154,-0.4562,-0.3231,-0.1586,1.2933,1.9129
3f17,-0.3829,0.9844,2.1765,-0.1167,-0.4712,0.4563,-0.2002,-0.1625,0.5914,-0.2083,-0.724
3f3a,-1.8368,1.0532,-2.2635,-0.6129,-0.7671,-0.423,-0.7071,-0.0556,-0.1395,0.1939,0.2297
3f3c,-1.1592,0.6997,-0.4335,-0.684,-1.0911,-0.5284,-0.4432,0.4744,-0.1506,-0.1815,0.46
3f3e,-0.8096,0.6671,1.2465,-1.2816,-1.3079,-0.6319,-0.9566,2.372,-1.2618,-0.8519,0.5122
3f80,-0.9270,1.7021,-2.2335,-0.8314,-1.1949,-0.8165,-0.9357,2.2846,-0.9457,0.033,-0.5634
3fcq,-1.9349,1.0029,-3.6835,-0.979,-1.0623,-0.0493,-0.4079,0.4149,-0.3474,-0.5033,0.062
3fv1,1.0738,0.7354,2.8465,0.0911,-0.5826,-2.1899,-1.214,0.0922,-1.2618,1.0788,2.5171
3g0w,0.8783,1.3876,3.0665,0.2476,-0.4744,0.758,0.1344,-0.4409,-0.3793,-0.4229,-0.8233
3g2n,0.0411,1.0073,-2.3635,-0.0561,-0.6673,-0.6863,-0.6862,-0.1552,-0.1436,-0.0743,0.7195
3g2z,-2.1090,1.2268,-4.0935,-1.2624,-1.07,-0.0602,-0.202,-0.3232,-0.8946,-0.8519,-0.2604
3gbb,-0.7789,1.0011,0.4465,-0.3366,-0.7978,-1.3095,-0.6573,-0.058,-1.2618,0.5157,1.1803
3gcs,2.1349,1.2264,0.7965,0.8741,0.1163,1.5731,0.8972,-0.6934,1.1398,0.4889,-0.1413
3ge7,-0.2993,1.5618,2.2465,0.2272,0.4317,-0.528,-0.3934,-0.5997,-0.3998,1.4006,0.7278
3gnw,1.9866,1.6848,2.6465,1.4307,1.6114,1.9225,1.4265,-0.7831,2.5993,1.2129,-0.331
3gy4,-1.6777,0.7587,-1.3535,-1.2108,-1.2037,-0.527,-0.1584,0.4026,-0.3325,-0.9056,-1.1511
3huc,0.5691,1.1554,-0.4635,-0.1542,0.1416,1.0612,-0.158,-0.6585,1.0242,-0.1815,-1.276
3imc,-2.3454,0.5520,-3.4935,-1.0586,-1.0342,0.5338,-0.1584,-0.1958,-0.3134,-1.2005,-1.0829
3ivg,1.1574,0.8159,-2.1535,0.7186,0.3726,0.3638,0.1055,-0.7157,0.616,0.3548,-0.6634
3jvs,-0.2756,1.6186,0.0865,-0.434,0.2853,1.2534,-0.2145,-0.5803,1.2908,0.1403,-0.6387
3k5v,0.4830,0.9737,-0.1535,0.1281,-0.1967,1.0601,0.3694,-0.572,0.8089,-0.6642,-1.276
3kgp,-2.4069,0.7656,-3.8835,-1.1807,-1.1876,-0.5089,-0.971,0.4101,-0.1586,-1.1201,-0.935
3kv2,-2.2570,1.0317,0.8665,-0.8575,-1.2322,-1.3598,-1.214,2.0682,-1.2618,-0.0206,1.2964
3kwa,-1.4634,1.6768,-2.3735,-0.9461,-0.7574,-1.3206,-1.214,2.846,-1.2618,-0.8251,-0.4219
3l3n,-0.3856,0.8226,1.7265,1.2831,0.9671,-0.7404,0.3709,-0.2824,0.9787,0.6766,0.7487
3l4u,-0.8147,1.4778,1.0665,-0.2404,-0.5981,-1.6315,-1.214,0.9196,-1.2618,-0.1279,0.7581
3l4w,-0.5385,0.5003,-0.4535,-0.7874,-1.0086,-1.5784,-1.214,0.8908,-1.2618,-0.3424,0.6103
3l7b,-0.3676,1.2540,-4.0535,-0.2351,-0.7305,-0.8222,-0.9501,-0.0763,-0.5523,0.0598,0.423
3lka,-0.1079,0.5451,-3.6335,-1.0213,-1.0976,-0.0312,-0.1584,0.3347,-0.5064,-1.1201,-0.8281
3mfv,-0.9960,1.0301,-3.9335,-0.7766,-1.053,-0.9732,-0.9357,0.3622,-0.8909,0.033,0.5829
3mss,-0.7282,1.3574,-1.7935,-0.8897,-0.3497,0.2221,-0.2002,-0.215,0.7858,-1.2005,-1.276
3myg,0.2188,1.0048,4.2465,0.1197,0.4694,0.419,0.4867,-0.6834,0.0548,-0.0743,-0.3258
3n7a,-1.0439,1.0675,-2.7535,-0.9898,-1.2429,-1.0151,-0.9497,0.4932,-0.8835,-0.7983,1.5591
3n86,0.3284,1.6408,-0.8135,0.5362,-0.4336,-0.4639,0.0999,-0.1235,0.0459,0.8375,1.7494
3nox,0.5344,0.9416,2.2065,-0.1812,0.0974,0.549,-0.1231,-0.5942,0.3415,-0.2888,-0.4243
3nq3,-0.3656,1.2790,-2.6735,-1.3285,-1.0355,0.4416,-0.6573,2.4716,-1.2618,-1.6028,-1.276
3nw9,1.4754,1.6931,2.5465,1.4307,0.8478,0.4664,0.6268,-0.9591,1.1775,1.8833,1.3838
3oe5,0.7077,1.7028,0.4265,0.7767,0.0488,0.1486,-0.6862,-0.6158,0.7479,1.4274,1.6104
3ov1,-0.6127,1.1131,-1.2535,-0.043,0.3606,-0.5755,0.1134,-0.0087,-0.3325,0.4889,1.7908
3owj,-0.7249,1.1891,-0.3835,-0.5312,-0.0765,0.937,1.1613,-0.3577,0.358,-1.2542,-1.1267
3ozt,0.4146,1.7089,-2.3235,0.7366,0.1316,-0.2066,-1.214,-0.5584,1.0675,1.4542,1.6359
3pe2,1.0383,0.7764,3.3065,0.0495,0.032,0.5615,0.0846,-0.63,0.798,0.1134,-1.0318
3pww,2.2620,0.6737,0.8665,1.8734,2.1809,0.3794,1.547,-0.6237,1.1676,1.5078,0.5458
3pxf,-1.0845,1.5867,-2.0235,-1.1766,-0.287,0.9378,0.0768,-0.3358,0.8157,-1.6832,-1.276
3s8o,-0.1145,0.9337,0.3965,0.088,0.6643,-0.2149,0.1134,0.2683,-0.3325,0.8106,1.8107
3su2,0.4609,0.4936,0.8965,1.2127,2.0791,0.9821,1.6177,-0.8502,0.2508,1.776,-0.0499
3su3,0.9113,0.8139,2.6765,1.2833,2.4597,1.2135,1.4294,-0.7733,-0.1354,1.8564,-0.1474
3su5,0.4991,0.6965,-0.8735,1.1822,2.4597,1.2135,1.4294,-0.7733,-0.1354,1.3469,-0.1151
3u9q,-0.3730,1.1505,-2.0735,-1.1726,-1.0355,0.4416,-0.6573,2.4716,-1.2618,-1.3346,-0.3029
3udh,-1.1924,0.8083,-3.6035,-1.005,-0.8648,-0.1849,-0.7071,-0.3728,-0.3325,-0.9324,-0.2605
3ueu,-0.4210,1.4628,-1.2135,-1.1876,-0.8549,0.682,-0.6573,2.6706,-1.2618,-1.8441,-1.276
3uex,-0.0175,1.1582,0.4665,-0.7477,-0.2815,1.4031,-0.6573,3.0537,-1.2618,-1.5759,-1.2282
3uo4,0.9652,1.5905,0.0665,0.1629,0.2159,1.0939,0.3276,-0.7591,1.7492,-0.1011,-0.0697
3uri,0.7071,1.7251,2.5465,2.4234,3.2757,-1.5883,0.6616,-0.4395,0.9923,1.0252,0.2602
3utu,1.1526,1.7092,4.4665,1.2749,1.6478,-0.0303,1.676,-0.6358,1.6683,1.481,-0.7968
3vh9,-1.9305,1.2104,-0.2135,-1.1442,-1.0879,0.4611,-0.6862,-0.0603,-0.1245,-0.8519,0.0827
3zso,1.0444,1.7057,-1.3335,0.5444,1.4224,0.8142,1.3836,-0.7437,2.819,0.7838,-0.0325
3zsx,-0.0213,1.7016,-3.1735,-0.0368,0.6778,0.3192,0.085,-0.626,2.0785,-0.4497,0.2859
4de1,0.0923,1.0076,-0.4935,-0.2029,-0.2079,0.478,0.5609,-0.8125,0.4271,0.328,0.6488
4de2,1.4232,0.8348,-2.3335,-0.1454,-0.1059,0.0985,0.0693,-0.5469,0.5969,0.2475,0.3593
4des,-0.3004,1.1328,-0.6035,-0.3419,-0.5203,0.7479,-1.214,-0.4064,0.5687,-0.7983,-1.276
4dew,-0.2531,0.2621,0.5465,-0.4522,-0.4526,0.5665,-0.4223,-0.4169,0.1909,-0.7178,-1.0902
4djr,4.2660,0.6198,5.0665,1.4386,1.2748,0.8831,0.6348,-0.5368,0.5945,1.1056,0.483
4djv,0.7661,1.2490,0.2665,0.1585,0.2762,0.4125,0.0637,-0.5248,1.5412,0.0866,-0.9153
4g8m,-0.4412,0.8051,1.4365,-0.9962,-1.1911,-1.3313,-0.6573,0.4489,-1.2618,0.0598,1.584
4gid,2.0545,1.5281,4.3165,2.4282,1.9497,0.4793,1.1979,-0.0891,1.889,2.5805,0.8818
4gqq,-2.7794,0.9957,-3.5635,-1.4072,-0.9503,0.3791,0.1204,0.2207,-0.3322,-1.281,-0.6908
1c5z,-2.2229,0.0876,-2.4435,-1.3742,-1.2488,-0.3983,-0.6862,0.3726,-0.1436,-1.1737,-1.276
1eby,2.5484,1.1057,3.2465,2.2029,1.6583,0.6113,0.2439,-0.8835,3.1812,1.2129,1.0484
1g2k,1.9556,1.5077,1.5065,1.7009,1.6816,0.8571,0.8554,-0.5974,2.8483,0.9983,0.841
1gpn,-0.0276,0.6361,0.0265,-0.145,-0.2706,0.1917,0.4416,-0.3782,0.1548,-0.3961,-0.9296
1h22,1.7158,1.5551,2.6465,1.145,1.049,0.7154,1.5405,-0.7738,0.8446,1.0788,-0.468
1k1i,0.6509,1.3205,0.1265,0.1774,1.0072,-0.3448,1.6684,-0.5391,1.1635,0.0062,-0.3317
1lpg,1.3734,1.7270,0.6365,0.8923,1.5978,1.0524,1.6262,-0.7911,2.8225,2.0173,-1.276
1nc3,0.3604,1.2981,-1.4535,-0.1165,-0.6729,-0.7255,-1.214,-0.5051,-0.8868,0.4352,1.2311
1owh,0.0446,1.2348,0.9465,-0.3556,0.0148,-0.0448,0.8399,-0.5376,1.1485,-0.4229,-0.9378
1p1n,-0.7662,0.6493,0.3465,-0.6413,-0.9473,-1.1749,-0.6364,0.8638,-0.8835,-0.1011,0.8136
1pxn,1.6187,0.8495,0.6965,-0.0747,-0.3978,0.9106,0.4048,-0.6093,0.0534,-0.7983,-0.8984
1qf1,-0.4446,1.5688,0.8665,0.1343,-0.1037,0.1243,-0.3934,0.8559,-0.1436,0.1671,0.9511
1qkt,1.0351,1.5067,2.5865,-0.3263,-0.2728,0.9753,2.4785,-0.4281,-0.3474,-1.6296,-0.8025
1s38,-1.0287,1.0245,-1.3035,-0.9184,-0.9083,0.114,-0.4079,-0.0106,-0.1977,-0.5033,0.3832
1syi,-0.5094,1.5210,-1.0135,-0.4561,-0.6758,-1.2503,-0.379,0.024,-0.2586,0.6229,1.7604
1y6r,1.2030,0.7110,3.6565,-0.0615,-0.4523,-0.5645,-0.9439,-0.389,-0.698,0.3548,0.5241
1ydr,-0.3380,0.9892,-0.9335,-0.2295,-0.2523,-0.0779,-0.387,-0.3291,-0.1205,-0.8787,-1.1655
1z6e,1.4992,1.1462,3.2665,0.9187,0.8144,0.7371,0.1055,-0.929,1.166,1.0788,-0.4188
1z9g,-1.0557,0.4673,-0.8135,-0.7978,-0.838,-0.2034,-0.6927,0.5465,-0.1436,-1.0128,-0.1838
2al5,0.1619,0.7598,1.9465,-0.5599,-0.9495,-1.358,-1.214,0.5279,-0.2357,0.6229,1.7745
2br1,1.6828,0.9461,-1.3135,0.286,0.2344,1.0889,0.6124,-0.5965,0.4461,-0.0475,-1.276
2c3i,-0.5561,1.2272,1.1465,-0.1742,-0.092,0.9172,0.691,-0.7604,0.2382,-1.1201,-1.276
2cbv,-0.6614,1.4397,-0.9735,-0.9397,-1.1157,-1.216,-1.214,0.0156,-1.2618,-0.2888,1.8713
2fxs,0.6117,1.3997,-0.3935,0.1135,-0.1912,0.6424,-0.6927,-0.1671,-0.1904,0.5961,-0.9752
2j7h,-1.4083,0.5935,0.7365,-1.224,-1.2229,-1.6389,-1.214,0.5796,-1.2618,-0.4497,1.1816
2p15,1.7886,1.6896,3.8465,0.8739,0.5949,1.9311,2.7489,-0.6192,0.945,-0.6642,-0.7529
2pog,0.3755,1.4900,3.0865,-0.193,-0.3269,1.1312,0.8987,-0.5529,0.408,-1.4687,-0.3477
2qbq,0.6819,1.5436,0.9865,0.2455,0.1984,0.9991,1.5605,-0.2813,-0.2141,0.462,-0.3146
2qe4,0.2475,1.1633,1.5065,-0.0728,-0.1119,1.1763,0.8987,-0.5264,0.3931,-1.2273,-0.8314
2qnq,0.7107,1.0984,-0.3435,1.4689,1.2277,1.2157,0.3276,-0.5933,2.7996,0.328,-0.0263
2r9w,-0.3743,1.2125,-1.3535,-0.0892,0.1164,-0.0873,0.5486,-0.6872,1.3224,-0.2083,0.0668
2vkm,2.1364,1.6748,2.2865,2.2491,1.9909,0.8022,1.1691,-0.4934,2.8184,2.6609,0.5911
2w4x,-0.7360,1.0987,-1.6035,-0.6382,-0.957,-1.0274,-1.214,0.5545,-1.1085,-0.7983,0.2656
2wer,1.3761,0.4667,0.5965,-0.0218,-0.2674,0.6926,-0.6504,-0.3765,0.1885,-0.557,-0.8895
2wn9,0.3857,0.7483,2.0665,-0.632,-0.2617,0.93,0.906,-0.3624,0.5904,-0.7983,-0.6991
2wnc,0.2169,1.3532,-0.1335,-0.3263,-0.2026,0.3355,-0.9501,-0.7274,-0.1395,-0.4229,-1.114
2wvt,-0.6096,0.7433,-0.3335,-1.026,-1.1455,-1.5639,-1.214,0.7852,-1.2618,-0.4229,0.6016
2xii,0.8249,1.4139,0.7465,0.1221,0.1758,-0.4311,-0.1649,-0.7102,0.5819,0.6766,0.4678
2xj7,-1.3716,1.0230,0.2065,-0.5296,-0.8144,-1.2938,-1.214,0.0549,-1.2618,-0.3961,0.3776
2zb1,0.9924,1.5325,-0.1335,0.2606,0.0638,1.145,1.6839,-0.7817,0.5922,-0.691,-0.5192
2zda,0.2962,1.5516,1.9465,0.4204,0.3418,-0.5646,0.3564,-0.4717,0.9597,0.6497,-0.5781
2zy1,0.7753,1.2040,0.9465,0.2314,-0.1107,0.9668,0.6413,-0.2294,0.6119,-0.3156,-0.2552
3arp,1.1937,1.6979,0.6965,0.8772,1.2257,1.7891,0.4131,-0.7116,1.172,1.4274,-1.276
3arq,0.4250,1.5123,-0.0535,0.335,0.6956,-0.0432,-0.6155,-0.6987,0.537,0.8911,-0.909
3aru,-0.3378,1.4732,-3.2335,-0.7307,-0.3224,-0.0773,-0.3581,-0.0394,-0.4135,-0.4497,-1.107
3arv,-0.0655,1.3931,-0.8135,-0.4406,-0.0191,1.0692,0.3198,-0.865,0.0453,0.4084,-1.1975
3ary,-0.6548,1.4180,-0.4535,-0.9578,-0.7061,0.6387,0.3752,-0.5564,-0.3263,-0.1011,-1.276
3b1m,1.0356,1.5910,2.0265,1.1028,0.9895,1.2695,0.6193,-0.7721,1.4792,-0.3692,-1.1928
3b27,-1.0575,0.5549,-1.2935,-0.6551,-0.9349,0.6323,-0.4161,-0.2936,-0.3494,-0.3692,-1.0044
3b5r,1.5436,1.4407,2.3165,0.6886,-0.2876,1.1382,0.4048,-0.1848,0.558,-0.1011,-0.471
3b65,1.2791,1.6874,2.8165,0.3893,-0.331,0.7269,1.9192,-0.2263,0.5196,-0.1279,-0.7894
3bgz,-0.1450,1.5027,-0.1935,-0.1162,-0.035,1.0542,-0.7281,-0.4744,1.3673,-0.9056,-1.0727
3bv9,0.3723,1.7088,-1.0935,1.0478,1.8457,-0.956,1.5409,-0.5472,0.2236,0.4352,-0.5138
3cj4,0.3084,1.4638,0.0565,-0.6088,-0.2413,0.4905,0.6492,0.0111,-0.3815,-0.7983,-0.3873
3coz,-0.5161,1.5615,-0.8835,0.8567,0.1974,-1.1621,-1.214,-0.5895,-0.8678,0.5693,0.7888
3d6q,-1.9412,0.8583,-2.6935,-0.7729,-0.2417,-0.9918,-0.379,-0.4015,-0.2287,-0.557,-0.7116
3dx1,0.0772,0.7904,-2.8735,-1.2334,-1.3093,-1.0354,-1.214,0.4707,-1.2618,-0.3961,1.9831
3dx2,-0.3766,1.1271,0.3665,-0.8459,-1.1372,-1.2335,-1.214,0.6715,-1.2618,-0.0743,2.3833
3e5a,1.2139,1.4172,1.7765,0.4577,0.5964,0.506,1.2112,-0.9199,0.0493,0.2207,-0.6061
3e92,1.2617,1.6223,1.5465,0.2821,0.0879,1.1638,1.9687,-0.6803,0.5772,-0.0206,-0.011
3f3d,-2.1559,0.5148,0.7065,-1.2808,-1.3523,-0.7221,-0.6948,1.8317,-1.2618,-0.8519,0.3796
3fur,1.2303,1.6396,1.5465,0.4479,0.2431,2.156,0.6333,-0.8456,1.4478,-0.0206,-0.8531
3fv2,0.2314,1.4721,1.6565,0.016,-0.7517,-1.9437,-1.214,-0.0246,-1.2618,0.6497,2.3163
3g31,-1.3155,1.7110,-3.5635,-1.6096,-0.8372,-0.3968,0.4351,-0.4586,-1.2618,-2.0586,-1.276
