%Gaussian process regression with a Gaussian likelihood
%model: gpr, kernel: sum
Optimization success: True in 32 iterations, b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH'
%.kernel.kernels[0].variance: 1.3488046205793602
%.kernel.kernels[0].lengthscales: [0.36733917 0.11090464 0.21809767 0.57451728 0.04795648]
%.kernel.kernels[1].variance: 0.26898235759388167
%.likelihood.variance: 1.2609880308959942
%loglikelihood: -6968.3440881253755
%RMSE:1.707
%Pearson_correlation_coefficient:0.664,P-value:0.000
%Spearman_correlation_coefficient:0.658,P-value:0.000
%%%%%%PREDICTIONS%%%%%
name,f_pred_mean,f_pred_var,y_true,vina_gauss2,BertzCT,MolLogP,PEOE_VSA7,BalabanJ
3cj2,-0.1106,1.1410,-1.6035,-1.0085,-0.6427,0.8336,0.3709,-0.0033
3coy,0.1792,1.2799,-0.4335,0.9989,0.274,-1.0419,-1.214,-0.5571
3cyx,1.6191,0.1921,1.5465,2.0913,2.1809,0.3794,1.547,-0.6237
3d4z,-0.6998,0.1830,-1.5635,-0.7276,-1.0165,-0.6958,-1.214,-0.0451
3dd0,-0.2067,0.4235,2.5465,-0.8838,-0.7636,0.2769,-0.1231,-0.306
3dxg,-1.1816,0.5863,-4.0535,-0.701,-0.4945,-0.7093,-1.214,-0.0977
3e93,1.9774,1.0627,2.3965,1.4084,1.1678,1.1982,1.6615,-1.0115
3ebp,-0.4988,1.0661,-0.5435,-0.2851,0.2233,0.4448,-0.6862,-0.4968
3ehy,-0.0200,1.1970,-0.6035,-0.5712,-0.8202,-0.4103,0.1408,0.4267
3ejr,1.7997,0.9656,2.1165,0.294,-0.0118,-0.1154,-0.4562,-0.3231
3f17,-0.7735,0.9596,2.1765,-0.1167,-0.4712,0.4563,-0.2002,-0.1625
3f3a,-1.3032,0.4097,-2.2635,-0.6129,-0.7671,-0.423,-0.7071,-0.0556
3f3c,-1.8096,0.6212,-0.4335,-0.684,-1.0911,-0.5284,-0.4432,0.4744
3f3e,-0.1843,0.5491,1.2465,-1.2816,-1.3079,-0.6319,-0.9566,2.372
3f80,-0.8818,1.2815,-2.2335,-0.8314,-1.1949,-0.8165,-0.9357,2.2846
3fcq,-1.1160,0.8668,-3.6835,-0.979,-1.0623,-0.0493,-0.4079,0.4149
3fv1,0.7270,0.6139,2.8465,0.0911,-0.5826,-2.1899,-1.214,0.0922
3g0w,0.4128,1.2188,3.0665,0.2476,-0.4744,0.758,0.1344,-0.4409
3g2n,-0.2606,1.0750,-2.3635,-0.0561,-0.6673,-0.6863,-0.6862,-0.1552
3g2z,-2.3899,1.1357,-4.0935,-1.2624,-1.07,-0.0602,-0.202,-0.3232
3gbb,-0.8948,1.1070,0.4465,-0.3366,-0.7978,-1.3095,-0.6573,-0.058
3gcs,2.0613,0.8263,0.7965,0.8741,0.1163,1.5731,0.8972,-0.6934
3ge7,0.3949,1.0687,2.2465,0.2272,0.4317,-0.528,-0.3934,-0.5997
3gnw,1.8795,1.3543,2.6465,1.4307,1.6114,1.9225,1.4265,-0.7831
3gy4,-1.9359,0.9703,-1.3535,-1.2108,-1.2037,-0.527,-0.1584,0.4026
3huc,-0.0065,1.0520,-0.4635,-0.1542,0.1416,1.0612,-0.158,-0.6585
3imc,-2.2738,0.8442,-3.4935,-1.0586,-1.0342,0.5338,-0.1584,-0.1958
3ivg,0.0040,0.9326,-2.1535,0.7186,0.3726,0.3638,0.1055,-0.7157
3jvs,-0.6946,1.2884,0.0865,-0.434,0.2853,1.2534,-0.2145,-0.5803
3k5v,0.5981,0.7253,-0.1535,0.1281,-0.1967,1.0601,0.3694,-0.572
3kgp,-1.5583,0.6419,-3.8835,-1.1807,-1.1876,-0.5089,-0.971,0.4101
3kv2,-1.6771,1.2888,0.8665,-0.8575,-1.2322,-1.3598,-1.214,2.0682
3kwa,-1.6570,1.3368,-2.3735,-0.9461,-0.7574,-1.3206,-1.214,2.846
3l3n,-0.3843,0.6918,1.7265,1.2831,0.9671,-0.7404,0.3709,-0.2824
3l4u,-0.6512,1.2854,1.0665,-0.2404,-0.5981,-1.6315,-1.214,0.9196
3l4w,-1.0588,0.6601,-0.4535,-0.7874,-1.0086,-1.5784,-1.214,0.8908
3l7b,0.3432,0.6747,-4.0535,-0.2351,-0.7305,-0.8222,-0.9501,-0.0763
3lka,-0.3463,0.6836,-3.6335,-1.0213,-1.0976,-0.0312,-0.1584,0.3347
3mfv,-0.8952,0.9926,-3.9335,-0.7766,-1.053,-0.9732,-0.9357,0.3622
3mss,0.2629,0.9108,-1.7935,-0.8897,-0.3497,0.2221,-0.2002,-0.215
3myg,-1.2887,0.8220,4.2465,0.1197,0.4694,0.419,0.4867,-0.6834
3n7a,-1.9519,0.5420,-2.7535,-0.9898,-1.2429,-1.0151,-0.9497,0.4932
3n86,0.9049,1.2940,-0.8135,0.5362,-0.4336,-0.4639,0.0999,-0.1235
3nox,0.3354,0.6239,2.2065,-0.1812,0.0974,0.549,-0.1231,-0.5942
3nq3,-1.0245,1.3246,-2.6735,-1.3285,-1.0355,0.4416,-0.6573,2.4716
3nw9,1.6420,1.3022,2.5465,1.4307,0.8478,0.4664,0.6268,-0.9591
3oe5,0.8426,0.6750,0.4265,0.7767,0.0488,0.1486,-0.6862,-0.6158
3ov1,-0.3859,1.3455,-1.2535,-0.043,0.3606,-0.5755,0.1134,-0.0087
3owj,-0.1270,1.1082,-0.3835,-0.5312,-0.0765,0.937,1.1613,-0.3577
3ozt,-0.6775,0.9303,-2.3235,0.7366,0.1316,-0.2066,-1.214,-0.5584
3pe2,0.1249,0.5184,3.3065,0.0495,0.032,0.5615,0.0846,-0.63
3pww,1.9722,0.1790,0.8665,1.8734,2.1809,0.3794,1.547,-0.6237
3pxf,-1.5860,0.9088,-2.0235,-1.1766,-0.287,0.9378,0.0768,-0.3358
3s8o,-0.2085,1.3283,0.3965,0.088,0.6643,-0.2149,0.1134,0.2683
3su2,0.5582,0.4402,0.8965,1.2127,2.0791,0.9821,1.6177,-0.8502
3su3,0.6111,0.8733,2.6765,1.2833,2.4597,1.2135,1.4294,-0.7733
3su5,0.4730,0.7310,-0.8735,1.1822,2.4597,1.2135,1.4294,-0.7733
3u9q,-0.8977,1.3317,-2.0735,-1.1726,-1.0355,0.4416,-0.6573,2.4716
3udh,-2.3768,1.0272,-3.6035,-1.005,-0.8648,-0.1849,-0.7071,-0.3728
3ueu,-0.7422,0.7762,-1.2135,-1.1876,-0.8549,0.682,-0.6573,2.6706
3uex,0.1381,0.6266,0.4665,-0.7477,-0.2815,1.4031,-0.6573,3.0537
3uo4,0.9601,0.7391,0.0665,0.1629,0.2159,1.0939,0.3276,-0.7591
3uri,0.9136,1.3671,2.5465,2.4234,3.2757,-1.5883,0.6616,-0.4395
3utu,1.0929,1.3515,4.4665,1.2749,1.6478,-0.0303,1.676,-0.6358
3vh9,-3.0561,0.6014,-0.2135,-1.1442,-1.0879,0.4611,-0.6862,-0.0603
3zso,0.7112,1.3427,-1.3335,0.5444,1.4224,0.8142,1.3836,-0.7437
3zsx,-0.5251,1.0084,-3.1735,-0.0368,0.6778,0.3192,0.085,-0.626
4de1,-0.0040,1.0292,-0.4935,-0.2029,-0.2079,0.478,0.5609,-0.8125
4de2,0.8886,0.7924,-2.3335,-0.1454,-0.1059,0.0985,0.0693,-0.5469
4des,-0.6128,0.9078,-0.6035,-0.3419,-0.5203,0.7479,-1.214,-0.4064
4dew,-0.6194,0.2411,0.5465,-0.4522,-0.4526,0.5665,-0.4223,-0.4169
4djr,3.1114,0.6871,5.0665,1.4386,1.2748,0.8831,0.6348,-0.5368
4djv,0.9883,0.9097,0.2665,0.1585,0.2762,0.4125,0.0637,-0.5248
4g8m,-0.2103,0.6374,1.4365,-0.9962,-1.1911,-1.3313,-0.6573,0.4489
4gid,1.9205,1.2201,4.3165,2.4282,1.9497,0.4793,1.1979,-0.0891
4gqq,-1.0369,1.3347,-3.5635,-1.4072,-0.9503,0.3791,0.1204,0.2207
1c5z,-2.2283,0.0891,-2.4435,-1.3742,-1.2488,-0.3983,-0.6862,0.3726
1eby,1.8282,1.0959,3.2465,2.2029,1.6583,0.6113,0.2439,-0.8835
1g2k,2.2493,1.0315,1.5065,1.7009,1.6816,0.8571,0.8554,-0.5974
1gpn,-0.6854,0.6262,0.0265,-0.145,-0.2706,0.1917,0.4416,-0.3782
1h22,1.5850,1.3175,2.6465,1.145,1.049,0.7154,1.5405,-0.7738
1k1i,0.3804,1.3117,0.1265,0.1774,1.0072,-0.3448,1.6684,-0.5391
1lpg,1.3079,1.3211,0.6365,0.8923,1.5978,1.0524,1.6262,-0.7911
1nc3,-1.3278,0.2590,-1.4535,-0.1165,-0.6729,-0.7255,-1.214,-0.5051
1owh,0.0529,0.9608,0.9465,-0.3556,0.0148,-0.0448,0.8399,-0.5376
1p1n,0.4326,0.2512,0.3465,-0.6413,-0.9473,-1.1749,-0.6364,0.8638
1pxn,0.1358,0.8633,0.6965,-0.0747,-0.3978,0.9106,0.4048,-0.6093
1qf1,0.0469,1.3505,0.8665,0.1343,-0.1037,0.1243,-0.3934,0.8559
1qkt,1.8642,0.4632,2.5865,-0.3263,-0.2728,0.9753,2.4785,-0.4281
1s38,-0.7105,0.8419,-1.3035,-0.9184,-0.9083,0.114,-0.4079,-0.0106
1syi,-0.8179,1.2787,-1.0135,-0.4561,-0.6758,-1.2503,-0.379,0.024
1y6r,1.9727,0.4516,3.6565,-0.0615,-0.4523,-0.5645,-0.9439,-0.389
1ydr,-0.6911,0.7771,-0.9335,-0.2295,-0.2523,-0.0779,-0.387,-0.3291
1z6e,1.2961,1.2354,3.2665,0.9187,0.8144,0.7371,0.1055,-0.929
1z9g,0.1198,0.4932,-0.8135,-0.7978,-0.838,-0.2034,-0.6927,0.5465
2al5,-0.8589,0.5700,1.9465,-0.5599,-0.9495,-1.358,-1.214,0.5279
2br1,0.7053,0.7967,-1.3135,0.286,0.2344,1.0889,0.6124,-0.5965
2c3i,0.1394,1.0189,1.1465,-0.1742,-0.092,0.9172,0.691,-0.7604
2cbv,-2.6110,0.5690,-0.9735,-0.9397,-1.1157,-1.216,-1.214,0.0156
2fxs,-0.4611,1.1934,-0.3935,0.1135,-0.1912,0.6424,-0.6927,-0.1671
2j7h,-1.1788,0.6271,0.7365,-1.224,-1.2229,-1.6389,-1.214,0.5796
2p15,1.9745,1.3608,3.8465,0.8739,0.5949,1.9311,2.7489,-0.6192
2pog,0.2119,0.9203,3.0865,-0.193,-0.3269,1.1312,0.8987,-0.5529
2qbq,0.5897,1.1775,0.9865,0.2455,0.1984,0.9991,1.5605,-0.2813
2qe4,0.0088,1.0556,1.5065,-0.0728,-0.1119,1.1763,0.8987,-0.5264
2qnq,1.5384,0.9842,-0.3435,1.4689,1.2277,1.2157,0.3276,-0.5933
2r9w,0.2472,1.1157,-1.3535,-0.0892,0.1164,-0.0873,0.5486,-0.6872
2vkm,2.1343,1.3160,2.2865,2.2491,1.9909,0.8022,1.1691,-0.4934
2w4x,-1.1824,0.5661,-1.6035,-0.6382,-0.957,-1.0274,-1.214,0.5545
2wer,1.2406,0.4368,0.5965,-0.0218,-0.2674,0.6926,-0.6504,-0.3765
2wn9,-0.5153,1.0859,2.0665,-0.632,-0.2617,0.93,0.906,-0.3624
2wnc,0.0374,1.2998,-0.1335,-0.3263,-0.2026,0.3355,-0.9501,-0.7274
2wvt,-1.3457,1.3273,-0.3335,-1.026,-1.1455,-1.5639,-1.214,0.7852
2xii,0.0895,1.2942,0.7465,0.1221,0.1758,-0.4311,-0.1649,-0.7102
2xj7,-1.1027,0.6189,0.2065,-0.5296,-0.8144,-1.2938,-1.214,0.0549
2zb1,1.1677,1.3096,-0.1335,0.2606,0.0638,1.145,1.6839,-0.7817
2zda,-0.3005,1.2007,1.9465,0.4204,0.3418,-0.5646,0.3564,-0.4717
2zy1,0.3841,1.2110,0.9465,0.2314,-0.1107,0.9668,0.6413,-0.2294
3arp,1.1077,1.3541,0.6965,0.8772,1.2257,1.7891,0.4131,-0.7116
3arq,0.3712,1.1664,-0.0535,0.335,0.6956,-0.0432,-0.6155,-0.6987
3aru,-0.3048,1.2814,-3.2335,-0.7307,-0.3224,-0.0773,-0.3581,-0.0394
3arv,0.0899,1.2499,-0.8135,-0.4406,-0.0191,1.0692,0.3198,-0.865
3ary,-1.5798,0.9983,-0.4535,-0.9578,-0.7061,0.6387,0.3752,-0.5564
3b1m,1.4326,1.2646,2.0265,1.1028,0.9895,1.2695,0.6193,-0.7721
3b27,-1.0805,0.6615,-1.2935,-0.6551,-0.9349,0.6323,-0.4161,-0.2936
3b5r,1.4201,1.2654,2.3165,0.6886,-0.2876,1.1382,0.4048,-0.1848
3b65,1.2396,1.3587,2.8165,0.3893,-0.331,0.7269,1.9192,-0.2263
3bgz,0.1076,1.0298,-0.1935,-0.1162,-0.035,1.0542,-0.7281,-0.4744
3bv9,0.4828,1.3577,-1.0935,1.0478,1.8457,-0.956,1.5409,-0.5472
3cj4,-0.1879,1.3245,0.0565,-0.6088,-0.2413,0.4905,0.6492,0.0111
3coz,0.1066,1.3279,-0.8835,0.8567,0.1974,-1.1621,-1.214,-0.5895
3d6q,-1.5968,0.6840,-2.6935,-0.7729,-0.2417,-0.9918,-0.379,-0.4015
3dx1,-2.0579,0.6310,-2.8735,-1.2334,-1.3093,-1.0354,-1.214,0.4707
3dx2,-0.7073,0.7474,0.3665,-0.8459,-1.1372,-1.2335,-1.214,0.6715
3e5a,1.7096,0.9912,1.7765,0.4577,0.5964,0.506,1.2112,-0.9199
3e92,1.1646,1.3307,1.5465,0.2821,0.0879,1.1638,1.9687,-0.6803
3f3d,-1.3113,0.6376,0.7065,-1.2808,-1.3523,-0.7221,-0.6948,1.8317
3fur,1.2667,1.3545,1.5465,0.4479,0.2431,2.156,0.6333,-0.8456
3fv2,-0.2818,1.2312,1.6565,0.016,-0.7517,-1.9437,-1.214,-0.0246
3g31,-1.2972,1.3571,-3.5635,-1.6096,-0.8372,-0.3968,0.4351,-0.4586
3gc5,0.1660,0.9879,0.8065,-0.2276,-0.3047,-0.3808,-0.9501,-0.313
3gr2,-2.1959,1.2293,-3.9335,-1.3447,-1.0311,-0.1526,-0.181,-0.3254
3gv9,-1.0338,0.9397,-4.3335,-1.2744,-1.2296,-0.1152,-0.7162,0.0869
3jvr,-0.1580,1.3519,-0.7335,-0.907,-0.3266,1.459,0.4048,-0.6586
3jya,-1.1769,1.0135,0.4365,-0.8054,-0.7799,0.9245,-0.6862,-0.3208
3kr8,0.3331,1.1230,1.6465,0.1774,-0.5455,0.8631,-0.1587,-0.4643
3n76,0.7155,1.2399,0.3965,0.3848,-0.4907,-0.3972,0.0858,-0.1416
3nq9,-1.5563,1.3570,-2.4235,-1.7021,-1.2091,0.2012,-0.6573,2.2077
3nx7,0.3966,1.0645,1.6465,-0.2426,-0.6345,-0.3883,-0.1584,0.6434
3o9i,2.9566,1.0609,5.3665,1.7149,1.4552,1.152,0.6348,-0.7208
3oe4,0.5161,1.3522,1.0165,0.961,0.2916,-0.2134,-1.214,-0.8173
3ozs,0.1707,1.0072,-1.1235,0.9781,0.0681,0.118,-1.214,-0.5807
3p5o,0.7582,0.6150,0.8065,0.0469,0.292,0.9897,0.704,-0.5432
3prs,2.7729,0.5972,1.3665,1.8721,2.0134,1.6827,0.3644,-0.4995
3pyy,-0.5583,0.9333,0.4065,-0.2196,-0.1855,0.6517,0.3694,-0.6347
3qgy,1.2654,1.0462,1.3465,0.4082,0.2724,0.5724,1.2048,-0.8234
3qqs,-0.8135,0.5725,-0.6335,-0.4324,-0.7728,-0.0883,-0.6862,-0.1115
3r88,-2.1497,0.8476,-1.6335,-1.0984,-1.0838,-0.2447,-0.9501,0.4364
3rlr,1.0575,0.8696,1.0665,-0.0111,-0.3228,1.2278,-0.0877,-0.3677
3rr4,-0.3274,0.8063,-1.9035,-0.4592,-0.5014,0.1353,-0.6862,-0.4802
3rsx,-0.3289,1.3453,-2.0435,-1.021,-0.6689,0.9556,1.0593,-0.4414
3ryj,0.6244,0.8998,1.3465,-0.631,-0.8721,0.0562,-0.1584,0.3583
3syr,-0.7778,1.0910,-1.3535,-0.0866,-0.6613,-1.1694,-1.214,0.0014
3tsk,1.4738,1.2284,0.7165,1.0898,0.9883,0.2531,1.3691,-0.4856
3twp,-2.0193,0.4422,-2.5335,-1.481,-1.3095,-0.212,-0.6862,0.3302
3u5j,-0.1473,0.7745,-0.8435,-0.5686,-0.2958,0.9663,-0.1231,-0.5896
3u8k,-0.6227,0.7927,2.2065,-0.6353,-0.7221,-0.0585,-0.9148,-0.0997
3u8n,0.2488,0.9160,3.7165,-0.4304,-0.7163,0.1764,-0.219,-0.0997
3uev,-0.9542,0.6624,-0.5635,-1.0884,-0.6686,0.9223,-0.6573,2.8261
3uew,-0.4633,0.6547,-0.1435,-1.0024,-0.4772,1.1627,-0.6573,2.9511
3ui7,-0.3718,0.7208,2.5465,-0.3768,0.0403,0.2181,0.1553,-0.4787
3up2,0.9313,0.8007,0.9465,0.245,-0.1923,0.8572,0.3485,-0.6006
3uuo,-0.0258,0.7042,1.5065,-0.6058,-0.0345,0.2083,0.1553,-0.4704
3wtj,0.2090,0.5399,0.0765,-0.5992,-0.9282,0.5167,-0.7071,-0.2836
3wz8,1.0124,1.3394,-0.6335,0.6647,0.6214,1.6459,-0.2002,-0.7751
3zdg,-1.0503,1.3139,0.6465,-0.9789,-1.0094,-0.2576,-0.9148,2.6155
3zt2,-0.4438,0.8214,-3.6135,-0.3095,-0.3456,0.3084,0.0432,-0.6729
4abg,-1.9286,1.1280,-2.8835,-1.0848,-0.6914,-0.5178,-0.6862,-0.0181
4agn,-0.5791,1.3014,-2.4835,-0.4368,-0.0881,-0.1945,0.899,0.1505
4agp,0.2177,1.2739,-1.7635,-0.2537,0.4584,0.4484,1.4268,-0.4102
4agq,0.2782,1.3092,-1.4435,-0.1817,0.4941,0.4586,1.4268,-0.3952
4bkt,-0.9323,1.1909,-2.8335,-1.0332,-0.6643,-0.3729,-0.9148,-0.2179
4cig,-0.1014,1.1697,-2.7835,0.1593,1.0328,0.592,0.819,-0.5889
4ciw,-0.6555,1.3088,-1.6335,-0.5322,-1.0534,-1.0913,-0.428,0.7302
4cr9,-1.5593,1.1828,-2.3535,-1.033,-0.9201,0.3894,0.3838,-0.0101
4cra,1.7483,0.9069,0.7665,0.99,1.1813,0.7942,0.8554,-0.8545
4crc,1.3731,1.0631,2.2665,1.1449,0.9298,0.7491,1.8237,-0.9182
4ddh,0.0531,0.5652,-3.1535,-0.6045,-0.8977,0.0894,-0.6862,-0.1938
4ddk,-1.6278,1.0566,-4.1635,-0.8898,-1.2119,-0.2049,-0.4223,-0.3002
4de3,-0.0583,0.6253,-0.9335,-0.3841,-0.5078,0.7511,0.3332,-0.6236
4dld,-0.5769,0.6788,-0.6335,-0.0925,-0.6859,-0.8042,0.0925,0.8676
4dli,0.0103,0.7646,-0.8335,-0.2227,-0.2785,0.9272,0.1344,-0.6627
4e5w,1.4033,0.4435,1.2065,0.5348,0.4788,0.3352,0.2051,-0.8227
4e6q,0.4249,1.2927,1.9065,0.1233,0.2539,0.5819,-0.9501,-0.8131
4ea2,0.4460,1.1337,-0.0135,0.1174,0.18,0.6738,2.4113,-0.4134
4eky,-0.1418,1.3212,-2.9335,0.4277,-0.2429,-0.8575,-0.9357,-0.0014
4eo8,0.0099,1.3472,1.6965,-0.3797,0.0471,0.3957,1.3184,0.1897
4eor,1.7743,0.4252,-0.1535,0.225,0.2439,0.6961,0.6557,-0.79
4f09,0.9243,0.5752,0.2465,-0.4519,-0.2931,0.2081,-0.6509,-0.5319
4f2w,2.5261,0.2139,4.8465,-0.093,-0.3795,-0.359,-0.9439,-0.4421
4f3c,2.3111,0.3923,5.3665,0.1633,-0.0801,0.0016,-0.6865,-0.4925
4f9w,1.2284,0.7781,0.4865,-0.0201,0.0728,1.2265,0.5551,-0.5849
4gfm,-0.6984,0.5959,0.7665,-0.4049,-0.8475,0.6669,-0.4219,-0.3447
4gkm,-0.3160,0.7145,-1.2835,-0.4917,-0.5996,0.0067,-0.1231,-0.0804
4gr0,2.2680,1.3515,3.0965,1.8231,1.3896,1.4383,1.4539,-0.6574
4hge,0.7393,0.9845,1.4665,0.2225,-0.0871,0.8273,0.1408,-0.7734
4ih5,-0.7389,0.8321,-2.3435,-0.601,-0.692,0.4154,-0.6862,-0.6498
4ih7,-0.2429,1.2858,-1.2135,-0.7217,-0.6443,0.8599,-0.2272,0.0575
4ivb,0.3901,0.4362,2.2665,0.0754,-0.067,0.8556,0.4625,-0.4918
4ivc,0.5604,0.6944,3.5465,0.1659,0.0353,0.9758,0.7199,-0.4971
4ivd,1.3112,0.9805,3.0665,0.2716,0.1383,1.096,0.9983,-0.5106
4j21,0.7244,0.6265,0.9565,-0.0507,-0.3575,1.0153,0.3629,-0.3491
4j28,-0.2283,1.1209,-0.7535,-0.9925,-0.5767,-0.3551,-0.387,-0.4029
4j3l,1.2301,0.5643,1.3465,0.3305,0.0673,0.9518,0.3629,-0.528
4jfs,-0.5613,1.3369,-1.1835,-0.8535,-0.6725,-0.3293,0.1408,0.0875
4jia,0.9753,1.2907,2.7665,0.2106,0.6431,0.4494,1.6477,-0.9226
4jsz,-1.7602,0.2306,-4.1535,-1.5088,-1.1979,-0.0338,-0.6862,0.3968
4jxs,-0.4886,0.7789,-1.7135,-0.4528,-0.5306,-0.4591,-0.2302,-0.2525
4k18,1.4991,0.6614,2.5065,0.408,0.1501,0.8765,0.6124,-0.7681
4k77,-0.1618,0.6077,0.1765,-0.4033,-0.502,0.4988,-0.3934,-0.4567
4kz6,-1.4381,1.2258,-3.3535,-1.0248,-0.9531,-0.1904,0.1694,0.7042
4kzq,-0.0262,0.9820,-0.3535,-0.199,-0.5397,0.8386,0.3694,-0.4268
4kzu,0.1938,0.8748,0.0465,-0.1824,-0.5547,1.1642,-0.1584,-0.4104
4llx,-2.1681,0.9548,-3.5635,-1.5313,-1.3276,0.0714,-0.3516,0.2599
4lzs,-0.7976,1.2484,-1.6535,-0.9358,-0.8497,0.3093,-0.0942,0.747
4m0y,0.4875,0.6469,0.0065,-0.5299,-0.3265,0.3609,-0.7149,-0.4186
4m0z,0.0576,1.0368,-1.2635,0.2296,-0.2028,0.3635,-0.1871,-0.4036
4mgd,0.4601,1.3519,-1.7635,-0.3955,-0.8372,1.2805,0.3276,-0.0236
4mme,-0.7943,0.8678,0.0465,-0.0998,-0.4277,0.4515,-0.4223,-0.5553
4ogj,0.6064,1.1951,0.3365,-0.0594,1.0835,0.9128,1.8303,-0.7847
4owm,-2.1419,0.3389,-3.4935,-1.4823,-1.2755,-0.2072,-0.9501,0.3707
4pcs,-1.0664,0.8751,1.3965,-1.064,-0.7429,-0.4159,-0.1284,-0.1429
4qac,1.6664,0.5923,2.9465,0.0897,-0.3098,1.0898,0.1279,-0.4266
4qd6,0.0591,1.3421,2.1865,-0.4158,0.9007,1.3309,0.934,-0.824
4rfm,0.6359,1.3250,3.5965,0.6255,0.9512,1.0295,-0.136,-0.9918
4twp,1.9086,0.4678,3.5465,0.309,0.2913,1.2926,1.162,-0.7965
4ty7,1.5423,1.0159,3.0665,0.7472,0.9485,0.9838,0.9485,-0.821
4u4s,-0.4453,0.4568,-3.5335,-0.9028,-0.8976,-0.0883,-0.6509,-0.0922
4w9c,-0.5747,1.1146,-1.8035,-0.4069,0.1165,0.5891,-0.7345,-0.4918
4w9h,0.1196,1.2604,0.2765,0.1558,0.4864,0.5557,-0.1923,-0.3836
4w9i,-0.1411,1.1930,-0.4935,0.0404,0.4556,0.0722,-0.4288,-0.7428
4w9l,0.0406,0.9810,-1.4335,0.3962,1.148,0.7192,0.0442,-0.2058
4wiv,-1.3556,0.9164,-0.1935,-0.4503,0.2318,1.1874,0.5252,-0.5666
4x6p,1.9815,0.8285,1.8465,1.218,1.2571,1.1812,1.3465,-0.9946
5a7b,0.0062,1.2918,-2.8835,-0.0524,0.6005,0.2564,0.4401,-0.3652
5aba,0.1701,0.9845,-3.4735,-0.7548,-0.2133,-0.015,0.0095,-0.3451
5c28,-2.3233,0.8991,-0.7935,-1.2313,-1.1246,0.4481,-0.3581,-0.3304
5c2h,1.2799,1.1901,4.6365,0.5891,0.4687,1.6144,0.7682,-0.8614
5dwr,1.5555,1.1723,4.7665,0.7335,0.4126,1.1965,1.1417,-0.6568
