%Gaussian process regression with a Gaussian likelihood
%model: gpr, kernel: sum
Optimization success: True in 29 iterations, b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH'
%.kernel.kernels[0].variance: 0.669770149679548
%.kernel.kernels[0].lengthscales: [0.30042335 0.43908394]
%.kernel.kernels[1].variance: 0.11950708709420357
%.likelihood.variance: 2.614912711136562
%loglikelihood: -7286.076705184681
%RMSE:1.869
%Pearson_correlation_coefficient:0.572,P-value:0.000
%Spearman_correlation_coefficient:0.578,P-value:0.000
%%%%%%PREDICTIONS%%%%%
name,f_pred_mean,f_pred_var,y_true,vina_gauss2,BertzCT
3jya,-0.4887,0.0137,0.4365,-0.8054,-0.7799
3kr8,0.0663,0.0401,1.6465,0.1774,-0.5455
3n76,-0.3950,0.0616,0.3965,0.3848,-0.4907
3nq9,-2.5835,0.0601,-2.4235,-1.7021,-1.2091
3nx7,-0.1006,0.0184,1.6465,-0.2426,-0.6345
3o9i,2.2698,0.0467,5.3665,1.7149,1.4552
3oe4,0.2433,0.0418,1.0165,0.961,0.2916
3ozs,-0.1032,0.0597,-1.1235,0.9781,0.0681
3p5o,0.2960,0.0203,0.8065,0.0469,0.292
3prs,2.3093,0.0620,1.3665,1.8721,2.0134
3pyy,0.1272,0.0146,0.4065,-0.2196,-0.1855
3qgy,0.9155,0.0202,1.3465,0.4082,0.2724
3qqs,-0.5289,0.0166,-0.6335,-0.4324,-0.7728
3r88,-1.2650,0.0124,-1.6335,-1.0984,-1.0838
3rlr,0.5029,0.0161,1.0665,-0.0111,-0.3228
3rr4,-0.2285,0.0124,-1.9035,-0.4592,-0.5014
3rsx,-1.0474,0.0275,-2.0435,-1.021,-0.6689
3ryj,-0.6555,0.0136,1.3465,-0.631,-0.8721
3syr,0.2785,0.0355,-1.3535,-0.0866,-0.6613
3tsk,1.3059,0.0321,0.7165,1.0898,0.9883
3twp,-1.8699,0.0180,-2.5335,-1.481,-1.3095
3u5j,0.0361,0.0152,-0.8435,-0.5686,-0.2958
3u8k,-0.4100,0.0122,2.2065,-0.6353,-0.7221
3u8n,-0.4910,0.0152,3.7165,-0.4304,-0.7163
3uev,-1.4055,0.0338,-0.5635,-1.0884,-0.6686
3uew,-1.1402,0.0409,-0.1435,-1.0024,-0.4772
3ui7,-0.4078,0.0211,2.5465,-0.3768,0.0403
3up2,0.0967,0.0212,0.9465,0.245,-0.1923
3uuo,-0.3691,0.0311,1.5065,-0.6058,-0.0345
3wtj,-0.7202,0.0169,0.0765,-0.5992,-0.9282
3wz8,1.2201,0.0223,-0.6335,0.6647,0.6214
3zdg,-1.0621,0.0138,0.6465,-0.9789,-1.0094
3zt2,-0.0369,0.0138,-3.6135,-0.3095,-0.3456
4abg,-1.3673,0.0315,-2.8835,-1.0848,-0.6914
4agn,-0.2305,0.0189,-2.4835,-0.4368,-0.0881
4agp,-0.4771,0.0427,-1.7635,-0.2537,0.4584
4agq,-0.3419,0.0384,-1.4435,-0.1817,0.4941
4bkt,-1.1121,0.0288,-2.8335,-1.0332,-0.6643
4cig,-0.0562,0.0583,-2.7835,0.1593,1.0328
4ciw,-0.7197,0.0418,-1.6335,-0.5322,-1.0534
4cr9,-1.1067,0.0159,-2.3535,-1.033,-0.9201
4cra,0.7946,0.0400,0.7665,0.99,1.1813
4crc,1.5234,0.0322,2.2665,1.1449,0.9298
4ddh,-0.6877,0.0152,-3.1535,-0.6045,-0.8977
4ddk,-1.2988,0.0255,-4.1635,-0.8898,-1.2119
4de3,-0.2440,0.0131,-0.9335,-0.3841,-0.5078
4dld,0.2569,0.0385,-0.6335,-0.0925,-0.6859
4dli,0.1457,0.0140,-0.8335,-0.2227,-0.2785
4e5w,1.1899,0.0217,1.2065,0.5348,0.4788
4e6q,0.4830,0.0181,1.9065,0.1233,0.2539
4ea2,0.5379,0.0163,-0.0135,0.1174,0.18
4eky,-0.3492,0.0342,-2.9335,0.4277,-0.2429
4eo8,-0.4222,0.0215,1.6965,-0.3797,0.0471
4eor,0.6504,0.0176,-0.1535,0.225,0.2439
4f09,-0.0611,0.0143,0.2465,-0.4519,-0.2931
4f2w,0.4185,0.0152,4.8465,-0.093,-0.3795
4f3c,0.4531,0.0153,5.3665,0.1633,-0.0801
4f9w,0.4126,0.0162,0.4865,-0.0201,0.0728
4gfm,-0.5132,0.0218,0.7665,-0.4049,-0.8475
4gkm,-0.3466,0.0127,-1.2835,-0.4917,-0.5996
4gr0,2.1376,0.0610,3.0965,1.8231,1.3896
4hge,0.3406,0.0165,1.4665,0.2225,-0.0871
4ih5,-0.3891,0.0123,-2.3435,-0.601,-0.692
4ih7,-0.2280,0.0128,-1.2135,-0.7217,-0.6443
4ivb,0.5476,0.0142,2.2665,0.0754,-0.067
4ivc,0.5622,0.0143,3.5465,0.1659,0.0353
4ivd,0.6550,0.0161,3.0665,0.2716,0.1383
4j21,0.4769,0.0158,0.9565,-0.0507,-0.3575
4j28,-0.9641,0.0312,-0.7535,-0.9925,-0.5767
4j3l,0.5342,0.0166,1.3465,0.3305,0.0673
4jfs,-0.4120,0.0169,-1.1835,-0.8535,-0.6725
4jia,0.1551,0.0330,2.7665,0.2106,0.6431
4jsz,-2.2410,0.0234,-4.1535,-1.5088,-1.1979
4jxs,-0.2722,0.0126,-1.7135,-0.4528,-0.5306
4k18,0.7092,0.0190,2.5065,0.408,0.1501
4k77,-0.2439,0.0130,0.1765,-0.4033,-0.502
4kz6,-1.1004,0.0149,-3.3535,-1.0248,-0.9531
4kzq,0.0855,0.0167,-0.3535,-0.199,-0.5397
4kzu,0.1200,0.0179,0.0465,-0.1824,-0.5547
4llx,-2.0069,0.0203,-3.5635,-1.5313,-1.3276
4lzs,-0.7938,0.0159,-1.6535,-0.9358,-0.8497
4m0y,0.0045,0.0139,0.0065,-0.5299,-0.3265
4m0z,0.1211,0.0212,-1.2635,0.2296,-0.2028
4mgd,-0.4985,0.0216,-1.7635,-0.3955,-0.8372
4mme,0.3865,0.0163,0.0465,-0.0998,-0.4277
4ogj,-0.3870,0.0905,0.3365,-0.0594,1.0835
4owm,-1.9587,0.0183,-3.4935,-1.4823,-1.2755
4pcs,-1.2285,0.0260,1.3965,-1.064,-0.7429
4qac,0.3902,0.0195,2.9465,0.0897,-0.3098
4qd6,-0.5624,0.1493,2.1865,-0.4158,0.9007
4rfm,0.8619,0.0311,3.5965,0.6255,0.9512
4twp,0.7823,0.0195,3.5465,0.309,0.2913
4ty7,0.7933,0.0302,3.0665,0.7472,0.9485
4u4s,-0.8007,0.0145,-3.5335,-0.9028,-0.8976
4w9c,-0.5674,0.0261,-1.8035,-0.4069,0.1165
4w9h,0.2246,0.0266,0.2765,0.1558,0.4864
4w9i,0.0463,0.0268,-0.4935,0.0404,0.4556
4w9l,0.5166,0.0590,-1.4335,0.3962,1.148
4wiv,-0.7831,0.0383,-0.1935,-0.4503,0.2318
4x6p,1.7887,0.0396,1.8465,1.218,1.2571
5a7b,-0.2177,0.0368,-2.8835,-0.0524,0.6005
5aba,-0.3076,0.0323,-3.4735,-0.7548,-0.2133
5c28,-1.5088,0.0125,-0.7935,-1.2313,-1.1246
5c2h,1.2117,0.0217,4.6365,0.5891,0.4687
5dwr,0.9885,0.0258,4.7665,0.7335,0.4126
