%Gaussian process regression with a Gaussian likelihood
%model: gpr, kernel: sum
Optimization success: True in 29 iterations, b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH'
%.kernel.kernels[0].variance: 1.5221001131129814
%.kernel.kernels[0].lengthscales: [0.36822722 0.14963058 0.2964185  0.69196113 0.07348571 0.3151871  1.23038882]
%.kernel.kernels[1].variance: 0.1637174033658069
%.likelihood.variance: 1.0856459224440753
%loglikelihood: -6920.6321042006
%RMSE:1.685
%Pearson_correlation_coefficient:0.674,P-value:0.000
%Spearman_correlation_coefficient:0.669,P-value:0.000
%%%%%%PREDICTIONS%%%%%
name,f_pred_mean,f_pred_var,y_true,vina_gauss2,BertzCT,MolLogP,PEOE_VSA7,BalabanJ,SMR_VSA7,as_flex_all
2iwx,0.2357,1.2057,0.2265,0.0422,-0.2722,1.0741,-0.1007,0.1014,-0.1898,-0.557
2j62,2.5518,0.9628,4.8865,0.6544,0.0844,0.0945,-0.4144,-0.3152,0.4094,0.1671
2jdm,-0.7032,0.2511,-1.0535,-1.2678,-1.1983,-0.6111,-0.9148,0.4658,-1.2618,-0.5838
2jdu,-0.6650,0.2824,0.2665,-1.2774,-1.1983,-0.6111,-0.9148,0.4658,-1.2618,-0.5033
2jdy,-2.1272,0.3672,-2.0835,-1.248,-1.1823,-0.9277,-1.214,0.4884,-1.2618,-0.2888
2obf,1.0195,1.1745,2.3965,0.2297,-0.1669,0.2087,0.6124,-0.4448,0.565,0.4352
2ole,0.5396,1.1487,0.7965,0.0406,0.2131,0.7003,0.6557,-0.3532,0.9535,-0.4229
2p4y,1.9124,1.5318,2.5465,1.468,0.9707,1.6761,1.4748,-0.731,0.9468,-0.2352
2pcp,-1.0234,0.8979,2.2465,-0.3479,-0.4121,0.7613,0.1777,-0.1163,-0.1436,-0.5033
2qbp,1.8958,1.1630,1.9465,0.6878,0.716,0.5029,1.0522,-0.7446,0.9041,0.4084
2qbr,1.2421,1.0023,-0.1235,-0.0661,-0.0871,0.5663,0.4955,-0.5474,0.9041,-0.1279
2qmj,-1.5183,0.5357,-2.2435,0.8412,0.9594,-3.0916,-0.407,-0.557,-0.8985,0.5157
2r23,-0.8279,1.3486,-2.7335,-0.0807,0.0842,-2.6618,-1.214,0.3298,-0.8685,-0.0206
2v00,-1.2151,0.8275,-2.7935,-0.7572,-0.7117,0.2137,-0.4144,-0.1992,0.5469,-0.2888
2v7a,0.8973,1.1853,1.8465,0.6496,0.7936,0.2412,0.0846,-0.9859,1.1376,-0.1279
2vl4,-1.1892,0.1083,-0.4435,-1.0627,-1.2037,-1.3038,-1.214,0.6124,-1.2618,-0.5033
2vo5,-0.1253,1.3132,-1.5635,-0.2316,-0.4411,-0.7779,-1.214,-0.2549,-0.1436,-0.0475
2vot,1.6134,0.6357,0.6865,0.0716,-0.3771,-0.1991,-0.6862,-0.4544,0.2355,0.8106
2vvn,0.8759,0.9400,0.8465,-0.4191,-0.9329,-0.5969,-0.9148,-0.2653,-1.2618,-0.3424
2vw5,0.9497,1.5303,2.0665,0.437,0.8692,1.3107,2.0269,0.7445,0.2054,0.0866
2w66,-0.6797,1.2000,-2.4035,-0.5043,-0.8901,-1.5196,-1.214,0.936,-1.2618,-0.1279
2wbg,-0.4971,0.5565,-2.0035,-0.0413,-0.3692,-0.1927,-0.9357,-0.1338,-1.2618,1.0788
2wca,0.1485,0.7776,-0.8535,-0.3913,-0.1893,-0.1532,-0.1827,-0.1413,-0.3175,-0.691
2weg,-0.9012,0.1862,0.0465,-1.2527,-1.1937,0.009,-0.6862,0.3968,-0.3245,-1.1469
2wtv,1.1480,1.2694,2.2865,0.6744,0.4153,1.26,0.6124,-0.8372,2.036,0.1403
2x00,1.6143,1.5437,4.8765,0.7981,1.231,1.868,3.1764,-0.4297,-0.1867,-0.3961
2x0y,0.1685,0.9990,-1.8535,-0.3793,-0.5691,-0.8186,-1.214,0.0167,-0.4135,-0.4765
2x8z,-0.2236,0.3899,1.5065,-0.9569,-1.0426,-0.3545,-0.6573,0.5157,-1.2618,-0.5838
2xb8,-0.0062,0.5293,1.1365,0.2719,-0.5519,-0.7438,-0.1649,-0.0003,-0.3325,0.462
2xbv,0.8245,1.0530,1.9765,0.9874,0.6493,0.4789,0.1055,-0.6984,1.2974,1.8028
2xdl,0.2221,1.4517,-3.3535,-0.5032,-0.8434,0.4434,0.1762,0.5762,-0.5213,-0.691
2xhm,1.4912,1.4909,0.3465,1.2173,0.8421,0.6073,0.585,0.2692,0.5969,1.3469
2xnb,1.0735,1.3177,0.3765,0.4139,0.1711,0.2759,0.4048,-0.7878,0.3556,-0.3424
2xys,0.4091,1.2475,0.9665,0.2139,0.1873,0.0072,-0.2063,-0.7977,0.0309,-0.4497
2y5h,0.8209,0.5001,-0.6635,0.3274,0.4661,0.4351,-0.6862,-0.8251,-0.3756,0.5693
2yfe,-0.1117,1.3769,0.1765,-0.2332,-0.1023,0.8055,0.9694,0.134,0.9303,-1.281
2yge,0.0256,0.7493,-1.3935,0.729,0.9818,0.6053,0.442,0.7164,0.5647,0.1403
2yki,1.3402,1.4457,3.0065,1.3028,0.9696,1.4041,0.5496,-1.0257,1.9203,0.8106
2ymd,-0.1382,0.4358,-3.2935,-0.8843,-0.8496,0.066,-0.1793,-0.0856,-0.3284,-0.6642
2zjw,-0.0185,1.0697,1.2465,-0.1003,-0.456,0.2677,-0.6862,-0.4595,-0.2327,-0.6642
2zwz,-1.0954,1.2354,1.3365,-1.0414,-1.0531,-1.4785,-0.9148,0.8306,-1.2618,-0.3961
2zx6,1.5615,1.1559,4.1465,-0.0726,-0.054,-0.6779,-0.4079,-0.4836,-0.1395,0.328
2zxd,-1.1834,1.4999,-1.2335,-1.0595,-1.0717,-0.8544,-1.214,0.8196,-1.2618,-0.7447
3acw,-0.8746,1.1248,-1.6935,-0.0735,-0.2264,0.4332,-0.4851,-0.5937,0.6119,-1.281
3ag9,-0.5060,1.5706,1.5965,1.2528,3.4568,-2.7186,1.8477,-0.3569,-0.8678,0.6497
3ao4,-0.9985,0.9701,-4.3835,-0.676,-0.7955,0.294,-0.4223,-0.5708,-0.5064,-0.3692
3b3s,-0.2622,0.4061,-3.9035,-1.415,-1.3079,-0.6319,-0.9566,2.372,-1.2618,-1.281
3b3w,-0.1842,0.3971,-2.2635,-1.3489,-1.3079,-0.6319,-0.9566,2.372,-1.2618,-0.9592
3b68,1.5226,1.4342,1.9465,1.1245,-0.0298,0.8925,0.6687,-0.1798,0.5503,0.5961
3bfu,-0.2760,0.4841,-0.1835,-0.9449,-1.1736,-1.1429,-1.214,0.2579,-0.7602,-0.0206
3bkk,1.4455,1.5317,-0.3735,1.4041,0.7046,0.161,0.3564,-0.3942,2.0929,1.7224
3bpc,-0.8679,1.5253,-1.6535,-0.3912,-0.0064,-1.6724,-0.3721,0.0324,-0.4993,0.3548
3cft,-0.7451,1.3628,-2.2635,-0.923,-0.7888,0.2718,-0.6862,0.1154,-0.1286,-1.5491
3cj2,-1.2214,1.2591,-1.6035,-1.0085,-0.6427,0.8336,0.3709,-0.0033,-0.3815,-1.4687
3coy,0.3128,1.3219,-0.4335,0.9989,0.274,-1.0419,-1.214,-0.5571,-0.8678,0.9447
3cyx,1.6508,0.1834,1.5465,2.0913,2.1809,0.3794,1.547,-0.6237,1.1676,1.2129
3d4z,-0.6321,0.1716,-1.5635,-0.7276,-1.0165,-0.6958,-1.214,-0.0451,-0.6939,0.1134
3dd0,0.9238,0.5698,2.5465,-0.8838,-0.7636,0.2769,-0.1231,-0.306,-0.6952,-0.7715
3dxg,-0.9612,0.4190,-4.0535,-0.701,-0.4945,-0.7093,-1.214,-0.0977,-0.2287,-0.4497
3e93,1.9111,1.5119,2.3965,1.4084,1.1678,1.1982,1.6615,-1.0115,1.1526,0.6497
3ebp,-0.2192,1.3111,-0.5435,-0.2851,0.2233,0.4448,-0.6862,-0.4968,0.5218,0.1134
3ehy,0.3548,1.1811,-0.6035,-0.5712,-0.8202,-0.4103,0.1408,0.4267,-0.5064,-0.4229
3ejr,0.5114,1.3831,2.1165,0.294,-0.0118,-0.1154,-0.4562,-0.3231,-0.1586,1.2933
3f17,-0.3364,1.1818,2.1765,-0.1167,-0.4712,0.4563,-0.2002,-0.1625,0.5914,-0.2083
3f3a,-1.4718,0.5260,-2.2635,-0.6129,-0.7671,-0.423,-0.7071,-0.0556,-0.1395,0.1939
3f3c,-1.6736,0.5403,-0.4335,-0.684,-1.0911,-0.5284,-0.4432,0.4744,-0.1506,-0.1815
3f3e,-0.1966,0.4970,1.2465,-1.2816,-1.3079,-0.6319,-0.9566,2.372,-1.2618,-0.8519
3f80,-0.7257,1.3856,-2.2335,-0.8314,-1.1949,-0.8165,-0.9357,2.2846,-0.9457,0.033
3fcq,-0.9426,0.6747,-3.6835,-0.979,-1.0623,-0.0493,-0.4079,0.4149,-0.3474,-0.5033
3fv1,0.9616,0.6235,2.8465,0.0911,-0.5826,-2.1899,-1.214,0.0922,-1.2618,1.0788
3g0w,0.8631,1.3918,3.0665,0.2476,-0.4744,0.758,0.1344,-0.4409,-0.3793,-0.4229
3g2n,-0.4899,1.0572,-2.3635,-0.0561,-0.6673,-0.6863,-0.6862,-0.1552,-0.1436,-0.0743
3g2z,-1.7573,1.3354,-4.0935,-1.2624,-1.07,-0.0602,-0.202,-0.3232,-0.8946,-0.8519
3gbb,-0.8687,1.0259,0.4465,-0.3366,-0.7978,-1.3095,-0.6573,-0.058,-1.2618,0.5157
3gcs,2.2170,0.8624,0.7965,0.8741,0.1163,1.5731,0.8972,-0.6934,1.1398,0.4889
3ge7,-0.0263,1.3768,2.2465,0.2272,0.4317,-0.528,-0.3934,-0.5997,-0.3998,1.4006
3gnw,2.0367,1.5269,2.6465,1.4307,1.6114,1.9225,1.4265,-0.7831,2.5993,1.2129
3gy4,-2.4313,0.8592,-1.3535,-1.2108,-1.2037,-0.527,-0.1584,0.4026,-0.3325,-0.9056
3huc,0.0689,1.2009,-0.4635,-0.1542,0.1416,1.0612,-0.158,-0.6585,1.0242,-0.1815
3imc,-2.5820,0.7020,-3.4935,-1.0586,-1.0342,0.5338,-0.1584,-0.1958,-0.3134,-1.2005
3ivg,0.5044,1.0270,-2.1535,0.7186,0.3726,0.3638,0.1055,-0.7157,0.616,0.3548
3jvs,-0.0710,1.4491,0.0865,-0.434,0.2853,1.2534,-0.2145,-0.5803,1.2908,0.1403
3k5v,0.2221,0.8477,-0.1535,0.1281,-0.1967,1.0601,0.3694,-0.572,0.8089,-0.6642
3kgp,-2.3596,0.5017,-3.8835,-1.1807,-1.1876,-0.5089,-0.971,0.4101,-0.1586,-1.1201
3kv2,-2.0903,1.2349,0.8665,-0.8575,-1.2322,-1.3598,-1.214,2.0682,-1.2618,-0.0206
3kwa,-1.7408,1.4603,-2.3735,-0.9461,-0.7574,-1.3206,-1.214,2.846,-1.2618,-0.8251
3l3n,-0.5573,0.7099,1.7265,1.2831,0.9671,-0.7404,0.3709,-0.2824,0.9787,0.6766
3l4u,-0.5549,1.3487,1.0665,-0.2404,-0.5981,-1.6315,-1.214,0.9196,-1.2618,-0.1279
3l4w,-1.0233,0.6322,-0.4535,-0.7874,-1.0086,-1.5784,-1.214,0.8908,-1.2618,-0.3424
3l7b,0.8990,0.8083,-4.0535,-0.2351,-0.7305,-0.8222,-0.9501,-0.0763,-0.5523,0.0598
3lka,-0.2127,0.7067,-3.6335,-1.0213,-1.0976,-0.0312,-0.1584,0.3347,-0.5064,-1.1201
3mfv,-1.2279,1.1291,-3.9335,-0.7766,-1.053,-0.9732,-0.9357,0.3622,-0.8909,0.033
3mss,0.2815,0.9942,-1.7935,-0.8897,-0.3497,0.2221,-0.2002,-0.215,0.7858,-1.2005
3myg,-0.8890,1.1082,4.2465,0.1197,0.4694,0.419,0.4867,-0.6834,0.0548,-0.0743
3n7a,-1.7818,0.8101,-2.7535,-0.9898,-1.2429,-1.0151,-0.9497,0.4932,-0.8835,-0.7983
3n86,0.5630,1.5104,-0.8135,0.5362,-0.4336,-0.4639,0.0999,-0.1235,0.0459,0.8375
3nox,0.5734,1.1367,2.2065,-0.1812,0.0974,0.549,-0.1231,-0.5942,0.3415,-0.2888
3nq3,-0.6516,1.3365,-2.6735,-1.3285,-1.0355,0.4416,-0.6573,2.4716,-1.2618,-1.6028
3nw9,1.5837,1.4488,2.5465,1.4307,0.8478,0.4664,0.6268,-0.9591,1.1775,1.8833
3oe5,0.4322,1.4319,0.4265,0.7767,0.0488,0.1486,-0.6862,-0.6158,0.7479,1.4274
3ov1,-0.3566,1.4458,-1.2535,-0.043,0.3606,-0.5755,0.1134,-0.0087,-0.3325,0.4889
3owj,-0.4980,1.3208,-0.3835,-0.5312,-0.0765,0.937,1.1613,-0.3577,0.358,-1.2542
3ozt,0.3636,1.5283,-2.3235,0.7366,0.1316,-0.2066,-1.214,-0.5584,1.0675,1.4542
3pe2,0.7418,0.7113,3.3065,0.0495,0.032,0.5615,0.0846,-0.63,0.798,0.1134
3pww,2.1895,0.3664,0.8665,1.8734,2.1809,0.3794,1.547,-0.6237,1.1676,1.5078
3pxf,-1.4407,1.1777,-2.0235,-1.1766,-0.287,0.9378,0.0768,-0.3358,0.8157,-1.6832
3s8o,-0.0515,1.3054,0.3965,0.088,0.6643,-0.2149,0.1134,0.2683,-0.3325,0.8106
3su2,0.5204,0.4590,0.8965,1.2127,2.0791,0.9821,1.6177,-0.8502,0.2508,1.776
3su3,0.6689,0.9038,2.6765,1.2833,2.4597,1.2135,1.4294,-0.7733,-0.1354,1.8564
3su5,0.4375,0.6836,-0.8735,1.1822,2.4597,1.2135,1.4294,-0.7733,-0.1354,1.3469
3u9q,-0.5340,1.3785,-2.0735,-1.1726,-1.0355,0.4416,-0.6573,2.4716,-1.2618,-1.3346
3udh,-2.2089,0.9738,-3.6035,-1.005,-0.8648,-0.1849,-0.7071,-0.3728,-0.3325,-0.9324
3ueu,-0.5796,0.8407,-1.2135,-1.1876,-0.8549,0.682,-0.6573,2.6706,-1.2618,-1.8441
3uex,0.2129,0.6579,0.4665,-0.7477,-0.2815,1.4031,-0.6573,3.0537,-1.2618,-1.5759
3uo4,0.6661,1.4269,0.0665,0.1629,0.2159,1.0939,0.3276,-0.7591,1.7492,-0.1011
3uri,0.8011,1.5469,2.5465,2.4234,3.2757,-1.5883,0.6616,-0.4395,0.9923,1.0252
3utu,1.1390,1.5227,4.4665,1.2749,1.6478,-0.0303,1.676,-0.6358,1.6683,1.481
3vh9,-3.5552,0.4878,-0.2135,-1.1442,-1.0879,0.4611,-0.6862,-0.0603,-0.1245,-0.8519
3zso,0.8916,1.5348,-1.3335,0.5444,1.4224,0.8142,1.3836,-0.7437,2.819,0.7838
3zsx,-0.2217,1.4711,-3.1735,-0.0368,0.6778,0.3192,0.085,-0.626,2.0785,-0.4497
4de1,-0.0610,0.9731,-0.4935,-0.2029,-0.2079,0.478,0.5609,-0.8125,0.4271,0.328
4de2,1.0000,0.7840,-2.3335,-0.1454,-0.1059,0.0985,0.0693,-0.5469,0.5969,0.2475
4des,-0.8520,1.0975,-0.6035,-0.3419,-0.5203,0.7479,-1.214,-0.4064,0.5687,-0.7983
4dew,-0.3782,0.2357,0.5465,-0.4522,-0.4526,0.5665,-0.4223,-0.4169,0.1909,-0.7178
4djr,3.7933,0.6377,5.0665,1.4386,1.2748,0.8831,0.6348,-0.5368,0.5945,1.1056
4djv,0.9229,1.1991,0.2665,0.1585,0.2762,0.4125,0.0637,-0.5248,1.5412,0.0866
4g8m,-0.3404,0.5835,1.4365,-0.9962,-1.1911,-1.3313,-0.6573,0.4489,-1.2618,0.0598
4gid,1.8737,1.2767,4.3165,2.4282,1.9497,0.4793,1.1979,-0.0891,1.889,2.5805
4gqq,-1.1016,1.3793,-3.5635,-1.4072,-0.9503,0.3791,0.1204,0.2207,-0.3322,-1.281
1c5z,-2.2817,0.0872,-2.4435,-1.3742,-1.2488,-0.3983,-0.6862,0.3726,-0.1436,-1.1737
1eby,2.0354,1.2142,3.2465,2.2029,1.6583,0.6113,0.2439,-0.8835,3.1812,1.2129
1g2k,1.8362,1.0955,1.5065,1.7009,1.6816,0.8571,0.8554,-0.5974,2.8483,0.9983
1gpn,-0.4232,0.6739,0.0265,-0.145,-0.2706,0.1917,0.4416,-0.3782,0.1548,-0.3961
1h22,1.6990,1.4560,2.6465,1.145,1.049,0.7154,1.5405,-0.7738,0.8446,1.0788
1k1i,0.5763,1.3434,0.1265,0.1774,1.0072,-0.3448,1.6684,-0.5391,1.1635,0.0062
1lpg,1.3890,1.5415,0.6365,0.8923,1.5978,1.0524,1.6262,-0.7911,2.8225,2.0173
1nc3,-1.3230,0.2516,-1.4535,-0.1165,-0.6729,-0.7255,-1.214,-0.5051,-0.8868,0.4352
1owh,-0.1361,1.0409,0.9465,-0.3556,0.0148,-0.0448,0.8399,-0.5376,1.1485,-0.4229
1p1n,0.3003,0.2428,0.3465,-0.6413,-0.9473,-1.1749,-0.6364,0.8638,-0.8835,-0.1011
1pxn,1.1485,1.0831,0.6965,-0.0747,-0.3978,0.9106,0.4048,-0.6093,0.0534,-0.7983
1qf1,0.0003,1.5222,0.8665,0.1343,-0.1037,0.1243,-0.3934,0.8559,-0.1436,0.1671
1qkt,1.7187,0.6932,2.5865,-0.3263,-0.2728,0.9753,2.4785,-0.4281,-0.3474,-1.6296
1s38,-0.7850,0.8291,-1.3035,-0.9184,-0.9083,0.114,-0.4079,-0.0106,-0.1977,-0.5033
1syi,0.1097,1.3967,-1.0135,-0.4561,-0.6758,-1.2503,-0.379,0.024,-0.2586,0.6229
1y6r,2.2614,0.5231,3.6565,-0.0615,-0.4523,-0.5645,-0.9439,-0.389,-0.698,0.3548
1ydr,-0.4913,0.7367,-0.9335,-0.2295,-0.2523,-0.0779,-0.387,-0.3291,-0.1205,-0.8787
1z6e,1.5682,1.2241,3.2665,0.9187,0.8144,0.7371,0.1055,-0.929,1.166,1.0788
1z9g,-0.5380,0.5235,-0.8135,-0.7978,-0.838,-0.2034,-0.6927,0.5465,-0.1436,-1.0128
2al5,-0.0702,0.7739,1.9465,-0.5599,-0.9495,-1.358,-1.214,0.5279,-0.2357,0.6229
2br1,1.4301,1.0749,-1.3135,0.286,0.2344,1.0889,0.6124,-0.5965,0.4461,-0.0475
2c3i,-0.0057,1.1006,1.1465,-0.1742,-0.092,0.9172,0.691,-0.7604,0.2382,-1.1201
2cbv,-2.5907,0.4944,-0.9735,-0.9397,-1.1157,-1.216,-1.214,0.0156,-1.2618,-0.2888
2fxs,-0.6152,1.3548,-0.3935,0.1135,-0.1912,0.6424,-0.6927,-0.1671,-0.1904,0.5961
2j7h,-1.1088,0.5430,0.7365,-1.224,-1.2229,-1.6389,-1.214,0.5796,-1.2618,-0.4497
2p15,1.8758,1.5360,3.8465,0.8739,0.5949,1.9311,2.7489,-0.6192,0.945,-0.6642
2pog,0.0469,1.1302,3.0865,-0.193,-0.3269,1.1312,0.8987,-0.5529,0.408,-1.4687
2qbq,0.7799,1.5028,0.9865,0.2455,0.1984,0.9991,1.5605,-0.2813,-0.2141,0.462
2qe4,0.0838,1.2488,1.5065,-0.0728,-0.1119,1.1763,0.8987,-0.5264,0.3931,-1.2273
2qnq,1.3508,1.1084,-0.3435,1.4689,1.2277,1.2157,0.3276,-0.5933,2.7996,0.328
2r9w,-0.2980,1.2811,-1.3535,-0.0892,0.1164,-0.0873,0.5486,-0.6872,1.3224,-0.2083
2vkm,2.2745,1.5021,2.2865,2.2491,1.9909,0.8022,1.1691,-0.4934,2.8184,2.6609
2w4x,-1.6696,0.8602,-1.6035,-0.6382,-0.957,-1.0274,-1.214,0.5545,-1.1085,-0.7983
2wer,1.2914,0.4135,0.5965,-0.0218,-0.2674,0.6926,-0.6504,-0.3765,0.1885,-0.557
2wn9,-0.8366,1.0995,2.0665,-0.632,-0.2617,0.93,0.906,-0.3624,0.5904,-0.7983
2wnc,0.0575,1.4014,-0.1335,-0.3263,-0.2026,0.3355,-0.9501,-0.7274,-0.1395,-0.4229
2wvt,-1.1130,1.3666,-0.3335,-1.026,-1.1455,-1.5639,-1.214,0.7852,-1.2618,-0.4229
2xii,0.3946,1.4532,0.7465,0.1221,0.1758,-0.4311,-0.1649,-0.7102,0.5819,0.6766
2xj7,-1.4253,0.8224,0.2065,-0.5296,-0.8144,-1.2938,-1.214,0.0549,-1.2618,-0.3961
2zb1,0.9420,1.4915,-0.1335,0.2606,0.0638,1.145,1.6839,-0.7817,0.5922,-0.691
2zda,0.3821,1.4742,1.9465,0.4204,0.3418,-0.5646,0.3564,-0.4717,0.9597,0.6497
2zy1,1.0004,1.3496,0.9465,0.2314,-0.1107,0.9668,0.6413,-0.2294,0.6119,-0.3156
3arp,1.2083,1.5309,0.6965,0.8772,1.2257,1.7891,0.4131,-0.7116,1.172,1.4274
3arq,0.8116,1.3414,-0.0535,0.335,0.6956,-0.0432,-0.6155,-0.6987,0.537,0.8911
3aru,-0.3122,1.2906,-3.2335,-0.7307,-0.3224,-0.0773,-0.3581,-0.0394,-0.4135,-0.4497
3arv,0.3717,1.4525,-0.8135,-0.4406,-0.0191,1.0692,0.3198,-0.865,0.0453,0.4084
3ary,-1.0032,1.2781,-0.4535,-0.9578,-0.7061,0.6387,0.3752,-0.5564,-0.3263,-0.1011
3b1m,1.3413,1.4223,2.0265,1.1028,0.9895,1.2695,0.6193,-0.7721,1.4792,-0.3692
3b27,0.0180,0.8342,-1.2935,-0.6551,-0.9349,0.6323,-0.4161,-0.2936,-0.3494,-0.3692
3b5r,1.1828,1.3241,2.3165,0.6886,-0.2876,1.1382,0.4048,-0.1848,0.558,-0.1011
3b65,1.2394,1.5221,2.8165,0.3893,-0.331,0.7269,1.9192,-0.2263,0.5196,-0.1279
3bgz,-0.0479,1.4399,-0.1935,-0.1162,-0.035,1.0542,-0.7281,-0.4744,1.3673,-0.9056
3bv9,0.4190,1.5322,-1.0935,1.0478,1.8457,-0.956,1.5409,-0.5472,0.2236,0.4352
3cj4,-0.2036,1.4685,0.0565,-0.6088,-0.2413,0.4905,0.6492,0.0111,-0.3815,-0.7983
3coz,0.2496,1.4400,-0.8835,0.8567,0.1974,-1.1621,-1.214,-0.5895,-0.8678,0.5693
3d6q,-1.5772,0.7381,-2.6935,-0.7729,-0.2417,-0.9918,-0.379,-0.4015,-0.2287,-0.557
3dx1,-1.5536,0.4376,-2.8735,-1.2334,-1.3093,-1.0354,-1.214,0.4707,-1.2618,-0.3961
3dx2,-0.5422,0.5872,0.3665,-0.8459,-1.1372,-1.2335,-1.214,0.6715,-1.2618,-0.0743
3e5a,0.9108,1.4914,1.7765,0.4577,0.5964,0.506,1.2112,-0.9199,0.0493,0.2207
3e92,1.0897,1.4420,1.5465,0.2821,0.0879,1.1638,1.9687,-0.6803,0.5772,-0.0206
3f3d,-1.2697,0.5642,0.7065,-1.2808,-1.3523,-0.7221,-0.6948,1.8317,-1.2618,-0.8519
3fur,1.2816,1.5275,1.5465,0.4479,0.2431,2.156,0.6333,-0.8456,1.4478,-0.0206
3fv2,0.0653,1.1355,1.6565,0.016,-0.7517,-1.9437,-1.214,-0.0246,-1.2618,0.6497
3g31,-1.3727,1.5343,-3.5635,-1.6096,-0.8372,-0.3968,0.4351,-0.4586,-1.2618,-2.0586
3gc5,0.6908,1.3460,0.8065,-0.2276,-0.3047,-0.3808,-0.9501,-0.313,-0.5754,0.9447
3gr2,-1.2844,1.5051,-3.9335,-1.3447,-1.0311,-0.1526,-0.181,-0.3254,-1.2618,-1.3882
3gv9,-0.6208,0.7767,-4.3335,-1.2744,-1.2296,-0.1152,-0.7162,0.0869,-0.7531,-1.3078
3jvr,-0.1219,1.5162,-0.7335,-0.907,-0.3266,1.459,0.4048,-0.6586,0.5563,-0.5838
3jya,-1.2251,1.1896,0.4365,-0.8054,-0.7799,0.9245,-0.6862,-0.3208,-0.0495,-1.4687
3kr8,0.0350,1.1311,1.6465,0.1774,-0.5455,0.8631,-0.1587,-0.4643,0.343,0.1939
3n76,0.3052,1.5104,0.3965,0.3848,-0.4907,-0.3972,0.0858,-0.1416,0.4242,0.4889
3nq9,-1.7298,1.5060,-2.4235,-1.7021,-1.2091,0.2012,-0.6573,2.2077,-1.2618,-1.9245
3nx7,0.8081,1.0466,1.6465,-0.2426,-0.6345,-0.3883,-0.1584,0.6434,-0.5064,-0.3961
3o9i,3.0519,1.0780,5.3665,1.7149,1.4552,1.152,0.6348,-0.7208,0.5945,1.1861
3oe4,0.5053,1.5217,1.0165,0.961,0.2916,-0.2134,-1.214,-0.8173,0.5713,1.5883
3ozs,0.7407,1.5268,-1.1235,0.9781,0.0681,0.118,-1.214,-0.5807,0.5522,1.5615
3p5o,1.0516,0.5887,0.8065,0.0469,0.292,0.9897,0.704,-0.5432,0.9291,-0.3424
3prs,2.9030,0.6079,1.3665,1.8721,2.0134,1.6827,0.3644,-0.4995,1.9934,0.8911
3pyy,0.6513,1.0419,0.4065,-0.2196,-0.1855,0.6517,0.3694,-0.6347,0.9866,-0.3692
3qgy,1.2396,1.4229,1.3465,0.4082,0.2724,0.5724,1.2048,-0.8234,0.4165,0.0598
3qqs,-0.6728,0.6428,-0.6335,-0.4324,-0.7728,-0.0883,-0.6862,-0.1115,0.5969,-0.5838
3r88,-1.2511,0.9874,-1.6335,-1.0984,-1.0838,-0.2447,-0.9501,0.4364,-0.7102,-1.1469
3rlr,0.7047,0.8403,1.0665,-0.0111,-0.3228,1.2278,-0.0877,-0.3677,-0.0362,-0.0475
3rr4,-0.2301,1.2356,-1.9035,-0.4592,-0.5014,0.1353,-0.6862,-0.4802,-0.5605,0.757
3rsx,-0.4327,1.4832,-2.0435,-1.021,-0.6689,0.9556,1.0593,-0.4414,0.2062,-1.1201
3ryj,0.6214,0.7283,1.3465,-0.631,-0.8721,0.0562,-0.1584,0.3583,-0.3325,-0.5033
3syr,0.4508,1.2778,-1.3535,-0.0866,-0.6613,-1.1694,-1.214,0.0014,-0.2357,0.462
3tsk,1.7864,1.1948,0.7165,1.0898,0.9883,0.2531,1.3691,-0.4856,0.9682,0.5961
3twp,-2.0472,0.4949,-2.5335,-1.481,-1.3095,-0.212,-0.6862,0.3302,-0.3325,-1.7636
3u5j,-0.4978,1.0324,-0.8435,-0.5686,-0.2958,0.9663,-0.1231,-0.5896,1.118,-1.0396
3u8k,-1.5287,1.2271,2.2065,-0.6353,-0.7221,-0.0585,-0.9148,-0.0997,-0.6871,-0.691
3u8n,-0.9138,1.2786,3.7165,-0.4304,-0.7163,0.1764,-0.219,-0.0997,-0.7361,-0.2352
3uev,-1.0589,0.6617,-0.5635,-1.0884,-0.6686,0.9223,-0.6573,2.8261,-1.2618,-1.5223
3uew,-0.3753,0.6608,-0.1435,-1.0024,-0.4772,1.1627,-0.6573,2.9511,-1.2618,-1.5223
3ui7,0.5079,1.2860,2.5465,-0.3768,0.0403,0.2181,0.1553,-0.4787,-0.3583,-0.8519
3up2,0.9745,1.0107,0.9465,0.245,-0.1923,0.8572,0.3485,-0.6006,0.8048,0.6497
3uuo,0.3124,1.4302,1.5065,-0.6058,-0.0345,0.2083,0.1553,-0.4704,-0.5322,-1.2273
3wtj,0.4615,0.5818,0.0765,-0.5992,-0.9282,0.5167,-0.7071,-0.2836,-0.3562,-0.4765
3wz8,1.0685,1.5176,-0.6335,0.6647,0.6214,1.6459,-0.2002,-0.7751,2.0864,0.8643
3zdg,-0.9283,1.3014,0.6465,-0.9789,-1.0094,-0.2576,-0.9148,2.6155,-1.2618,-0.9056
3zt2,-1.1727,0.7752,-3.6135,-0.3095,-0.3456,0.3084,0.0432,-0.6729,0.567,-0.5301
